Bairro,latitude,longitude,cb1,t1b1,t2b1,p1b1,p2b1,v1b1,v2b1,ur1b1,ur2b1,cb2,t1b2,t2b2,p1b2,p2b2,v1b2,v2b2,ur1b2,ur2b2,cb3,t1b3,t2b3,p1b3,p2b3,v1b3,v2b3,ur1b3,ur2b3,cb4,t1b4,t2b4,p1b4,p2b4,v1b4,v2b4,ur1b4,ur2b4,cb5,t1b5,t2b5,p1b5,p2b5,v1b5,v2b5,ur1b5,ur2b5,cb6,t1b6,t2b6,p1b6,p2b6,v1b6,v2b6,ur1b6,ur2b6,predicao
Santo Antônio,-8.064006,-34.884682,2.0,26.756903392368923,26.994755042983577,74.9167540111907,191.29518075340044,0.0,0.0,92.34922881961936,91.21074104613233,8.0,26.15936727068045,26.348152033075284,114.31384808257953,243.218108522013,0.0,0.0,95.9149607864966,95.65790179369712,3.0,26.33918122840983,26.36170693138808,326.33051173744764,227.45377376312075,0.0,0.0,95.94375599485716,95.77704262221512,0.0,24.36935172789382,24.97417750900069,300.47444954636984,132.75686061938453,0.0483207609235187,0.0316363923865203,86.34071045473539,78.1656978900829,3.0,24.52038973446836,26.113589664140928,57.58969234462909,5.215597769828055,0.895861467555773,0.3759239621210137,74.66046722520598,86.13774431830463,2.0,27.010820021540304,25.639639463234197,41.16441315399294,41.16441315399294,2.9632071111238063,0.6477577237849561,79.05334394503018,72.83664749828891,2.0
São José,-8.074624,-34.896318,2.0,26.3485322247435,26.514078345570557,71.0612418304843,276.9091320987254,0.0,0.0,86.090777991942,93.6671909974072,8.0,26.19773125532883,26.372994398722536,128.64632855407316,297.82408854108934,0.0,0.0,95.93411094304172,96.06808979112915,14.0,26.362737345206646,26.365232519565392,304.10955872209166,220.3502782806165,0.0,0.0,95.82203867943365,96.0652023486094,10.0,24.92882581233173,22.35122417204553,346.4613060258167,190.7628081915334,0.9605595394594556,3.875850499462546,84.20494116319925,87.37840373316183,5.0,25.273951619673596,28.49938461297026,64.89436669063176,1.6993507978817313,0.0811653568893482,2.153360417582369,79.68605108182392,78.4066206450295,6.0,26.917785497166555,27.812011193350354,36.25569457886772,36.25569457886772,3.670540475510204,2.09118622178658,71.5650689175771,65.42674358329053,3.0
Recife Antigo,-8.055544,-34.879076,2.0,26.11120293892149,26.439719776753066,83.60272376743231,321.6414753061225,0.0,0.0,84.09316988910975,90.20687630368762,8.0,26.214351820912,26.341494837678432,113.2530510543723,233.26523084317265,0.0,0.0,95.87646165907908,96.25962928516924,3.0,26.36040098284972,26.38152211597463,274.2715748567786,230.90182482102185,0.0,0.0,95.87778672561892,95.892812639883,0.0,24.72010794229977,23.108369902574186,348.5990673480648,209.05150128274624,0.2544268234595135,1.9575817206688424,85.50405094070302,83.06873023610058,3.0,25.436727794875303,27.676770199494516,62.974368120867865,4.859647718125625,1.99173863372463,1.6744499192252658,81.2576824890374,78.1170553218045,2.0,27.231401914744453,27.335153952012316,37.880607696124805,37.880607696124805,1.8287794029978044,3.196446082015302,69.72942808476301,74.75492247090249,2.0
Cabanga,-8.079671,-34.899717,2.0,25.67112270569676,26.16827831106318,75.14951948739676,208.48035119296685,0.0,0.0,88.41130083268962,90.3273238524366,8.0,26.2426266640347,26.376190897801067,111.18394318154157,291.5569288316606,0.0,0.0,95.7654348273397,96.10854518735384,14.0,26.348205299613813,26.36056309851872,284.7142408795982,237.52892244246755,0.0,0.0,96.13425694647992,95.89269920902024,10.0,25.302610655223155,24.55690240095532,343.62926951807617,197.3800681769937,0.0852753673274964,1.3753736142952184,84.43962081669018,82.08580672343692,5.0,24.38817756300768,25.325117096934715,57.96071173680107,6.066310287966843,0.379567350379959,0.8936592398627734,78.52286796001245,72.96437520138991,6.0,25.52159788456453,28.25579049255896,41.62594139057499,41.62594139057499,2.096558935673926,0.1148541206307798,65.5953065082427,71.67515249793446,3.0
Coelhos,-8.067462,-34.893743,8.0,26.25431210663459,26.785894586280413,73.87452487847368,252.340285877975,0.0,0.0,86.502478132528,89.9760431924251,13.0,26.27419304618395,26.356341746056547,123.33003916449472,245.8419077963626,0.0,0.0,95.97212130142556,95.68956734842442,12.0,26.339695947750467,26.340806232838137,313.3678072274949,221.0134624689624,0.0,0.0,96.1926049362336,95.899794053471,4.0,24.166474404435963,24.28800056430857,285.47245944507995,228.40748475288737,2.324312785528647,5.106668720227485,85.08862315313108,80.4374461921482,3.0,26.207765382342195,26.9532451097506,70.55446296801989,9.280233200546652,1.2477425796535155,0.6939669409075246,81.69334299559351,71.51763233036391,0.0,26.156485135630746,25.1655405567053,35.713115408880746,35.713115408880746,4.433552348461284,1.210414697982085,70.9807797700091,71.04327176691783,4.0
Ilha do Leite,-8.065473,-34.895832,8.0,26.41725879450357,26.29992028174315,71.7086453947208,270.5110977814951,0.0,0.0,87.28224317649378,91.84195068744232,13.0,26.233410079271863,26.3532255037465,108.19812183143732,302.6762656551564,0.0,0.0,95.9352146523893,96.04555999203374,12.0,26.31293543443308,26.38176718077976,294.4784640817201,182.1991159374957,0.0,0.0,95.36971840196117,96.4309794902925,4.0,24.7049786246421,26.44907203472885,294.9482894627452,156.00660470727277,1.9042169084282692,0.2816403003645824,83.71892027293818,82.33962015562241,3.0,25.95904977775025,25.528520893473228,59.70146191716434,7.648905576682217,0.1310625319325316,0.213370474730133,78.61879285045154,74.13679466630964,0.0,26.882251300716774,27.95274010673691,34.01799744531916,34.01799744531916,1.229306296321821,1.3284993960597262,65.1778038487941,71.72777092606368,4.0
Paissandú,-8.063493,-34.901822,8.0,26.199550430346783,26.29714051504661,69.74870000112843,216.76176674240247,0.0,0.0,90.05650331588923,92.03809486569028,13.0,26.20729839058006,26.333771408733263,105.9629156061042,294.3297263072563,0.0,0.0,95.9648209924685,95.98005627645584,12.0,26.3941748674965,26.379734231823036,296.8531992722038,200.17870155658613,0.0,0.0,95.8381596414244,95.80225406090796,4.0,24.16865639091008,25.392124938856583,309.35437099954527,163.2537810882052,3.1260385659729897,1.179121877218786,84.08019836711608,78.96365031012499,3.0,26.684973640267195,26.582499393452917,61.55753955297176,9.954612796442072,0.0374112225230196,1.923162716926322,73.31814117420981,79.86261920777133,0.0,26.79533036021141,26.737625803708028,35.384294048491526,35.384294048491526,1.211487808330308,1.9369615603538717,70.71546278054824,78.33851791037523,4.0
Ilha Joana Bezerra,-8.071492,-34.901772,8.0,26.450181530197472,26.581065635906292,75.16499712543867,174.68296189096355,0.0,0.0,85.6141261122827,92.38695968746543,13.0,26.20471141335513,26.34827710452117,99.1636322116434,282.05061690950134,0.0,0.0,95.71935363952883,95.61972990498924,14.0,26.356469835996947,26.35693457646553,306.91860825937727,225.6097946969193,0.0,0.0,95.51151125994704,96.1331179221484,10.0,25.665547408069795,24.20371926025854,337.46130470123853,186.85228623951824,0.02583357897492,1.1273256480921925,88.5126215823283,86.64769462771268,5.0,26.438489489635504,27.308359597788765,58.820550238609066,4.076534477110993,1.867274146540211,3.564771821652233,75.78469865940352,75.6210187423244,6.0,26.635531984467868,25.96045297114824,41.39939331384371,41.39939331384371,3.132650860126262,4.695285520975851,72.04615299933312,79.94160556093732,3.0
Boa Vista,-8.055534,-34.897606,0.0,27.20256426829657,26.82032552339892,81.38597484006158,296.0212247724276,0.0,0.0,87.0129487472118,90.44642218431156,3.0,26.25561991586832,26.36485407006343,120.45172595905562,254.1813819516181,0.0,0.0,96.00359480522924,95.90812322096664,2.0,26.34791734245067,26.374410340308792,307.0548483335497,193.21099550997803,0.0,0.0,95.67854674263762,95.87780247460628,1.0,23.09759243994734,25.37864101027884,295.0616543762728,172.70772938354153,1.45282027532473,1.9077644377528409,87.56205940264381,79.20441567022422,1.0,25.69433032125552,24.99730001062577,60.43488293346793,5.382342918147409,2.0598399799868274,0.0679329493114899,81.4912358609268,71.38046287717789,0.0,26.94720856566084,29.35394664104477,30.18708988960982,30.18708988960982,2.142137931315814,2.4562073478058792,68.86960220842239,71.53063244883299,2.0
Soledade,-8.056605,-34.893988,0.0,26.824346046581415,26.431047197971488,78.46698982810712,262.87386624049674,0.0,0.0,90.12173729162424,89.53247536804022,3.0,26.144772100947247,26.37169553344518,94.6378041200642,299.9173711731067,0.0,0.0,96.00746066294626,95.88333866542516,2.0,26.354464029288085,26.36377718360376,289.86264226687774,257.2536900239683,0.0,0.0,96.262420541354,96.14722029865251,1.0,24.248262520303683,23.360851541203537,289.791482586369,168.42881581891362,2.0437972406126304,2.46661134547917,82.43728487194979,79.9725659430037,1.0,24.56975447570835,24.319089595966528,56.54656449586871,7.072135538286507,2.165062826386141,1.82650940672158,81.9280811031017,67.3249212506065,0.0,25.824486228015186,25.93240341155905,35.01395501401312,35.01395501401312,0.926252993100464,1.4143820261519542,61.66813810491788,77.96817618834297,2.0
