DATA (YYYY-MM-DD),HORA (UTC),TempInstantanea,TempMaxima,TempMinima,UmidadeRelativaMaxima,UmidadeRelativaMinima,UmidadeRelativaInstantanea,VelocidadeVentoMaxima,VelocidadeVentoInstantanea
2019/01/01,0000 UTC,27.0,27.1,26.9,76.0,75.0,75.0,4.8,1.9
2019/01/01,0100 UTC,26.7,27.1,26.6,76.0,74.0,76.0,4.8,1.4
2019/01/01,0200 UTC,26.6,26.8,26.5,76.0,76.0,76.0,4.8,1.7
2019/01/01,0300 UTC,26.3,26.7,26.3,78.0,76.0,77.0,4.3,1.3
2019/01/01,0400 UTC,26.1,26.6,26.1,77.0,76.0,77.0,4.4,1.2
2019/01/01,0500 UTC,26.1,26.3,25.8,79.0,77.0,77.0,5.4,1.4
2019/01/01,0600 UTC,25.8,26.2,25.8,78.0,77.0,78.0,3.9,1.2
2019/01/01,0700 UTC,25.8,25.9,25.5,80.0,78.0,80.0,3.6,1.3
2019/01/01,0800 UTC,24.4,25.9,24.4,84.0,79.0,84.0,3.6,0.4
2019/01/01,0900 UTC,27.1,27.1,24.3,86.0,80.0,80.0,3.0,1.3
2019/01/01,1000 UTC,28.7,29.1,27.1,80.0,65.0,67.0,5.9,2.2
2019/01/01,1100 UTC,30.2,30.2,28.3,68.0,61.0,61.0,5.9,2.4
2019/01/01,1200 UTC,30.5,31.3,29.2,63.0,56.0,58.0,6.3,2.8
2019/01/01,1300 UTC,29.6,31.5,29.6,64.0,57.0,63.0,7.7,3.3
2019/01/01,1400 UTC,29.7,30.3,27.7,75.0,62.0,63.0,8.7,2.6
2019/01/01,1500 UTC,30.3,31.2,29.6,63.0,57.0,62.0,8.7,3.5
2019/01/01,1600 UTC,30.2,30.8,29.2,64.0,54.0,56.0,7.5,2.8
2019/01/01,1700 UTC,29.6,31.1,29.3,60.0,54.0,58.0,6.3,2.8
2019/01/01,1800 UTC,28.6,29.8,28.4,63.0,57.0,63.0,6.1,2.7
2019/01/01,1900 UTC,27.6,28.8,27.6,70.0,61.0,70.0,5.3,1.9
2019/01/01,2000 UTC,26.6,27.6,26.1,80.0,70.0,79.0,5.9,0.9
2019/01/01,2100 UTC,26.1,27.0,26.1,79.0,77.0,79.0,4.5,0.3
2019/01/01,2200 UTC,25.1,26.2,25.1,82.0,79.0,82.0,3.1,0.4
2019/01/01,2300 UTC,24.7,25.1,24.6,87.0,82.0,87.0,1.4,0.3
2019/01/02,0000 UTC,24.9,24.9,24.6,89.0,87.0,89.0,2.3,0.6
2019/01/02,0100 UTC,26.3,26.4,24.9,89.0,84.0,84.0,6.1,1.6
2019/01/02,0200 UTC,25.5,26.3,25.5,86.0,84.0,86.0,4.7,0.9
2019/01/02,0300 UTC,26.0,26.1,25.4,86.0,85.0,85.0,5.0,2.0
2019/01/02,0400 UTC,25.5,26.2,25.5,85.0,84.0,85.0,5.0,1.0
2019/01/02,0500 UTC,26.3,26.3,25.6,85.0,81.0,81.0,4.3,1.7
