bairro,latitude,longitude,ano,mes,chuva
AFLITOS,9110884.0,290992.0,2018,abr,279.67467076308225
AFOGADOS,9106661.8,289910.65,2018,abr,251.22680233222655
AGUA FRIA,9113343.0,290787.7,2018,abr,282.3806160397037
ALTO DO MANDU,9112712.9,287498.0,2018,abr,333.3227711129107
ALTO JOSE BONIFACIO,9113775.0,289181.0,2018,abr,255.65377197509264
ALTO JOSE DO PINHO,9112846.0,289698.0,2018,abr,235.71584770424943
ALTO SANTA TEREZINHA,9113502.0,289671.0,2018,abr,244.33692680755897
APIPUCOS,9113095.0,286390.0,2018,abr,368.6102601825876
AREIAS,9104782.0,287566.7,2018,abr,265.51853890644804
ARRUDA,9112449.1,291553.7,2018,abr,308.1980835430083
BARRO,9104647.9,285112.8,2018,abr,270.863868495113
BEBERIBE,9114684.0,290898.0,2018,abr,211.35711709111555
BOA VIAGEM,9101556.0,290274.0,2018,abr,318.9157981989844
BOA VISTA,9108394.0,292017.0,2018,abr,106.54481145114502
BOMBA DO HEMETERIO,9112839.1,290413.0,2018,abr,274.8701757705999
BONGI,9107910.4,288238.4,2018,abr,329.5849638776234
BRASILIA TEIMOSA,9106073.0,292947.0,2018,abr,195.5049250250408
BREJO DA GUABIRABA,9116097.0,287054.0,2018,abr,137.7539182693668
BREJO DE BEBERIBE,9115386.1,287902.9,2018,abr,249.2429957972088
CABANGA,9106392.0,290894.3,2018,abr,209.42800996593624
CACOTE,9104023.9,287032.9,2018,abr,316.60068269703044
CAJUEIRO,9113888.0,292172.0,2018,abr,134.40531781590894
CAMPINA DO BARRETO,9113399.0,292574.0,2018,abr,177.80339574340536
CAMPO GRANDE,9111728.0,292874.0,2018,abr,327.54690936078623
CASA AMARELA,9112482.0,288643.0,2018,abr,273.3057840629183
CASA FORTE,9111470.0,288586.0,2018,abr,221.2103618948444
CAXANGA,9111832.0,285184.0,2018,abr,208.54442351134324
CIDADE UNIVERSITARIA,9109172.0,284920.0,2018,abr,163.90511573726658
COELHOS,9107816.0,291882.0,2018,abr,346.9762038341081
COHAB,9101433.0,284767.0,2018,abr,213.22585194793984
COQUEIRAL,9105465.0,283108.0,2018,abr,285.45125112423364
CORDEIRO,9109547.0,287467.0,2018,abr,287.62341194499635
CORREGO DO JENIPAPO,9114488.0,286627.0,2018,abr,271.58467190216646
CURADO,9107651.0,283800.0,2018,abr,213.0665499167844
DERBY,9108825.0,290723.0,2018,abr,285.86051518105234
DOIS IRMAOS,9114707.0,284762.0,2018,abr,342.39876924635365
DOIS UNIDOS,9115967.0,289395.0,2018,abr,291.089712659625
ENCRUZILHADA,9111158.0,291613.0,2018,abr,317.2891458746311
ENGENHO DO MEIO,9108934.0,285940.0,2018,abr,200.28385129630735
ESPINHEIRO,9110478.0,291571.0,2018,abr,197.8422834413423
ESTANCIA,9105647.0,287423.0,2018,abr,299.149365935981
FUNDAO,9113575.6,291651.2,2018,abr,355.6400542603505
GRACAS,9110179.5,290528.0,2018,abr,266.7279952476315
GUABIRABA,9120358.0,284635.0,2018,abr,277.7372914456241
HIPODROMO,9111621.2,292022.4,2018,abr,220.6610288973691
IBURA,9101668.1,287104.4,2018,abr,321.1716898107792
ILHA DO LEITE,9107953.6,291260.0,2018,abr,307.4719077850391
ILHA DO RETIRO,9108164.9,290198.2,2018,abr,257.4297371057995
ILHA JOANA BEZERRA,9107504.0,290753.0,2018,abr,159.48970130460043
IMBIRIBEIRA,9103837.8,289440.3,2018,abr,232.2940145523784
IPSEP,9103015.3,288448.0,2018,abr,273.76516649652467
IPUTINGA,9110794.2,286487.9,2018,abr,328.91242649256884
JAQUEIRA,9111235.3,290316.6,2018,abr,345.36418275062863
JARDIM SAO PAULO,9106260.1,285989.0,2018,abr,245.16807698673213
JIQUIA,9105794.0,288086.0,2018,abr,252.33215426246056
JORDAO,9100464.0,286239.0,2018,abr,283.4556429250637
LINHA DO TIRO,9114147.0,290008.0,2018,abr,292.732050415953
MACAXEIRA,9113886.0,287156.0,2018,abr,176.32085444625704
MADALENA,9109267.0,289691.0,2018,abr,160.887097018411
MANGABEIRA,9112518.0,290270.0,2018,abr,322.1217791247834
MANGUEIRA,9106721.0,288365.0,2018,abr,261.7952388987053
MONTEIRO,9112291.0,287425.0,2018,abr,349.6894116387071
MORRO DA CONCEICAO,9113078.0,288997.0,2018,abr,250.0506759546014
MUSTARDINHA,9107205.0,288581.0,2018,abr,311.5957413425625
NOVA DESCOBERTA,9115154.0,287233.0,2018,abr,344.59157147739086
PAISSANDU,9108269.0,290754.0,2018,abr,220.3966226744897
PARNAMIRIM,9111464.0,289457.0,2018,abr,264.84382824874393
PASSARINHO,9117218.0,288021.0,2018,abr,197.41675680211125
PAU FERRO,9118853.0,282335.0,2018,abr,370.73887229537416
PEIXINHOS,9113220.0,293141.0,2018,abr,207.84610930326875
PINA,9104566.0,291222.0,2018,abr,158.00412742077526
POCO,9111320.0,287974.0,2018,abr,231.06185585175197
PONTO DE PARADA,9111936.0,291363.0,2018,abr,180.29625668560345
PORTO DA MADEIRA,9114446.0,291875.0,2018,abr,294.52406181880053
PRADO,9108586.0,289083.0,2018,abr,202.06521533591
RECIFE,9108963.5,293824.9,2018,abr,182.61339920158144
ROSARINHO,9111653.0,290839.0,2018,abr,312.3707588006736
SAN MARTIN,9107439.0,287447.0,2018,abr,257.60949481033543
SANCHO,9105834.0,283826.0,2018,abr,273.5361342851052
SANTANA,9110875.0,288843.0,2018,abr,269.96396549694043
SANTO AMARO,9109594.0,292657.0,2018,abr,217.917103327066
SANTO ANTONIO,9108074.0,293047.0,2018,abr,366.6641330428385
SAO JOSE,9107439.0,292735.0,2018,abr,251.69290716068903
SITIO DOS PINTOS,9113960.0,284132.0,2018,abr,209.5103269675179
SOLEDADE,9109031.0,291653.0,2018,abr,313.27357540317473
TAMARINEIRA,9111623.0,290489.0,2018,abr,432.3295897874893
TEJIPIO,9105574.0,284554.0,2018,abr,209.54036637942016
TORRE,9110512.0,289784.0,2018,abr,320.0285438762322
TORREAO,9110768.0,292379.0,2018,abr,91.8509252295666
TORROES,9108525.0,286617.0,2018,abr,210.51079569005867
TOTO,9106121.0,283026.0,2018,abr,165.33978939875067
VARZEA,9110202.0,282982.0,2018,abr,124.96441792762027
VASCO DA GAMA,9113906.0,288489.0,2018,abr,288.8628185150505
ZUMBI,9109277.0,288621.0,2018,abr,182.85211523100253
