bairro,latitude,longitude,ano,mes,chuva
AFLITOS,9110884.0,290992.0,2019,ago,82.69126436781988
AFOGADOS,9106661.8,289910.65,2019,ago,82.18337286373615
AGUA FRIA,9113343.0,290787.7,2019,ago,77.20028967867135
ALTO DO MANDU,9112712.9,287498.0,2019,ago,69.40563960469983
ALTO JOSE BONIFACIO,9113775.0,289181.0,2019,ago,114.46496661394264
ALTO JOSE DO PINHO,9112846.0,289698.0,2019,ago,84.67760677872901
ALTO SANTA TEREZINHA,9113502.0,289671.0,2019,ago,82.63826169757009
APIPUCOS,9113095.0,286390.0,2019,ago,102.76738606785388
AREIAS,9104782.0,287566.7,2019,ago,87.21087710966911
ARRUDA,9112449.1,291553.7,2019,ago,64.16790769379523
BARRO,9104647.9,285112.8,2019,ago,62.1222774326487
BEBERIBE,9114684.0,290898.0,2019,ago,113.38597412448348
BOA VIAGEM,9101556.0,290274.0,2019,ago,54.54664550972692
BOA VISTA,9108394.0,292017.0,2019,ago,66.90238443898288
BOMBA DO HEMETERIO,9112839.1,290413.0,2019,ago,43.46917329838404
BONGI,9107910.4,288238.4,2019,ago,90.01679983446678
BRASILIA TEIMOSA,9106073.0,292947.0,2019,ago,46.00547359070652
BREJO DA GUABIRABA,9116097.0,287054.0,2019,ago,70.35178195323255
BREJO DE BEBERIBE,9115386.1,287902.9,2019,ago,115.37527724756212
CABANGA,9106392.0,290894.3,2019,ago,93.8304939548349
CACOTE,9104023.9,287032.9,2019,ago,100.44507065980488
CAJUEIRO,9113888.0,292172.0,2019,ago,87.35701549257811
CAMPINA DO BARRETO,9113399.0,292574.0,2019,ago,112.59547793371762
CAMPO GRANDE,9111728.0,292874.0,2019,ago,127.13279463467684
CASA AMARELA,9112482.0,288643.0,2019,ago,118.73959160020178
CASA FORTE,9111470.0,288586.0,2019,ago,59.91727148732639
CAXANGA,9111832.0,285184.0,2019,ago,155.36058526818022
CIDADE UNIVERSITARIA,9109172.0,284920.0,2019,ago,75.36897914638676
COELHOS,9107816.0,291882.0,2019,ago,117.43004051590766
COHAB,9101433.0,284767.0,2019,ago,85.43368521413669
COQUEIRAL,9105465.0,283108.0,2019,ago,110.3415495780753
CORDEIRO,9109547.0,287467.0,2019,ago,43.61695311816308
CORREGO DO JENIPAPO,9114488.0,286627.0,2019,ago,30.388825928699845
CURADO,9107651.0,283800.0,2019,ago,94.24566827387125
DERBY,9108825.0,290723.0,2019,ago,100.8694845990908
DOIS IRMAOS,9114707.0,284762.0,2019,ago,82.9902171312295
DOIS UNIDOS,9115967.0,289395.0,2019,ago,85.65765941024223
ENCRUZILHADA,9111158.0,291613.0,2019,ago,44.12141317754713
ENGENHO DO MEIO,9108934.0,285940.0,2019,ago,79.19342715023683
ESPINHEIRO,9110478.0,291571.0,2019,ago,102.54071030630053
ESTANCIA,9105647.0,287423.0,2019,ago,95.15644482541455
FUNDAO,9113575.6,291651.2,2019,ago,64.83955118767427
GRACAS,9110179.5,290528.0,2019,ago,57.4175105528342
GUABIRABA,9120358.0,284635.0,2019,ago,128.93576290813976
HIPODROMO,9111621.2,292022.4,2019,ago,24.33448007457109
IBURA,9101668.1,287104.4,2019,ago,86.0517372844292
ILHA DO LEITE,9107953.6,291260.0,2019,ago,81.47789132403925
ILHA DO RETIRO,9108164.9,290198.2,2019,ago,125.5016959020102
ILHA JOANA BEZERRA,9107504.0,290753.0,2019,ago,76.50269028624635
IMBIRIBEIRA,9103837.8,289440.3,2019,ago,113.86011241905771
IPSEP,9103015.3,288448.0,2019,ago,69.43574296359512
IPUTINGA,9110794.2,286487.9,2019,ago,103.72689345561116
JAQUEIRA,9111235.3,290316.6,2019,ago,75.68193799522571
JARDIM SAO PAULO,9106260.1,285989.0,2019,ago,91.86692384544686
JIQUIA,9105794.0,288086.0,2019,ago,68.82976556845858
JORDAO,9100464.0,286239.0,2019,ago,85.46225511844342
LINHA DO TIRO,9114147.0,290008.0,2019,ago,97.31794052053964
MACAXEIRA,9113886.0,287156.0,2019,ago,102.0087050608582
MADALENA,9109267.0,289691.0,2019,ago,106.69751614364672
MANGABEIRA,9112518.0,290270.0,2019,ago,54.81865687113742
MANGUEIRA,9106721.0,288365.0,2019,ago,26.763793509901056
MONTEIRO,9112291.0,287425.0,2019,ago,80.83158704416248
MORRO DA CONCEICAO,9113078.0,288997.0,2019,ago,76.7132044356611
MUSTARDINHA,9107205.0,288581.0,2019,ago,86.56359447054152
NOVA DESCOBERTA,9115154.0,287233.0,2019,ago,67.13323025700603
PAISSANDU,9108269.0,290754.0,2019,ago,76.53825438215492
PARNAMIRIM,9111464.0,289457.0,2019,ago,71.75192285699889
PASSARINHO,9117218.0,288021.0,2019,ago,75.34264507740482
PAU FERRO,9118853.0,282335.0,2019,ago,107.78639419449205
PEIXINHOS,9113220.0,293141.0,2019,ago,80.10981095107934
PINA,9104566.0,291222.0,2019,ago,66.62503882905136
POCO,9111320.0,287974.0,2019,ago,125.7611355484029
PONTO DE PARADA,9111936.0,291363.0,2019,ago,86.63177882464674
PORTO DA MADEIRA,9114446.0,291875.0,2019,ago,92.55386302374254
PRADO,9108586.0,289083.0,2019,ago,80.3208552868731
RECIFE,9108963.5,293824.9,2019,ago,88.38482040588215
ROSARINHO,9111653.0,290839.0,2019,ago,87.48554302886612
SAN MARTIN,9107439.0,287447.0,2019,ago,62.02686849978005
SANCHO,9105834.0,283826.0,2019,ago,58.695856083393664
SANTANA,9110875.0,288843.0,2019,ago,142.4897387851347
SANTO AMARO,9109594.0,292657.0,2019,ago,70.13535979890918
SANTO ANTONIO,9108074.0,293047.0,2019,ago,27.935670248709396
SAO JOSE,9107439.0,292735.0,2019,ago,110.4216851458834
SITIO DOS PINTOS,9113960.0,284132.0,2019,ago,38.785083872223694
SOLEDADE,9109031.0,291653.0,2019,ago,54.77061477747664
TAMARINEIRA,9111623.0,290489.0,2019,ago,93.97895953188356
TEJIPIO,9105574.0,284554.0,2019,ago,111.52035953125451
TORRE,9110512.0,289784.0,2019,ago,83.32754172241572
TORREAO,9110768.0,292379.0,2019,ago,56.09171442013387
TORROES,9108525.0,286617.0,2019,ago,88.19378224558504
TOTO,9106121.0,283026.0,2019,ago,109.86396813556628
VARZEA,9110202.0,282982.0,2019,ago,69.21081623233913
VASCO DA GAMA,9113906.0,288489.0,2019,ago,50.53783270434049
ZUMBI,9109277.0,288621.0,2019,ago,83.3660247209779
