bairro,latitude,longitude,ano,mes,chuva
AFLITOS,9110884.0,290992.0,2018,dez,37.81442661460035
AFOGADOS,9106661.8,289910.65,2018,dez,15.059590005531224
AGUA FRIA,9113343.0,290787.7,2018,dez,6.760780070872741
ALTO DO MANDU,9112712.9,287498.0,2018,dez,20.32040183855435
ALTO JOSE BONIFACIO,9113775.0,289181.0,2018,dez,20.55889209678262
ALTO JOSE DO PINHO,9112846.0,289698.0,2018,dez,5.21428680514963
ALTO SANTA TEREZINHA,9113502.0,289671.0,2018,dez,15.306798304413071
APIPUCOS,9113095.0,286390.0,2018,dez,27.9252190770151
AREIAS,9104782.0,287566.7,2018,dez,34.250670322727046
ARRUDA,9112449.1,291553.7,2018,dez,29.26088906741287
BARRO,9104647.9,285112.8,2018,dez,19.747434345928276
BEBERIBE,9114684.0,290898.0,2018,dez,29.90857123059705
BOA VIAGEM,9101556.0,290274.0,2018,dez,0.4183423615732913
BOA VISTA,9108394.0,292017.0,2018,dez,10.952061295245132
BOMBA DO HEMETERIO,9112839.1,290413.0,2018,dez,29.54661390395698
BONGI,9107910.4,288238.4,2018,dez,6.770001694520079
BRASILIA TEIMOSA,9106073.0,292947.0,2018,dez,32.71595110579003
BREJO DA GUABIRABA,9116097.0,287054.0,2018,dez,11.57242515684428
BREJO DE BEBERIBE,9115386.1,287902.9,2018,dez,40.16437181198685
CABANGA,9106392.0,290894.3,2018,dez,20.63070449821095
CACOTE,9104023.9,287032.9,2018,dez,36.47151021104224
CAJUEIRO,9113888.0,292172.0,2018,dez,34.85002634428432
CAMPINA DO BARRETO,9113399.0,292574.0,2018,dez,11.992392068685872
CAMPO GRANDE,9111728.0,292874.0,2018,dez,14.60264608059989
CASA AMARELA,9112482.0,288643.0,2018,dez,19.156332286861783
CASA FORTE,9111470.0,288586.0,2018,dez,27.146815030198397
CAXANGA,9111832.0,285184.0,2018,dez,38.50398206254599
CIDADE UNIVERSITARIA,9109172.0,284920.0,2018,dez,35.21381218732211
COELHOS,9107816.0,291882.0,2018,dez,25.16898067823056
COHAB,9101433.0,284767.0,2018,dez,20.196837680483988
COQUEIRAL,9105465.0,283108.0,2018,dez,43.633870773841984
CORDEIRO,9109547.0,287467.0,2018,dez,4.810586774220937
CORREGO DO JENIPAPO,9114488.0,286627.0,2018,dez,20.572380505868725
CURADO,9107651.0,283800.0,2018,dez,1.5819023574366329
DERBY,9108825.0,290723.0,2018,dez,36.2322194051914
DOIS IRMAOS,9114707.0,284762.0,2018,dez,22.350914026220376
DOIS UNIDOS,9115967.0,289395.0,2018,dez,14.240200240417844
ENCRUZILHADA,9111158.0,291613.0,2018,dez,34.856217677859355
ENGENHO DO MEIO,9108934.0,285940.0,2018,dez,6.652701297543977
ESPINHEIRO,9110478.0,291571.0,2018,dez,14.526613965025986
ESTANCIA,9105647.0,287423.0,2018,dez,20.51496850365406
FUNDAO,9113575.6,291651.2,2018,dez,6.668212561595698
GRACAS,9110179.5,290528.0,2018,dez,35.92233895264709
GUABIRABA,9120358.0,284635.0,2018,dez,24.820574271881057
HIPODROMO,9111621.2,292022.4,2018,dez,35.423849417974864
IBURA,9101668.1,287104.4,2018,dez,23.135975631662824
ILHA DO LEITE,9107953.6,291260.0,2018,dez,27.389791636752168
ILHA DO RETIRO,9108164.9,290198.2,2018,dez,13.502838655760812
ILHA JOANA BEZERRA,9107504.0,290753.0,2018,dez,24.38797599950142
IMBIRIBEIRA,9103837.8,289440.3,2018,dez,25.36552119421264
IPSEP,9103015.3,288448.0,2018,dez,26.24080754365615
IPUTINGA,9110794.2,286487.9,2018,dez,27.350695300979403
JAQUEIRA,9111235.3,290316.6,2018,dez,7.045905324943856
JARDIM SAO PAULO,9106260.1,285989.0,2018,dez,17.411693119208078
JIQUIA,9105794.0,288086.0,2018,dez,1.3263974286082352
JORDAO,9100464.0,286239.0,2018,dez,16.99172120650115
LINHA DO TIRO,9114147.0,290008.0,2018,dez,17.17905853107248
MACAXEIRA,9113886.0,287156.0,2018,dez,55.69926210883331
MADALENA,9109267.0,289691.0,2018,dez,24.032126508446748
