bairro,latitude,longitude,ano,mes,chuva
AFLITOS,9110884.0,290992.0,2014,fev,69.9025269615973
AFOGADOS,9106661.8,289910.65,2014,fev,61.21506897573456
AGUA FRIA,9113343.0,290787.7,2014,fev,7.543018573774155
ALTO DO MANDU,9112712.9,287498.0,2014,fev,17.082579198387936
ALTO JOSE BONIFACIO,9113775.0,289181.0,2014,fev,34.7562039588919
ALTO JOSE DO PINHO,9112846.0,289698.0,2014,fev,48.74897413232943
ALTO SANTA TEREZINHA,9113502.0,289671.0,2014,fev,31.71776352283252
APIPUCOS,9113095.0,286390.0,2014,fev,47.814901012156994
AREIAS,9104782.0,287566.7,2014,fev,30.831544231639302
ARRUDA,9112449.1,291553.7,2014,fev,34.81376052396583
BARRO,9104647.9,285112.8,2014,fev,63.80188870392709
BEBERIBE,9114684.0,290898.0,2014,fev,77.87466685286284
BOA VIAGEM,9101556.0,290274.0,2014,fev,34.90251172037529
BOA VISTA,9108394.0,292017.0,2014,fev,44.08412322739549
BOMBA DO HEMETERIO,9112839.1,290413.0,2014,fev,32.969923477733765
BONGI,9107910.4,288238.4,2014,fev,21.585682719070345
BRASILIA TEIMOSA,9106073.0,292947.0,2014,fev,12.2225157884326
BREJO DA GUABIRABA,9116097.0,287054.0,2014,fev,58.7160915787452
BREJO DE BEBERIBE,9115386.1,287902.9,2014,fev,68.50572915838029
CABANGA,9106392.0,290894.3,2014,fev,24.071807681891183
CACOTE,9104023.9,287032.9,2014,fev,6.215044282340656
CAJUEIRO,9113888.0,292172.0,2014,fev,29.268637180728504
CAMPINA DO BARRETO,9113399.0,292574.0,2014,fev,11.601821282657331
CAMPO GRANDE,9111728.0,292874.0,2014,fev,83.33788118417547
CASA AMARELA,9112482.0,288643.0,2014,fev,48.95772344557038
CASA FORTE,9111470.0,288586.0,2014,fev,31.48797674175642
CAXANGA,9111832.0,285184.0,2014,fev,38.48372497061761
CIDADE UNIVERSITARIA,9109172.0,284920.0,2014,fev,41.80639091694717
COELHOS,9107816.0,291882.0,2014,fev,47.9425121842021
COHAB,9101433.0,284767.0,2014,fev,49.39113606313318
COQUEIRAL,9105465.0,283108.0,2014,fev,7.642337202371287
CORDEIRO,9109547.0,287467.0,2014,fev,3.878920921878056
CORREGO DO JENIPAPO,9114488.0,286627.0,2014,fev,49.998038853892446
CURADO,9107651.0,283800.0,2014,fev,77.07088469486057
DERBY,9108825.0,290723.0,2014,fev,28.940273340966463
DOIS IRMAOS,9114707.0,284762.0,2014,fev,66.20173580567186
DOIS UNIDOS,9115967.0,289395.0,2014,fev,22.870963912271595
ENCRUZILHADA,9111158.0,291613.0,2014,fev,72.49512484050337
ENGENHO DO MEIO,9108934.0,285940.0,2014,fev,50.40616581043637
ESPINHEIRO,9110478.0,291571.0,2014,fev,35.30331768711534
ESTANCIA,9105647.0,287423.0,2014,fev,51.793268485986005
FUNDAO,9113575.6,291651.2,2014,fev,28.346700145602043
GRACAS,9110179.5,290528.0,2014,fev,48.6795730120638
GUABIRABA,9120358.0,284635.0,2014,fev,45.51371112823074
HIPODROMO,9111621.2,292022.4,2014,fev,24.73371428571547
IBURA,9101668.1,287104.4,2014,fev,39.38126568948287
ILHA DO LEITE,9107953.6,291260.0,2014,fev,94.2853963267002
