bairro,latitude,longitude,ano,mes,chuva
AFLITOS,9110884.0,290992.0,2015,jan,15.584380952040874
AFOGADOS,9106661.8,289910.65,2015,jan,36.63430368221815
AGUA FRIA,9113343.0,290787.7,2015,jan,14.174777881038212
ALTO DO MANDU,9112712.9,287498.0,2015,jan,7.894913329990056
ALTO JOSE BONIFACIO,9113775.0,289181.0,2015,jan,7.266247964089347
ALTO JOSE DO PINHO,9112846.0,289698.0,2015,jan,19.322965091210527
ALTO SANTA TEREZINHA,9113502.0,289671.0,2015,jan,21.646724600636084
APIPUCOS,9113095.0,286390.0,2015,jan,37.2697240908107
AREIAS,9104782.0,287566.7,2015,jan,13.238261557088014
ARRUDA,9112449.1,291553.7,2015,jan,18.585931921539515
BARRO,9104647.9,285112.8,2015,jan,12.812559326208138
BEBERIBE,9114684.0,290898.0,2015,jan,18.644374438228212
BOA VIAGEM,9101556.0,290274.0,2015,jan,26.682608417286705
BOA VISTA,9108394.0,292017.0,2015,jan,32.38014598261313
BOMBA DO HEMETERIO,9112839.1,290413.0,2015,jan,20.376856958181964
BONGI,9107910.4,288238.4,2015,jan,39.804944661287166
BRASILIA TEIMOSA,9106073.0,292947.0,2015,jan,9.093362918288625
BREJO DA GUABIRABA,9116097.0,287054.0,2015,jan,28.1561305824986
BREJO DE BEBERIBE,9115386.1,287902.9,2015,jan,15.381757305378036
CABANGA,9106392.0,290894.3,2015,jan,23.37214588099389
CACOTE,9104023.9,287032.9,2015,jan,15.70148968884746
CAJUEIRO,9113888.0,292172.0,2015,jan,13.624477935016127
CAMPINA DO BARRETO,9113399.0,292574.0,2015,jan,23.146280494771187
CAMPO GRANDE,9111728.0,292874.0,2015,jan,19.39431094614769
CASA AMARELA,9112482.0,288643.0,2015,jan,33.55712439631506
CASA FORTE,9111470.0,288586.0,2015,jan,14.894935400244355
CAXANGA,9111832.0,285184.0,2015,jan,10.671992893520423
CIDADE UNIVERSITARIA,9109172.0,284920.0,2015,jan,20.659674297613986
COELHOS,9107816.0,291882.0,2015,jan,3.2503716581810917
COHAB,9101433.0,284767.0,2015,jan,27.06169732053532
COQUEIRAL,9105465.0,283108.0,2015,jan,19.06015172839605
CORDEIRO,9109547.0,287467.0,2015,jan,20.2452431291038
CORREGO DO JENIPAPO,9114488.0,286627.0,2015,jan,15.630986021494056
CURADO,9107651.0,283800.0,2015,jan,11.599077923628345
DERBY,9108825.0,290723.0,2015,jan,28.45675525989505
DOIS IRMAOS,9114707.0,284762.0,2015,jan,32.548125207247594
DOIS UNIDOS,9115967.0,289395.0,2015,jan,40.53969270373732
ENCRUZILHADA,9111158.0,291613.0,2015,jan,14.85525486211299
ENGENHO DO MEIO,9108934.0,285940.0,2015,jan,20.32614267670344
ESPINHEIRO,9110478.0,291571.0,2015,jan,17.146246995714176
ESTANCIA,9105647.0,287423.0,2015,jan,6.695810214378392
FUNDAO,9113575.6,291651.2,2015,jan,8.608026598862798
GRACAS,9110179.5,290528.0,2015,jan,23.66859715964464
GUABIRABA,9120358.0,284635.0,2015,jan,3.3574937268370206
HIPODROMO,9111621.2,292022.4,2015,jan,28.08247971210781
IBURA,9101668.1,287104.4,2015,jan,19.454628861980297
ILHA DO LEITE,9107953.6,291260.0,2015,jan,8.590169948739995
ILHA DO RETIRO,9108164.9,290198.2,2015,jan,26.88620343618608
ILHA JOANA BEZERRA,9107504.0,290753.0,2015,jan,29.660791207585493
IMBIRIBEIRA,9103837.8,289440.3,2015,jan,30.393455124214043
IPSEP,9103015.3,288448.0,2015,jan,4.626734092546926
IPUTINGA,9110794.2,286487.9,2015,jan,23.972565879380216
JAQUEIRA,9111235.3,290316.6,2015,jan,29.8921695722044
JARDIM SAO PAULO,9106260.1,285989.0,2015,jan,7.678373952019349
JIQUIA,9105794.0,288086.0,2015,jan,21.81688309260001
JORDAO,9100464.0,286239.0,2015,jan,3.904392527445044
