bairro,latitude,longitude,ano,mes,chuva
AFLITOS,9110884.0,290992.0,2011,jul,434.5629795117147
AFOGADOS,9106661.8,289910.65,2011,jul,417.16411229485976
AGUA FRIA,9113343.0,290787.7,2011,jul,496.75843848085935
ALTO DO MANDU,9112712.9,287498.0,2011,jul,419.1343167815339
ALTO JOSE BONIFACIO,9113775.0,289181.0,2011,jul,436.1142619964981
ALTO JOSE DO PINHO,9112846.0,289698.0,2011,jul,403.0075926073722
ALTO SANTA TEREZINHA,9113502.0,289671.0,2011,jul,444.3023724561895
APIPUCOS,9113095.0,286390.0,2011,jul,440.1596039561008
AREIAS,9104782.0,287566.7,2011,jul,471.6718247990615
ARRUDA,9112449.1,291553.7,2011,jul,453.95038593726105
BARRO,9104647.9,285112.8,2011,jul,414.8871796035632
BEBERIBE,9114684.0,290898.0,2011,jul,407.405066933652
BOA VIAGEM,9101556.0,290274.0,2011,jul,449.6522675147242
BOA VISTA,9108394.0,292017.0,2011,jul,461.0123759920417
BOMBA DO HEMETERIO,9112839.1,290413.0,2011,jul,443.1278962684067
BONGI,9107910.4,288238.4,2011,jul,432.8866300980903
BRASILIA TEIMOSA,9106073.0,292947.0,2011,jul,368.1204204733
BREJO DA GUABIRABA,9116097.0,287054.0,2011,jul,454.4059914590282
BREJO DE BEBERIBE,9115386.1,287902.9,2011,jul,426.1549677740752
CABANGA,9106392.0,290894.3,2011,jul,432.9028520692391
CACOTE,9104023.9,287032.9,2011,jul,391.6869810256321
CAJUEIRO,9113888.0,292172.0,2011,jul,462.94153009293626
CAMPINA DO BARRETO,9113399.0,292574.0,2011,jul,459.0478535440554
CAMPO GRANDE,9111728.0,292874.0,2011,jul,509.4191658406029
CASA AMARELA,9112482.0,288643.0,2011,jul,439.2023352552081
CASA FORTE,9111470.0,288586.0,2011,jul,461.887139836784
CAXANGA,9111832.0,285184.0,2011,jul,438.0835037309004
CIDADE UNIVERSITARIA,9109172.0,284920.0,2011,jul,432.5770789181544
COELHOS,9107816.0,291882.0,2011,jul,462.2871238825665
COHAB,9101433.0,284767.0,2011,jul,454.2140800081072
COQUEIRAL,9105465.0,283108.0,2011,jul,434.87770721714776
CORDEIRO,9109547.0,287467.0,2011,jul,490.1490091706145
CORREGO DO JENIPAPO,9114488.0,286627.0,2011,jul,403.67248182310686
CURADO,9107651.0,283800.0,2011,jul,472.1855809446217
DERBY,9108825.0,290723.0,2011,jul,429.67421163883847
DOIS IRMAOS,9114707.0,284762.0,2011,jul,418.2623010678167
DOIS UNIDOS,9115967.0,289395.0,2011,jul,451.6210236518151
ENCRUZILHADA,9111158.0,291613.0,2011,jul,440.7734121610741
ENGENHO DO MEIO,9108934.0,285940.0,2011,jul,415.91324434138494
ESPINHEIRO,9110478.0,291571.0,2011,jul,480.6941638842231
ESTANCIA,9105647.0,287423.0,2011,jul,443.5190523920244
FUNDAO,9113575.6,291651.2,2011,jul,410.2769241139396
GRACAS,9110179.5,290528.0,2011,jul,402.0426812484188
GUABIRABA,9120358.0,284635.0,2011,jul,457.25973591434587
HIPODROMO,9111621.2,292022.4,2011,jul,464.3186230919657
IBURA,9101668.1,287104.4,2011,jul,454.0025886157936
ILHA DO LEITE,9107953.6,291260.0,2011,jul,416.81084312463446
ILHA DO RETIRO,9108164.9,290198.2,2011,jul,416.0254082854285
ILHA JOANA BEZERRA,9107504.0,290753.0,2011,jul,435.3305078533536
IMBIRIBEIRA,9103837.8,289440.3,2011,jul,423.3413137110567
IPSEP,9103015.3,288448.0,2011,jul,457.63986454000434
IPUTINGA,9110794.2,286487.9,2011,jul,460.3246354190141
JAQUEIRA,9111235.3,290316.6,2011,jul,395.84485662624974
JARDIM SAO PAULO,9106260.1,285989.0,2011,jul,435.0178308514124
JIQUIA,9105794.0,288086.0,2011,jul,453.7479450440107
JORDAO,9100464.0,286239.0,2011,jul,426.9330615125729
LINHA DO TIRO,9114147.0,290008.0,2011,jul,435.84561368248217
MACAXEIRA,9113886.0,287156.0,2011,jul,374.4773350985316
MADALENA,9109267.0,289691.0,2011,jul,483.759995408226
MANGABEIRA,9112518.0,290270.0,2011,jul,437.83007966209976
MANGUEIRA,9106721.0,288365.0,2011,jul,469.32510668329934
MONTEIRO,9112291.0,287425.0,2011,jul,453.26122678352885
MORRO DA CONCEICAO,9113078.0,288997.0,2011,jul,484.24373485919705
MUSTARDINHA,9107205.0,288581.0,2011,jul,407.6731783269887
NOVA DESCOBERTA,9115154.0,287233.0,2011,jul,433.0224283531383
PAISSANDU,9108269.0,290754.0,2011,jul,442.6614584458552
PARNAMIRIM,9111464.0,289457.0,2011,jul,494.12918483464176
PASSARINHO,9117218.0,288021.0,2011,jul,458.889102468469
PAU FERRO,9118853.0,282335.0,2011,jul,422.5891530280428
PEIXINHOS,9113220.0,293141.0,2011,jul,442.37739036954
PINA,9104566.0,291222.0,2011,jul,460.86080614641895
POCO,9111320.0,287974.0,2011,jul,419.2361294270474
PONTO DE PARADA,9111936.0,291363.0,2011,jul,449.5219025412
PORTO DA MADEIRA,9114446.0,291875.0,2011,jul,494.4614634474884
PRADO,9108586.0,289083.0,2011,jul,425.5462992507029
RECIFE,9108963.5,293824.9,2011,jul,481.9503125898406
ROSARINHO,9111653.0,290839.0,2011,jul,446.5694452085028
SAN MARTIN,9107439.0,287447.0,2011,jul,350.87058546338847
SANCHO,9105834.0,283826.0,2011,jul,426.6170827558697
SANTANA,9110875.0,288843.0,2011,jul,473.54042534505874
SANTO AMARO,9109594.0,292657.0,2011,jul,469.0764538590517
SANTO ANTONIO,9108074.0,293047.0,2011,jul,443.7749653032525
SAO JOSE,9107439.0,292735.0,2011,jul,415.1921897605735
SITIO DOS PINTOS,9113960.0,284132.0,2011,jul,442.4174113131159
SOLEDADE,9109031.0,291653.0,2011,jul,466.1116898039081
TAMARINEIRA,9111623.0,290489.0,2011,jul,503.6678946113029
TEJIPIO,9105574.0,284554.0,2011,jul,400.9993843195769
TORRE,9110512.0,289784.0,2011,jul,416.3855139842353
TORREAO,9110768.0,292379.0,2011,jul,420.574139243319
TORROES,9108525.0,286617.0,2011,jul,505.4090004306959
TOTO,9106121.0,283026.0,2011,jul,448.71202973975215
VARZEA,9110202.0,282982.0,2011,jul,442.8719984310775
VASCO DA GAMA,9113906.0,288489.0,2011,jul,453.821783558029
ZUMBI,9109277.0,288621.0,2011,jul,418.1761415664928
