bairro,latitude,longitude,ano,mes,chuva
AFLITOS,9110884.0,290992.0,2013,jun,44.05415866042711
AFOGADOS,9106661.8,289910.65,2013,jun,175.82542148536487
AGUA FRIA,9113343.0,290787.7,2013,jun,290.01005076535137
ALTO DO MANDU,9112712.9,287498.0,2013,jun,197.1837210637225
ALTO JOSE BONIFACIO,9113775.0,289181.0,2013,jun,179.94150230680197
ALTO JOSE DO PINHO,9112846.0,289698.0,2013,jun,174.7400443077292
ALTO SANTA TEREZINHA,9113502.0,289671.0,2013,jun,184.03424810203603
APIPUCOS,9113095.0,286390.0,2013,jun,291.5396012784017
AREIAS,9104782.0,287566.7,2013,jun,231.42400751408996
ARRUDA,9112449.1,291553.7,2013,jun,135.25005943371
BARRO,9104647.9,285112.8,2013,jun,207.22500459281204
BEBERIBE,9114684.0,290898.0,2013,jun,191.8176083173873
BOA VIAGEM,9101556.0,290274.0,2013,jun,51.79731906970588
BOA VISTA,9108394.0,292017.0,2013,jun,33.039064585823496
BOMBA DO HEMETERIO,9112839.1,290413.0,2013,jun,197.63151203542083
BONGI,9107910.4,288238.4,2013,jun,267.3487138630948
BRASILIA TEIMOSA,9106073.0,292947.0,2013,jun,51.93611354656406
BREJO DA GUABIRABA,9116097.0,287054.0,2013,jun,82.81636434632192
BREJO DE BEBERIBE,9115386.1,287902.9,2013,jun,144.56742941043012
CABANGA,9106392.0,290894.3,2013,jun,202.82513069498924
CACOTE,9104023.9,287032.9,2013,jun,227.84809330231556
CAJUEIRO,9113888.0,292172.0,2013,jun,308.5957243192207
CAMPINA DO BARRETO,9113399.0,292574.0,2013,jun,128.56995458331244
CAMPO GRANDE,9111728.0,292874.0,2013,jun,343.73563272018464
CASA AMARELA,9112482.0,288643.0,2013,jun,188.0123980726818
CASA FORTE,9111470.0,288586.0,2013,jun,258.6446835973895
CAXANGA,9111832.0,285184.0,2013,jun,59.92329196685222
CIDADE UNIVERSITARIA,9109172.0,284920.0,2013,jun,80.86544473735232
COELHOS,9107816.0,291882.0,2013,jun,271.156882883116
COHAB,9101433.0,284767.0,2013,jun,131.6318143344533
COQUEIRAL,9105465.0,283108.0,2013,jun,258.8212216562133
CORDEIRO,9109547.0,287467.0,2013,jun,129.7580332075756
CORREGO DO JENIPAPO,9114488.0,286627.0,2013,jun,140.5192037452797
CURADO,9107651.0,283800.0,2013,jun,198.9025537410084
DERBY,9108825.0,290723.0,2013,jun,307.4602054029034
DOIS IRMAOS,9114707.0,284762.0,2013,jun,179.69650641596766
DOIS UNIDOS,9115967.0,289395.0,2013,jun,151.18607382560054
ENCRUZILHADA,9111158.0,291613.0,2013,jun,358.3594673518792
ENGENHO DO MEIO,9108934.0,285940.0,2013,jun,259.5039787354935
ESPINHEIRO,9110478.0,291571.0,2013,jun,194.19674608976507
ESTANCIA,9105647.0,287423.0,2013,jun,26.331038548720898
FUNDAO,9113575.6,291651.2,2013,jun,346.03018736973024
GRACAS,9110179.5,290528.0,2013,jun,285.55892726342057
GUABIRABA,9120358.0,284635.0,2013,jun,129.44942379861726
HIPODROMO,9111621.2,292022.4,2013,jun,193.5273136009148
IBURA,9101668.1,287104.4,2013,jun,69.65090842983982
ILHA DO LEITE,9107953.6,291260.0,2013,jun,47.865173345062885
ILHA DO RETIRO,9108164.9,290198.2,2013,jun,299.4091710291982
ILHA JOANA BEZERRA,9107504.0,290753.0,2013,jun,185.85036694236803
IMBIRIBEIRA,9103837.8,289440.3,2013,jun,187.71516535303584
IPSEP,9103015.3,288448.0,2013,jun,286.3786799463046
IPUTINGA,9110794.2,286487.9,2013,jun,207.0388287839547
JAQUEIRA,9111235.3,290316.6,2013,jun,201.05518656402307
JARDIM SAO PAULO,9106260.1,285989.0,2013,jun,302.02531366776714
JIQUIA,9105794.0,288086.0,2013,jun,100.30435527340109
JORDAO,9100464.0,286239.0,2013,jun,233.02495914667992
LINHA DO TIRO,9114147.0,290008.0,2013,jun,121.18695732461906
MACAXEIRA,9113886.0,287156.0,2013,jun,224.45931680302664
MADALENA,9109267.0,289691.0,2013,jun,315.5384692046791
MANGABEIRA,9112518.0,290270.0,2013,jun,282.0322191948936
MANGUEIRA,9106721.0,288365.0,2013,jun,119.33710089872253
MONTEIRO,9112291.0,287425.0,2013,jun,200.54839372614703
MORRO DA CONCEICAO,9113078.0,288997.0,2013,jun,305.0301330384705
MUSTARDINHA,9107205.0,288581.0,2013,jun,171.3159104207801
NOVA DESCOBERTA,9115154.0,287233.0,2013,jun,144.8170573153838
PAISSANDU,9108269.0,290754.0,2013,jun,298.3506439634694
PARNAMIRIM,9111464.0,289457.0,2013,jun,158.0352724093811
PASSARINHO,9117218.0,288021.0,2013,jun,111.54659138629384
PAU FERRO,9118853.0,282335.0,2013,jun,286.63177555621195
PEIXINHOS,9113220.0,293141.0,2013,jun,313.04606888894347
PINA,9104566.0,291222.0,2013,jun,211.72540135299263
POCO,9111320.0,287974.0,2013,jun,255.2867972891887
PONTO DE PARADA,9111936.0,291363.0,2013,jun,176.65242627538385
PORTO DA MADEIRA,9114446.0,291875.0,2013,jun,386.23961388395946
PRADO,9108586.0,289083.0,2013,jun,268.6621383036544
RECIFE,9108963.5,293824.9,2013,jun,136.32963551657625
ROSARINHO,9111653.0,290839.0,2013,jun,184.23334403045317
SAN MARTIN,9107439.0,287447.0,2013,jun,39.309818412020576
SANCHO,9105834.0,283826.0,2013,jun,127.2548799250348
SANTANA,9110875.0,288843.0,2013,jun,149.37860876830996
SANTO AMARO,9109594.0,292657.0,2013,jun,235.65403589657163
SANTO ANTONIO,9108074.0,293047.0,2013,jun,201.43801758928927
SAO JOSE,9107439.0,292735.0,2013,jun,215.93242877674857
SITIO DOS PINTOS,9113960.0,284132.0,2013,jun,382.66679275058135
SOLEDADE,9109031.0,291653.0,2013,jun,116.51785121884689
TAMARINEIRA,9111623.0,290489.0,2013,jun,223.03136562802112
TEJIPIO,9105574.0,284554.0,2013,jun,136.25291236592884
TORRE,9110512.0,289784.0,2013,jun,244.35094232454625
TORREAO,9110768.0,292379.0,2013,jun,123.1245946234919
TORROES,9108525.0,286617.0,2013,jun,282.3521436034276
TOTO,9106121.0,283026.0,2013,jun,135.56302270654913
VARZEA,9110202.0,282982.0,2013,jun,153.94579712053772
VASCO DA GAMA,9113906.0,288489.0,2013,jun,184.43699648727963
ZUMBI,9109277.0,288621.0,2013,jun,221.39230812403295
