bairro,latitude,longitude,ano,mes,chuva
AFLITOS,9110884.0,290992.0,2020,mai,37.01832748994693
AFOGADOS,9106661.8,289910.65,2020,mai,157.16096551812015
AGUA FRIA,9113343.0,290787.7,2020,mai,100.04993035875644
ALTO DO MANDU,9112712.9,287498.0,2020,mai,122.601289008274
ALTO JOSE BONIFACIO,9113775.0,289181.0,2020,mai,52.499834664039895
ALTO JOSE DO PINHO,9112846.0,289698.0,2020,mai,115.8875674311984
ALTO SANTA TEREZINHA,9113502.0,289671.0,2020,mai,99.76043941477432
APIPUCOS,9113095.0,286390.0,2020,mai,83.6588367219113
AREIAS,9104782.0,287566.7,2020,mai,81.92894204087527
ARRUDA,9112449.1,291553.7,2020,mai,142.03633103230374
BARRO,9104647.9,285112.8,2020,mai,45.07039299867793
BEBERIBE,9114684.0,290898.0,2020,mai,126.52073793382328
BOA VIAGEM,9101556.0,290274.0,2020,mai,112.31133609993252
BOA VISTA,9108394.0,292017.0,2020,mai,122.61463374204962
BOMBA DO HEMETERIO,9112839.1,290413.0,2020,mai,107.07769690177228
BONGI,9107910.4,288238.4,2020,mai,93.17894278769452
BRASILIA TEIMOSA,9106073.0,292947.0,2020,mai,106.23265933381194
BREJO DA GUABIRABA,9116097.0,287054.0,2020,mai,97.21615886619912
BREJO DE BEBERIBE,9115386.1,287902.9,2020,mai,79.21488975141132
CABANGA,9106392.0,290894.3,2020,mai,167.52716222266238
CACOTE,9104023.9,287032.9,2020,mai,135.21345231946705
CAJUEIRO,9113888.0,292172.0,2020,mai,94.59257838025884
CAMPINA DO BARRETO,9113399.0,292574.0,2020,mai,165.8183909973004
CAMPO GRANDE,9111728.0,292874.0,2020,mai,75.18800224075632
CASA AMARELA,9112482.0,288643.0,2020,mai,115.05715591539293
CASA FORTE,9111470.0,288586.0,2020,mai,48.89724991278826
CAXANGA,9111832.0,285184.0,2020,mai,105.75207353006398
CIDADE UNIVERSITARIA,9109172.0,284920.0,2020,mai,111.0639429495342
COELHOS,9107816.0,291882.0,2020,mai,157.22121164410785
COHAB,9101433.0,284767.0,2020,mai,165.1080884381237
COQUEIRAL,9105465.0,283108.0,2020,mai,99.18190478548892
CORDEIRO,9109547.0,287467.0,2020,mai,46.35891461647911
CORREGO DO JENIPAPO,9114488.0,286627.0,2020,mai,162.27642717494427
CURADO,9107651.0,283800.0,2020,mai,137.82349248261556
DERBY,9108825.0,290723.0,2020,mai,160.2258279616234
DOIS IRMAOS,9114707.0,284762.0,2020,mai,162.99097528789798
DOIS UNIDOS,9115967.0,289395.0,2020,mai,109.19646772524638
ENCRUZILHADA,9111158.0,291613.0,2020,mai,98.17139665835526
ENGENHO DO MEIO,9108934.0,285940.0,2020,mai,180.4209797152065
ESPINHEIRO,9110478.0,291571.0,2020,mai,126.72681356103496
ESTANCIA,9105647.0,287423.0,2020,mai,143.86024804762104
FUNDAO,9113575.6,291651.2,2020,mai,115.21557746593491
GRACAS,9110179.5,290528.0,2020,mai,121.36898811507588
GUABIRABA,9120358.0,284635.0,2020,mai,124.7209984706884
HIPODROMO,9111621.2,292022.4,2020,mai,81.12094365258115
IBURA,9101668.1,287104.4,2020,mai,76.00930955112071
ILHA DO LEITE,9107953.6,291260.0,2020,mai,142.31207136990002
ILHA DO RETIRO,9108164.9,290198.2,2020,mai,170.83222974226285
ILHA JOANA BEZERRA,9107504.0,290753.0,2020,mai,116.976098076341
IMBIRIBEIRA,9103837.8,289440.3,2020,mai,94.97109811475354
IPSEP,9103015.3,288448.0,2020,mai,147.0562458652421
