bairro,latitude,longitude,ano,mes,chuva
AFLITOS,9110884.0,290992.0,2018,mar,54.125857404299545
AFOGADOS,9106661.8,289910.65,2018,mar,28.518702580770324
AGUA FRIA,9113343.0,290787.7,2018,mar,93.22328502440784
ALTO DO MANDU,9112712.9,287498.0,2018,mar,70.07075959375403
ALTO JOSE BONIFACIO,9113775.0,289181.0,2018,mar,68.7608518497346
ALTO JOSE DO PINHO,9112846.0,289698.0,2018,mar,104.19904154906357
ALTO SANTA TEREZINHA,9113502.0,289671.0,2018,mar,89.21770831511954
APIPUCOS,9113095.0,286390.0,2018,mar,22.287644926079835
AREIAS,9104782.0,287566.7,2018,mar,37.34689263513946
ARRUDA,9112449.1,291553.7,2018,mar,54.68335244520488
BARRO,9104647.9,285112.8,2018,mar,93.19844841790126
BEBERIBE,9114684.0,290898.0,2018,mar,68.09573687837059
BOA VIAGEM,9101556.0,290274.0,2018,mar,64.51444220792084
BOA VISTA,9108394.0,292017.0,2018,mar,63.77181009067
BOMBA DO HEMETERIO,9112839.1,290413.0,2018,mar,37.120008953405794
BONGI,9107910.4,288238.4,2018,mar,86.20283605933432
BRASILIA TEIMOSA,9106073.0,292947.0,2018,mar,106.14342792954815
BREJO DA GUABIRABA,9116097.0,287054.0,2018,mar,65.66330600600412
BREJO DE BEBERIBE,9115386.1,287902.9,2018,mar,54.192864427398646
CABANGA,9106392.0,290894.3,2018,mar,89.14587564821377
CACOTE,9104023.9,287032.9,2018,mar,62.06180837710328
CAJUEIRO,9113888.0,292172.0,2018,mar,46.03926455942811
CAMPINA DO BARRETO,9113399.0,292574.0,2018,mar,62.85651562880855
CAMPO GRANDE,9111728.0,292874.0,2018,mar,89.09677317804285
CASA AMARELA,9112482.0,288643.0,2018,mar,72.89572622551712
CASA FORTE,9111470.0,288586.0,2018,mar,95.09749834385168
CAXANGA,9111832.0,285184.0,2018,mar,79.88149875599643
CIDADE UNIVERSITARIA,9109172.0,284920.0,2018,mar,64.99921424694011
COELHOS,9107816.0,291882.0,2018,mar,72.49680182095967
COHAB,9101433.0,284767.0,2018,mar,63.40827501197822
COQUEIRAL,9105465.0,283108.0,2018,mar,77.18164270250058
