bairro,latitude,longitude,ano,mes,chuva
AFLITOS,9110884.0,290992.0,2010,nov,14.240556534008617
AFOGADOS,9106661.8,289910.65,2010,nov,11.845925093844796
AGUA FRIA,9113343.0,290787.7,2010,nov,15.53388858076795
ALTO DO MANDU,9112712.9,287498.0,2010,nov,17.076286896209773
ALTO JOSE BONIFACIO,9113775.0,289181.0,2010,nov,15.57174178526143
ALTO JOSE DO PINHO,9112846.0,289698.0,2010,nov,12.385559376836104
ALTO SANTA TEREZINHA,9113502.0,289671.0,2010,nov,11.692760854249038
APIPUCOS,9113095.0,286390.0,2010,nov,15.407958851280476
AREIAS,9104782.0,287566.7,2010,nov,10.327820726623957
ARRUDA,9112449.1,291553.7,2010,nov,18.73821676228148
BARRO,9104647.9,285112.8,2010,nov,15.150493410342827
BEBERIBE,9114684.0,290898.0,2010,nov,17.137742391660687
BOA VIAGEM,9101556.0,290274.0,2010,nov,16.43082204481748
BOA VISTA,9108394.0,292017.0,2010,nov,16.758391437521286
BOMBA DO HEMETERIO,9112839.1,290413.0,2010,nov,17.31884306589349
BONGI,9107910.4,288238.4,2010,nov,16.232281640326796
BRASILIA TEIMOSA,9106073.0,292947.0,2010,nov,20.545344861455497
BREJO DA GUABIRABA,9116097.0,287054.0,2010,nov,13.21933104543908
BREJO DE BEBERIBE,9115386.1,287902.9,2010,nov,12.821278069398758
CABANGA,9106392.0,290894.3,2010,nov,19.101574538780127
CACOTE,9104023.9,287032.9,2010,nov,16.19682645735122
CAJUEIRO,9113888.0,292172.0,2010,nov,15.955795245367275
CAMPINA DO BARRETO,9113399.0,292574.0,2010,nov,16.699448344428653
CAMPO GRANDE,9111728.0,292874.0,2010,nov,12.87648654704274
CASA AMARELA,9112482.0,288643.0,2010,nov,13.05851484964118
CASA FORTE,9111470.0,288586.0,2010,nov,16.482100847114474
CAXANGA,9111832.0,285184.0,2010,nov,13.90972316362932
CIDADE UNIVERSITARIA,9109172.0,284920.0,2010,nov,16.722591397063052
COELHOS,9107816.0,291882.0,2010,nov,17.642395233977258
COHAB,9101433.0,284767.0,2010,nov,14.491933556967618
COQUEIRAL,9105465.0,283108.0,2010,nov,16.15511760159002
