bairro,latitude,longitude,ano,mes,chuva
AFLITOS,9110884.0,290992.0,2016,out,3.156858718627767
AFOGADOS,9106661.8,289910.65,2016,out,2.338321273792186
AGUA FRIA,9113343.0,290787.7,2016,out,2.8695750536768334
ALTO DO MANDU,9112712.9,287498.0,2016,out,7.187138437059826
ALTO JOSE BONIFACIO,9113775.0,289181.0,2016,out,3.1461408138369538
ALTO JOSE DO PINHO,9112846.0,289698.0,2016,out,4.186375556620118
ALTO SANTA TEREZINHA,9113502.0,289671.0,2016,out,5.272571199275918
APIPUCOS,9113095.0,286390.0,2016,out,3.1647698291980064
AREIAS,9104782.0,287566.7,2016,out,4.498105031621808
ARRUDA,9112449.1,291553.7,2016,out,6.57309274997907
BARRO,9104647.9,285112.8,2016,out,3.941989842100063
BEBERIBE,9114684.0,290898.0,2016,out,6.8474350295444815
BOA VIAGEM,9101556.0,290274.0,2016,out,3.7311884853550903
BOA VISTA,9108394.0,292017.0,2016,out,4.769673629190707
BOMBA DO HEMETERIO,9112839.1,290413.0,2016,out,9.118089252407092
BONGI,9107910.4,288238.4,2016,out,0.7860657886662183
BRASILIA TEIMOSA,9106073.0,292947.0,2016,out,10.302526694981388
BREJO DA GUABIRABA,9116097.0,287054.0,2016,out,2.0842845339922245
BREJO DE BEBERIBE,9115386.1,287902.9,2016,out,1.915294597275793
CABANGA,9106392.0,290894.3,2016,out,4.254932300248124
CACOTE,9104023.9,287032.9,2016,out,2.001844119541281
CAJUEIRO,9113888.0,292172.0,2016,out,4.218913820574432
CAMPINA DO BARRETO,9113399.0,292574.0,2016,out,2.837171536663885
CAMPO GRANDE,9111728.0,292874.0,2016,out,0.644741496115508
CASA AMARELA,9112482.0,288643.0,2016,out,7.256128025605125
CASA FORTE,9111470.0,288586.0,2016,out,3.261572567831567
CAXANGA,9111832.0,285184.0,2016,out,6.654570564062702
CIDADE UNIVERSITARIA,9109172.0,284920.0,2016,out,1.3781895644216409
COELHOS,9107816.0,291882.0,2016,out,5.602334814524849
COHAB,9101433.0,284767.0,2016,out,3.520193011032428
COQUEIRAL,9105465.0,283108.0,2016,out,1.5362678496454052
CORDEIRO,9109547.0,287467.0,2016,out,1.741425031969968
CORREGO DO JENIPAPO,9114488.0,286627.0,2016,out,3.1745449464199087
CURADO,9107651.0,283800.0,2016,out,3.1499854430830894
DERBY,9108825.0,290723.0,2016,out,5.78332200951736
DOIS IRMAOS,9114707.0,284762.0,2016,out,5.955643371651574
DOIS UNIDOS,9115967.0,289395.0,2016,out,1.7250255584146243
ENCRUZILHADA,9111158.0,291613.0,2016,out,4.171400719744229
ENGENHO DO MEIO,9108934.0,285940.0,2016,out,6.156087128955058
ESPINHEIRO,9110478.0,291571.0,2016,out,5.275955568536625
ESTANCIA,9105647.0,287423.0,2016,out,2.748459268676656
FUNDAO,9113575.6,291651.2,2016,out,4.354123382871784
GRACAS,9110179.5,290528.0,2016,out,4.442981459972381
GUABIRABA,9120358.0,284635.0,2016,out,3.012613545744771
HIPODROMO,9111621.2,292022.4,2016,out,7.703599887579625
IBURA,9101668.1,287104.4,2016,out,3.0020884516600024
ILHA DO LEITE,9107953.6,291260.0,2016,out,7.915970163378571
ILHA DO RETIRO,9108164.9,290198.2,2016,out,2.570808094577121
ILHA JOANA BEZERRA,9107504.0,290753.0,2016,out,6.350227527179468
IMBIRIBEIRA,9103837.8,289440.3,2016,out,4.941635919908968
IPSEP,9103015.3,288448.0,2016,out,0.8873186182193682
IPUTINGA,9110794.2,286487.9,2016,out,2.911583628697876
JAQUEIRA,9111235.3,290316.6,2016,out,5.11868788178028
JARDIM SAO PAULO,9106260.1,285989.0,2016,out,2.7358391040491945
JIQUIA,9105794.0,288086.0,2016,out,2.421804886218248
JORDAO,9100464.0,286239.0,2016,out,4.030240927479631
LINHA DO TIRO,9114147.0,290008.0,2016,out,4.447444750046851
MACAXEIRA,9113886.0,287156.0,2016,out,3.3710716746124763
MADALENA,9109267.0,289691.0,2016,out,3.993546074865346
MANGABEIRA,9112518.0,290270.0,2016,out,1.924024074925975
MANGUEIRA,9106721.0,288365.0,2016,out,4.022462865788439
MONTEIRO,9112291.0,287425.0,2016,out,4.690904613836048
MORRO DA CONCEICAO,9113078.0,288997.0,2016,out,5.58394762936558
MUSTARDINHA,9107205.0,288581.0,2016,out,0.4833996378882865
NOVA DESCOBERTA,9115154.0,287233.0,2016,out,6.029071677869114
PAISSANDU,9108269.0,290754.0,2016,out,2.3643962994408434
PARNAMIRIM,9111464.0,289457.0,2016,out,1.3354258528846343
PASSARINHO,9117218.0,288021.0,2016,out,2.1027328298528314
PAU FERRO,9118853.0,282335.0,2016,out,4.6572366911333125
PEIXINHOS,9113220.0,293141.0,2016,out,3.8439691978483816
PINA,9104566.0,291222.0,2016,out,5.7863908056808455
POCO,9111320.0,287974.0,2016,out,3.385707601841657
PONTO DE PARADA,9111936.0,291363.0,2016,out,5.41620675295971
PORTO DA MADEIRA,9114446.0,291875.0,2016,out,2.21893842128505
PRADO,9108586.0,289083.0,2016,out,3.9786055070858586
RECIFE,9108963.5,293824.9,2016,out,7.157468806947744
ROSARINHO,9111653.0,290839.0,2016,out,3.7464281370232153
SAN MARTIN,9107439.0,287447.0,2016,out,0.8218447644069391
SANCHO,9105834.0,283826.0,2016,out,8.254430335839281
SANTANA,9110875.0,288843.0,2016,out,5.614477033652261
SANTO AMARO,9109594.0,292657.0,2016,out,0.304724505525308
SANTO ANTONIO,9108074.0,293047.0,2016,out,2.3286549897390345
SAO JOSE,9107439.0,292735.0,2016,out,3.519003340116668
SITIO DOS PINTOS,9113960.0,284132.0,2016,out,2.6353888502341745
SOLEDADE,9109031.0,291653.0,2016,out,2.99472294108106
TAMARINEIRA,9111623.0,290489.0,2016,out,5.388119416241036
TEJIPIO,9105574.0,284554.0,2016,out,7.230370018656757
TORRE,9110512.0,289784.0,2016,out,1.252865939978792
TORREAO,9110768.0,292379.0,2016,out,7.255949317570655
TORROES,9108525.0,286617.0,2016,out,6.2191285597717965
TOTO,9106121.0,283026.0,2016,out,2.189303023884728
VARZEA,9110202.0,282982.0,2016,out,4.187591086007139
VASCO DA GAMA,9113906.0,288489.0,2016,out,6.545181207008984
ZUMBI,9109277.0,288621.0,2016,out,1.7204301250118783
