bairro,latitude,longitude,ano,mes,chuva
AFLITOS,9110884.0,290992.0,2016,set,1.0171371758359662
AFOGADOS,9106661.8,289910.65,2016,set,26.167076254965668
AGUA FRIA,9113343.0,290787.7,2016,set,12.413323276096923
ALTO DO MANDU,9112712.9,287498.0,2016,set,16.301505762190946
ALTO JOSE BONIFACIO,9113775.0,289181.0,2016,set,21.934814527422752
ALTO JOSE DO PINHO,9112846.0,289698.0,2016,set,19.56208711456558
ALTO SANTA TEREZINHA,9113502.0,289671.0,2016,set,13.36729111749272
APIPUCOS,9113095.0,286390.0,2016,set,6.344771723764486
AREIAS,9104782.0,287566.7,2016,set,18.271061148607984
ARRUDA,9112449.1,291553.7,2016,set,16.766857740283363
BARRO,9104647.9,285112.8,2016,set,7.062440581825079
BEBERIBE,9114684.0,290898.0,2016,set,15.2991153339402
BOA VIAGEM,9101556.0,290274.0,2016,set,3.600052234979529
BOA VISTA,9108394.0,292017.0,2016,set,10.57408862348292
BOMBA DO HEMETERIO,9112839.1,290413.0,2016,set,25.58476359016005
BONGI,9107910.4,288238.4,2016,set,28.75425693798969
BRASILIA TEIMOSA,9106073.0,292947.0,2016,set,20.76112464780344
BREJO DA GUABIRABA,9116097.0,287054.0,2016,set,25.81066321025496
BREJO DE BEBERIBE,9115386.1,287902.9,2016,set,18.0840464931393
CABANGA,9106392.0,290894.3,2016,set,22.02582884712991
CACOTE,9104023.9,287032.9,2016,set,6.6502371860614
CAJUEIRO,9113888.0,292172.0,2016,set,16.740899149188078
CAMPINA DO BARRETO,9113399.0,292574.0,2016,set,7.537621193009838
CAMPO GRANDE,9111728.0,292874.0,2016,set,20.4156063635749
CASA AMARELA,9112482.0,288643.0,2016,set,19.74422379202604
CASA FORTE,9111470.0,288586.0,2016,set,19.522494411285905
CAXANGA,9111832.0,285184.0,2016,set,10.697988184362863
CIDADE UNIVERSITARIA,9109172.0,284920.0,2016,set,23.44792724293233
COELHOS,9107816.0,291882.0,2016,set,13.056187167334189
COHAB,9101433.0,284767.0,2016,set,15.902502535998336
COQUEIRAL,9105465.0,283108.0,2016,set,10.424199406528572
CORDEIRO,9109547.0,287467.0,2016,set,14.346584322968155
CORREGO DO JENIPAPO,9114488.0,286627.0,2016,set,21.59699076100623
CURADO,9107651.0,283800.0,2016,set,4.881288187897512
DERBY,9108825.0,290723.0,2016,set,12.398455624661509
DOIS IRMAOS,9114707.0,284762.0,2016,set,14.86405786855485
DOIS UNIDOS,9115967.0,289395.0,2016,set,20.80475122530872
ENCRUZILHADA,9111158.0,291613.0,2016,set,12.382851446205011
ENGENHO DO MEIO,9108934.0,285940.0,2016,set,7.842853738248701
ESPINHEIRO,9110478.0,291571.0,2016,set,19.460209982849506
ESTANCIA,9105647.0,287423.0,2016,set,6.496264781287051
FUNDAO,9113575.6,291651.2,2016,set,12.322939564916616
GRACAS,9110179.5,290528.0,2016,set,14.612149675576362
GUABIRABA,9120358.0,284635.0,2016,set,3.450200325658395
HIPODROMO,9111621.2,292022.4,2016,set,19.188659096323104
IBURA,9101668.1,287104.4,2016,set,13.168136929588549
ILHA DO LEITE,9107953.6,291260.0,2016,set,20.577832376040675
ILHA DO RETIRO,9108164.9,290198.2,2016,set,21.449641289943965
ILHA JOANA BEZERRA,9107504.0,290753.0,2016,set,7.187206050030852
IMBIRIBEIRA,9103837.8,289440.3,2016,set,7.921054070180585
IPSEP,9103015.3,288448.0,2016,set,16.315517911899292
IPUTINGA,9110794.2,286487.9,2016,set,23.652775610642895
JAQUEIRA,9111235.3,290316.6,2016,set,12.13275754248499
