bairro,latitude,longitude,ano,mes,temperatura
AFLITOS,9110884.0,290992.0,2019,abr,25.93825257934167
AFOGADOS,9106661.8,289910.65,2019,abr,26.475034760594763
AGUA FRIA,9113343.0,290787.7,2019,abr,27.076850732784905
ALTO DO MANDU,9112712.9,287498.0,2019,abr,25.693284595432427
ALTO JOSE BONIFACIO,9113775.0,289181.0,2019,abr,25.71791668798417
ALTO JOSE DO PINHO,9112846.0,289698.0,2019,abr,27.31045248625009
ALTO SANTA TEREZINHA,9113502.0,289671.0,2019,abr,24.294218760911765
APIPUCOS,9113095.0,286390.0,2019,abr,27.580422788851568
AREIAS,9104782.0,287566.7,2019,abr,27.684480169308205
ARRUDA,9112449.1,291553.7,2019,abr,26.467506216658908
BARRO,9104647.9,285112.8,2019,abr,25.73484331160049
BEBERIBE,9114684.0,290898.0,2019,abr,25.92142742563381
BOA VIAGEM,9101556.0,290274.0,2019,abr,24.75624352622298
BOA VISTA,9108394.0,292017.0,2019,abr,25.95778219122429
BOMBA DO HEMETERIO,9112839.1,290413.0,2019,abr,27.489599638169597
BONGI,9107910.4,288238.4,2019,abr,26.99263584788272
BRASILIA TEIMOSA,9106073.0,292947.0,2019,abr,27.85072178053612
BREJO DA GUABIRABA,9116097.0,287054.0,2019,abr,24.998508479782554
BREJO DE BEBERIBE,9115386.1,287902.9,2019,abr,27.47758460958257
CABANGA,9106392.0,290894.3,2019,abr,25.611917552988345
CACOTE,9104023.9,287032.9,2019,abr,25.773626778497302
CAJUEIRO,9113888.0,292172.0,2019,abr,27.21292003083096
CAMPINA DO BARRETO,9113399.0,292574.0,2019,abr,27.61893620463005
CAMPO GRANDE,9111728.0,292874.0,2019,abr,25.130880051411385
CASA AMARELA,9112482.0,288643.0,2019,abr,25.34426049066372
CASA FORTE,9111470.0,288586.0,2019,abr,27.00380240614412
CAXANGA,9111832.0,285184.0,2019,abr,27.01239315713111
CIDADE UNIVERSITARIA,9109172.0,284920.0,2019,abr,26.68634757843798
COELHOS,9107816.0,291882.0,2019,abr,25.860039662088443
COHAB,9101433.0,284767.0,2019,abr,25.92037445042776
COQUEIRAL,9105465.0,283108.0,2019,abr,25.742639028246696
CORDEIRO,9109547.0,287467.0,2019,abr,26.546218082138783
CORREGO DO JENIPAPO,9114488.0,286627.0,2019,abr,26.783470955444404
CURADO,9107651.0,283800.0,2019,abr,25.71881501498684
DERBY,9108825.0,290723.0,2019,abr,25.6215244811341
DOIS IRMAOS,9114707.0,284762.0,2019,abr,26.83061388469145
DOIS UNIDOS,9115967.0,289395.0,2019,abr,28.95835959376594
ENCRUZILHADA,9111158.0,291613.0,2019,abr,28.643079174459537
ENGENHO DO MEIO,9108934.0,285940.0,2019,abr,27.38116852660506
ESPINHEIRO,9110478.0,291571.0,2019,abr,26.30579899757601
ESTANCIA,9105647.0,287423.0,2019,abr,27.85933352978674
FUNDAO,9113575.6,291651.2,2019,abr,26.240500601232053
GRACAS,9110179.5,290528.0,2019,abr,27.87584855091389
GUABIRABA,9120358.0,284635.0,2019,abr,28.20807527638207
HIPODROMO,9111621.2,292022.4,2019,abr,24.418704895641955
IBURA,9101668.1,287104.4,2019,abr,26.949259693749443
ILHA DO LEITE,9107953.6,291260.0,2019,abr,25.585614935703525
ILHA DO RETIRO,9108164.9,290198.2,2019,abr,26.19398214214766
ILHA JOANA BEZERRA,9107504.0,290753.0,2019,abr,25.86428000636947
IMBIRIBEIRA,9103837.8,289440.3,2019,abr,25.437032165341044
IPSEP,9103015.3,288448.0,2019,abr,26.86833750912651
IPUTINGA,9110794.2,286487.9,2019,abr,27.859822660638965
JAQUEIRA,9111235.3,290316.6,2019,abr,28.974987926702813
JARDIM SAO PAULO,9106260.1,285989.0,2019,abr,27.930546122300004
JIQUIA,9105794.0,288086.0,2019,abr,27.25294905756705
JORDAO,9100464.0,286239.0,2019,abr,28.296900384829
LINHA DO TIRO,9114147.0,290008.0,2019,abr,25.88411441432706
MACAXEIRA,9113886.0,287156.0,2019,abr,27.48667754000965
MADALENA,9109267.0,289691.0,2019,abr,27.265406175040237
MANGABEIRA,9112518.0,290270.0,2019,abr,24.90015392994962
MANGUEIRA,9106721.0,288365.0,2019,abr,25.329780763076798
MONTEIRO,9112291.0,287425.0,2019,abr,27.44934816819044
MORRO DA CONCEICAO,9113078.0,288997.0,2019,abr,27.682688180004003
MUSTARDINHA,9107205.0,288581.0,2019,abr,24.93328450607724
