bairro,latitude,longitude,ano,mes,temperatura
AFLITOS,9110884.0,290992.0,2016,ago,25.585261369569224
AFOGADOS,9106661.8,289910.65,2016,ago,26.073916412226936
AGUA FRIA,9113343.0,290787.7,2016,ago,24.926505830893294
ALTO DO MANDU,9112712.9,287498.0,2016,ago,24.72820847208629
ALTO JOSE BONIFACIO,9113775.0,289181.0,2016,ago,25.89408582272541
ALTO JOSE DO PINHO,9112846.0,289698.0,2016,ago,23.07951634528956
ALTO SANTA TEREZINHA,9113502.0,289671.0,2016,ago,22.763658727693773
APIPUCOS,9113095.0,286390.0,2016,ago,22.90443124262277
AREIAS,9104782.0,287566.7,2016,ago,24.481807187611352
ARRUDA,9112449.1,291553.7,2016,ago,25.06765494264239
BARRO,9104647.9,285112.8,2016,ago,25.45966425332667
BEBERIBE,9114684.0,290898.0,2016,ago,23.98291574535401
BOA VIAGEM,9101556.0,290274.0,2016,ago,23.44249841563919
BOA VISTA,9108394.0,292017.0,2016,ago,23.9977632591051
BOMBA DO HEMETERIO,9112839.1,290413.0,2016,ago,24.343111324203708
BONGI,9107910.4,288238.4,2016,ago,24.43042957757871
BRASILIA TEIMOSA,9106073.0,292947.0,2016,ago,25.839604126508277
BREJO DA GUABIRABA,9116097.0,287054.0,2016,ago,23.8746614798772
BREJO DE BEBERIBE,9115386.1,287902.9,2016,ago,24.377354052286893
CABANGA,9106392.0,290894.3,2016,ago,24.535362333726244
CACOTE,9104023.9,287032.9,2016,ago,23.49186497512097
CAJUEIRO,9113888.0,292172.0,2016,ago,22.936144967454283
CAMPINA DO BARRETO,9113399.0,292574.0,2016,ago,25.490855158366816
CAMPO GRANDE,9111728.0,292874.0,2016,ago,25.718268055954667
CASA AMARELA,9112482.0,288643.0,2016,ago,23.78673258926758
CASA FORTE,9111470.0,288586.0,2016,ago,23.2969105817083
CAXANGA,9111832.0,285184.0,2016,ago,23.80115744162548
CIDADE UNIVERSITARIA,9109172.0,284920.0,2016,ago,24.8116960447554
COELHOS,9107816.0,291882.0,2016,ago,24.38040387880218
COHAB,9101433.0,284767.0,2016,ago,24.31214491777629
COQUEIRAL,9105465.0,283108.0,2016,ago,24.83503782055941
CORDEIRO,9109547.0,287467.0,2016,ago,26.59831620740569
CORREGO DO JENIPAPO,9114488.0,286627.0,2016,ago,25.53207420522268
CURADO,9107651.0,283800.0,2016,ago,24.338507547743557
DERBY,9108825.0,290723.0,2016,ago,25.569485675316717
DOIS IRMAOS,9114707.0,284762.0,2016,ago,25.546897040301086
DOIS UNIDOS,9115967.0,289395.0,2016,ago,25.3454036789984
ENCRUZILHADA,9111158.0,291613.0,2016,ago,23.200741682114074
ENGENHO DO MEIO,9108934.0,285940.0,2016,ago,23.55641546770614
ESPINHEIRO,9110478.0,291571.0,2016,ago,24.597113666780096
ESTANCIA,9105647.0,287423.0,2016,ago,25.031824510638486
FUNDAO,9113575.6,291651.2,2016,ago,25.76514337783256
GRACAS,9110179.5,290528.0,2016,ago,23.85016602779045
GUABIRABA,9120358.0,284635.0,2016,ago,24.213328329546627
HIPODROMO,9111621.2,292022.4,2016,ago,24.240343765060995
IBURA,9101668.1,287104.4,2016,ago,26.91317060434517
ILHA DO LEITE,9107953.6,291260.0,2016,ago,24.10059867484713
ILHA DO RETIRO,9108164.9,290198.2,2016,ago,25.45490943553295
ILHA JOANA BEZERRA,9107504.0,290753.0,2016,ago,25.321341949004832
IMBIRIBEIRA,9103837.8,289440.3,2016,ago,23.07135866164403
IPSEP,9103015.3,288448.0,2016,ago,25.614759950969905
IPUTINGA,9110794.2,286487.9,2016,ago,23.46309132427122
JAQUEIRA,9111235.3,290316.6,2016,ago,23.06528978009441
JARDIM SAO PAULO,9106260.1,285989.0,2016,ago,24.40151261604787
JIQUIA,9105794.0,288086.0,2016,ago,23.05429477901093
JORDAO,9100464.0,286239.0,2016,ago,24.468258738906744
LINHA DO TIRO,9114147.0,290008.0,2016,ago,22.775309292954507
MACAXEIRA,9113886.0,287156.0,2016,ago,24.78876401328636
MADALENA,9109267.0,289691.0,2016,ago,23.431133001790897
MANGABEIRA,9112518.0,290270.0,2016,ago,24.280482030195767
MANGUEIRA,9106721.0,288365.0,2016,ago,24.88387059337373
MONTEIRO,9112291.0,287425.0,2016,ago,23.02542959233728
MORRO DA CONCEICAO,9113078.0,288997.0,2016,ago,25.29195272720962
MUSTARDINHA,9107205.0,288581.0,2016,ago,22.980255528154878
NOVA DESCOBERTA,9115154.0,287233.0,2016,ago,23.5972210468965
PAISSANDU,9108269.0,290754.0,2016,ago,24.09445375607277
PARNAMIRIM,9111464.0,289457.0,2016,ago,26.076425333269963
PASSARINHO,9117218.0,288021.0,2016,ago,25.415179152122583
PAU FERRO,9118853.0,282335.0,2016,ago,24.49988039250522
PEIXINHOS,9113220.0,293141.0,2016,ago,24.88262327034613
PINA,9104566.0,291222.0,2016,ago,25.647723711672608
POCO,9111320.0,287974.0,2016,ago,25.58958780018736
PONTO DE PARADA,9111936.0,291363.0,2016,ago,24.139287075820395
PORTO DA MADEIRA,9114446.0,291875.0,2016,ago,25.38839524338809
PRADO,9108586.0,289083.0,2016,ago,26.940829035496613
RECIFE,9108963.5,293824.9,2016,ago,25.862770456054065
ROSARINHO,9111653.0,290839.0,2016,ago,24.186068008051816
SAN MARTIN,9107439.0,287447.0,2016,ago,25.08332658614971
SANCHO,9105834.0,283826.0,2016,ago,25.61542629681248
SANTANA,9110875.0,288843.0,2016,ago,26.26962185325589
SANTO AMARO,9109594.0,292657.0,2016,ago,24.51114214577096
SANTO ANTONIO,9108074.0,293047.0,2016,ago,24.10753682703377
SAO JOSE,9107439.0,292735.0,2016,ago,25.507139228359904
SITIO DOS PINTOS,9113960.0,284132.0,2016,ago,23.712929977577133
SOLEDADE,9109031.0,291653.0,2016,ago,26.73613722148456
TAMARINEIRA,9111623.0,290489.0,2016,ago,24.336086447911445
TEJIPIO,9105574.0,284554.0,2016,ago,24.783473410207883
TORRE,9110512.0,289784.0,2016,ago,23.715733565308373
TORREAO,9110768.0,292379.0,2016,ago,24.584394794378728
TORROES,9108525.0,286617.0,2016,ago,23.257998864412038
TOTO,9106121.0,283026.0,2016,ago,24.20573511106267
VARZEA,9110202.0,282982.0,2016,ago,24.31180451953955
VASCO DA GAMA,9113906.0,288489.0,2016,ago,24.5599992092152
ZUMBI,9109277.0,288621.0,2016,ago,24.14627111394748
