bairro,latitude,longitude,ano,mes,temperatura
AFLITOS,9110884.0,290992.0,2018,dez,27.69899760718504
AFOGADOS,9106661.8,289910.65,2018,dez,27.63068962686988
AGUA FRIA,9113343.0,290787.7,2018,dez,28.233515665532256
ALTO DO MANDU,9112712.9,287498.0,2018,dez,26.25149229621843
ALTO JOSE BONIFACIO,9113775.0,289181.0,2018,dez,27.682879972702786
ALTO JOSE DO PINHO,9112846.0,289698.0,2018,dez,28.678917604225063
ALTO SANTA TEREZINHA,9113502.0,289671.0,2018,dez,29.13762725623662
APIPUCOS,9113095.0,286390.0,2018,dez,28.202839645812517
AREIAS,9104782.0,287566.7,2018,dez,27.629284525312087
ARRUDA,9112449.1,291553.7,2018,dez,29.339115785918043
BARRO,9104647.9,285112.8,2018,dez,26.241807065122423
BEBERIBE,9114684.0,290898.0,2018,dez,28.206317331567185
BOA VIAGEM,9101556.0,290274.0,2018,dez,26.82882678434791
BOA VISTA,9108394.0,292017.0,2018,dez,26.397993301272503
BOMBA DO HEMETERIO,9112839.1,290413.0,2018,dez,28.113764572229694
BONGI,9107910.4,288238.4,2018,dez,27.28039923251627
BRASILIA TEIMOSA,9106073.0,292947.0,2018,dez,29.25757589199552
BREJO DA GUABIRABA,9116097.0,287054.0,2018,dez,27.389176256652945
BREJO DE BEBERIBE,9115386.1,287902.9,2018,dez,27.159441631929383
CABANGA,9106392.0,290894.3,2018,dez,28.085095542912363
CACOTE,9104023.9,287032.9,2018,dez,26.263696104516956
CAJUEIRO,9113888.0,292172.0,2018,dez,27.808918312206707
CAMPINA DO BARRETO,9113399.0,292574.0,2018,dez,27.512773569014307
CAMPO GRANDE,9111728.0,292874.0,2018,dez,29.489649762175663
CASA AMARELA,9112482.0,288643.0,2018,dez,26.44892563346359
CASA FORTE,9111470.0,288586.0,2018,dez,26.050878673592344
CAXANGA,9111832.0,285184.0,2018,dez,27.67798855205888
CIDADE UNIVERSITARIA,9109172.0,284920.0,2018,dez,27.269949842815347
COELHOS,9107816.0,291882.0,2018,dez,27.111472231798192
COHAB,9101433.0,284767.0,2018,dez,28.527172603834597
COQUEIRAL,9105465.0,283108.0,2018,dez,26.414098556493038
CORDEIRO,9109547.0,287467.0,2018,dez,28.40987172846145
CORREGO DO JENIPAPO,9114488.0,286627.0,2018,dez,26.39040870757344
CURADO,9107651.0,283800.0,2018,dez,28.578183227389868
DERBY,9108825.0,290723.0,2018,dez,27.52622072086693
DOIS IRMAOS,9114707.0,284762.0,2018,dez,28.217105941212058
DOIS UNIDOS,9115967.0,289395.0,2018,dez,27.290474466036223
ENCRUZILHADA,9111158.0,291613.0,2018,dez,27.25883048101116
ENGENHO DO MEIO,9108934.0,285940.0,2018,dez,26.00721712746504
ESPINHEIRO,9110478.0,291571.0,2018,dez,28.066548931646047
ESTANCIA,9105647.0,287423.0,2018,dez,29.60422050625316
FUNDAO,9113575.6,291651.2,2018,dez,28.717267109940305
GRACAS,9110179.5,290528.0,2018,dez,27.227667587503085
GUABIRABA,9120358.0,284635.0,2018,dez,25.831533141882687
HIPODROMO,9111621.2,292022.4,2018,dez,27.379504553257345
IBURA,9101668.1,287104.4,2018,dez,25.33464915142045
ILHA DO LEITE,9107953.6,291260.0,2018,dez,28.63735031434046
ILHA DO RETIRO,9108164.9,290198.2,2018,dez,26.79309984538172
ILHA JOANA BEZERRA,9107504.0,290753.0,2018,dez,26.83848254642889
IMBIRIBEIRA,9103837.8,289440.3,2018,dez,27.75530115188448
IPSEP,9103015.3,288448.0,2018,dez,27.47615254600071
IPUTINGA,9110794.2,286487.9,2018,dez,27.53199287400661
JAQUEIRA,9111235.3,290316.6,2018,dez,29.259347244127564
JARDIM SAO PAULO,9106260.1,285989.0,2018,dez,26.43509894976632
JIQUIA,9105794.0,288086.0,2018,dez,27.910779445301696
JORDAO,9100464.0,286239.0,2018,dez,28.309117983594213
LINHA DO TIRO,9114147.0,290008.0,2018,dez,27.20950333737097
MACAXEIRA,9113886.0,287156.0,2018,dez,28.487637144014045
MADALENA,9109267.0,289691.0,2018,dez,27.285250283706556
MANGABEIRA,9112518.0,290270.0,2018,dez,26.333242885805145
MANGUEIRA,9106721.0,288365.0,2018,dez,26.693292503097982
MONTEIRO,9112291.0,287425.0,2018,dez,27.665377938866605
MORRO DA CONCEICAO,9113078.0,288997.0,2018,dez,27.61057523412271
MUSTARDINHA,9107205.0,288581.0,2018,dez,26.95205512338331
NOVA DESCOBERTA,9115154.0,287233.0,2018,dez,27.93849252033053
PAISSANDU,9108269.0,290754.0,2018,dez,26.320072427411937
PARNAMIRIM,9111464.0,289457.0,2018,dez,28.05522758993701
PASSARINHO,9117218.0,288021.0,2018,dez,28.36574776034121
PAU FERRO,9118853.0,282335.0,2018,dez,28.13109866104506
PEIXINHOS,9113220.0,293141.0,2018,dez,27.06497635483724
PINA,9104566.0,291222.0,2018,dez,28.692489237554646
POCO,9111320.0,287974.0,2018,dez,27.054231783286635
PONTO DE PARADA,9111936.0,291363.0,2018,dez,26.281495903171702
PORTO DA MADEIRA,9114446.0,291875.0,2018,dez,28.03977637295701
PRADO,9108586.0,289083.0,2018,dez,25.44589132568312
RECIFE,9108963.5,293824.9,2018,dez,27.24563822514885
ROSARINHO,9111653.0,290839.0,2018,dez,26.28497006669636
SAN MARTIN,9107439.0,287447.0,2018,dez,26.632727440891497
SANCHO,9105834.0,283826.0,2018,dez,31.365905831130803
SANTANA,9110875.0,288843.0,2018,dez,26.61106135132129
SANTO AMARO,9109594.0,292657.0,2018,dez,27.411498026781707
SANTO ANTONIO,9108074.0,293047.0,2018,dez,27.214745800394688
SAO JOSE,9107439.0,292735.0,2018,dez,27.935282883986982
SITIO DOS PINTOS,9113960.0,284132.0,2018,dez,28.20492491117345
SOLEDADE,9109031.0,291653.0,2018,dez,28.10572897088872
TAMARINEIRA,9111623.0,290489.0,2018,dez,28.144260463040062
TEJIPIO,9105574.0,284554.0,2018,dez,26.904833223224816
TORRE,9110512.0,289784.0,2018,dez,26.748598162161176
TORREAO,9110768.0,292379.0,2018,dez,27.8181091786488
TORROES,9108525.0,286617.0,2018,dez,28.418726503309973
TOTO,9106121.0,283026.0,2018,dez,27.487860350271067
VARZEA,9110202.0,282982.0,2018,dez,26.961210210486733
VASCO DA GAMA,9113906.0,288489.0,2018,dez,27.442227012950788
ZUMBI,9109277.0,288621.0,2018,dez,27.199936906646773
