bairro,latitude,longitude,ano,mes,temperatura
AFLITOS,9110884.0,290992.0,2015,fev,26.430951363150285
AFOGADOS,9106661.8,289910.65,2015,fev,25.593239456748496
AGUA FRIA,9113343.0,290787.7,2015,fev,27.75709459538452
ALTO DO MANDU,9112712.9,287498.0,2015,fev,26.070708246822548
ALTO JOSE BONIFACIO,9113775.0,289181.0,2015,fev,27.655000344194445
ALTO JOSE DO PINHO,9112846.0,289698.0,2015,fev,26.962733971908104
ALTO SANTA TEREZINHA,9113502.0,289671.0,2015,fev,27.39767862881486
APIPUCOS,9113095.0,286390.0,2015,fev,27.79817150153892
AREIAS,9104782.0,287566.7,2015,fev,26.457705180896184
ARRUDA,9112449.1,291553.7,2015,fev,26.974839141648665
BARRO,9104647.9,285112.8,2015,fev,28.399640289575498
BEBERIBE,9114684.0,290898.0,2015,fev,30.61584540916271
BOA VIAGEM,9101556.0,290274.0,2015,fev,26.31378996853088
BOA VISTA,9108394.0,292017.0,2015,fev,28.38413425243269
BOMBA DO HEMETERIO,9112839.1,290413.0,2015,fev,27.220266506733854
BONGI,9107910.4,288238.4,2015,fev,28.199350209919736
BRASILIA TEIMOSA,9106073.0,292947.0,2015,fev,27.50650085874462
BREJO DA GUABIRABA,9116097.0,287054.0,2015,fev,26.625058325639326
BREJO DE BEBERIBE,9115386.1,287902.9,2015,fev,27.22351078815423
CABANGA,9106392.0,290894.3,2015,fev,28.31129826781517
CACOTE,9104023.9,287032.9,2015,fev,26.431441381939965
CAJUEIRO,9113888.0,292172.0,2015,fev,27.156001148511574
CAMPINA DO BARRETO,9113399.0,292574.0,2015,fev,27.53698616738978
CAMPO GRANDE,9111728.0,292874.0,2015,fev,27.51383631739127
CASA AMARELA,9112482.0,288643.0,2015,fev,27.74368445364043
CASA FORTE,9111470.0,288586.0,2015,fev,25.117578202478064
CAXANGA,9111832.0,285184.0,2015,fev,27.84881508150146
CIDADE UNIVERSITARIA,9109172.0,284920.0,2015,fev,26.848896888011403
COELHOS,9107816.0,291882.0,2015,fev,26.657207272770545
COHAB,9101433.0,284767.0,2015,fev,29.20518807146444
COQUEIRAL,9105465.0,283108.0,2015,fev,27.722764854218404
CORDEIRO,9109547.0,287467.0,2015,fev,26.05049728742062
CORREGO DO JENIPAPO,9114488.0,286627.0,2015,fev,28.0387032477914
CURADO,9107651.0,283800.0,2015,fev,26.81853973763502
DERBY,9108825.0,290723.0,2015,fev,28.57678635486422
DOIS IRMAOS,9114707.0,284762.0,2015,fev,27.7052525828418
DOIS UNIDOS,9115967.0,289395.0,2015,fev,29.027214386593908
ENCRUZILHADA,9111158.0,291613.0,2015,fev,28.400922113403432
ENGENHO DO MEIO,9108934.0,285940.0,2015,fev,26.94737208238798
ESPINHEIRO,9110478.0,291571.0,2015,fev,28.31543970634808
ESTANCIA,9105647.0,287423.0,2015,fev,27.79191865211816
