bairro,latitude,longitude,ano,mes,temperatura
AFLITOS,9110884.0,290992.0,2017,jan,28.137598231600016
AFOGADOS,9106661.8,289910.65,2017,jan,28.35385172594105
AGUA FRIA,9113343.0,290787.7,2017,jan,28.69286863054125
ALTO DO MANDU,9112712.9,287498.0,2017,jan,25.78425203858292
ALTO JOSE BONIFACIO,9113775.0,289181.0,2017,jan,27.965595611043263
ALTO JOSE DO PINHO,9112846.0,289698.0,2017,jan,25.744443512949523
ALTO SANTA TEREZINHA,9113502.0,289671.0,2017,jan,27.342010764703502
APIPUCOS,9113095.0,286390.0,2017,jan,27.89703583382489
AREIAS,9104782.0,287566.7,2017,jan,27.0893243154107
ARRUDA,9112449.1,291553.7,2017,jan,26.36123342023968
BARRO,9104647.9,285112.8,2017,jan,27.45540031357473
BEBERIBE,9114684.0,290898.0,2017,jan,27.41106776875944
BOA VIAGEM,9101556.0,290274.0,2017,jan,27.92053594292132
BOA VISTA,9108394.0,292017.0,2017,jan,27.198002662648378
BOMBA DO HEMETERIO,9112839.1,290413.0,2017,jan,28.612012935639136
BONGI,9107910.4,288238.4,2017,jan,27.232381712664758
BRASILIA TEIMOSA,9106073.0,292947.0,2017,jan,27.20165093350156
BREJO DA GUABIRABA,9116097.0,287054.0,2017,jan,26.95406374620606
BREJO DE BEBERIBE,9115386.1,287902.9,2017,jan,27.95105726748916
CABANGA,9106392.0,290894.3,2017,jan,26.13307373608942
CACOTE,9104023.9,287032.9,2017,jan,27.59680413008885
CAJUEIRO,9113888.0,292172.0,2017,jan,28.352737495447485
CAMPINA DO BARRETO,9113399.0,292574.0,2017,jan,27.236154801792782
CAMPO GRANDE,9111728.0,292874.0,2017,jan,26.5164678554755
CASA AMARELA,9112482.0,288643.0,2017,jan,27.658170842430103
CASA FORTE,9111470.0,288586.0,2017,jan,27.53340548520597
CAXANGA,9111832.0,285184.0,2017,jan,26.507471959188564
CIDADE UNIVERSITARIA,9109172.0,284920.0,2017,jan,29.338700387254427
COELHOS,9107816.0,291882.0,2017,jan,27.416136963986936
COHAB,9101433.0,284767.0,2017,jan,26.43370099457522
COQUEIRAL,9105465.0,283108.0,2017,jan,28.186236622844493
CORDEIRO,9109547.0,287467.0,2017,jan,28.212471194200575
CORREGO DO JENIPAPO,9114488.0,286627.0,2017,jan,28.68906159092888
CURADO,9107651.0,283800.0,2017,jan,26.400400757143803
DERBY,9108825.0,290723.0,2017,jan,28.234203689749787
DOIS IRMAOS,9114707.0,284762.0,2017,jan,28.72869863632788
DOIS UNIDOS,9115967.0,289395.0,2017,jan,26.918921412932704
ENCRUZILHADA,9111158.0,291613.0,2017,jan,28.32629964140492
ENGENHO DO MEIO,9108934.0,285940.0,2017,jan,26.97361883527942
ESPINHEIRO,9110478.0,291571.0,2017,jan,27.13543683850233
ESTANCIA,9105647.0,287423.0,2017,jan,29.517273771060847
FUNDAO,9113575.6,291651.2,2017,jan,26.72740075087749
GRACAS,9110179.5,290528.0,2017,jan,26.99539923671634
GUABIRABA,9120358.0,284635.0,2017,jan,27.93384535294006
HIPODROMO,9111621.2,292022.4,2017,jan,27.519248553849813
IBURA,9101668.1,287104.4,2017,jan,26.581383383903624
ILHA DO LEITE,9107953.6,291260.0,2017,jan,27.62426143332011
