bairro,latitude,longitude,ano,mes,temperatura
AFLITOS,9110884.0,290992.0,2013,jul,24.536045035783346
AFOGADOS,9106661.8,289910.65,2013,jul,22.881971568498155
AGUA FRIA,9113343.0,290787.7,2013,jul,23.67489516019325
ALTO DO MANDU,9112712.9,287498.0,2013,jul,24.118471154919845
ALTO JOSE BONIFACIO,9113775.0,289181.0,2013,jul,22.04768498641028
ALTO JOSE DO PINHO,9112846.0,289698.0,2013,jul,24.17485613948624
ALTO SANTA TEREZINHA,9113502.0,289671.0,2013,jul,23.647776733521724
APIPUCOS,9113095.0,286390.0,2013,jul,25.17108942436088
AREIAS,9104782.0,287566.7,2013,jul,23.39876879311809
ARRUDA,9112449.1,291553.7,2013,jul,25.07218493308181
BARRO,9104647.9,285112.8,2013,jul,25.04256605212405
BEBERIBE,9114684.0,290898.0,2013,jul,23.09402235330499
BOA VIAGEM,9101556.0,290274.0,2013,jul,24.08755123838547
BOA VISTA,9108394.0,292017.0,2013,jul,23.005123857804136
BOMBA DO HEMETERIO,9112839.1,290413.0,2013,jul,24.026590506947628
BONGI,9107910.4,288238.4,2013,jul,24.998852299768597
BRASILIA TEIMOSA,9106073.0,292947.0,2013,jul,25.076685813202605
BREJO DA GUABIRABA,9116097.0,287054.0,2013,jul,24.42669328114194
BREJO DE BEBERIBE,9115386.1,287902.9,2013,jul,24.35074265364009
CABANGA,9106392.0,290894.3,2013,jul,26.125996529715064
CACOTE,9104023.9,287032.9,2013,jul,22.50028565568353
CAJUEIRO,9113888.0,292172.0,2013,jul,23.48591593254323
CAMPINA DO BARRETO,9113399.0,292574.0,2013,jul,25.86078035368989
CAMPO GRANDE,9111728.0,292874.0,2013,jul,24.39933215748917
CASA AMARELA,9112482.0,288643.0,2013,jul,23.75865176922444
CASA FORTE,9111470.0,288586.0,2013,jul,22.54666320785265
CAXANGA,9111832.0,285184.0,2013,jul,24.355244008434163
CIDADE UNIVERSITARIA,9109172.0,284920.0,2013,jul,22.71845553765154
COELHOS,9107816.0,291882.0,2013,jul,22.95885402665624
COHAB,9101433.0,284767.0,2013,jul,23.86343292277001
COQUEIRAL,9105465.0,283108.0,2013,jul,24.326827842915566
CORDEIRO,9109547.0,287467.0,2013,jul,23.992302918139465
CORREGO DO JENIPAPO,9114488.0,286627.0,2013,jul,23.538228497286703
CURADO,9107651.0,283800.0,2013,jul,24.28621202365507
DERBY,9108825.0,290723.0,2013,jul,23.96019340796203
DOIS IRMAOS,9114707.0,284762.0,2013,jul,25.40339713932357
DOIS UNIDOS,9115967.0,289395.0,2013,jul,23.43478883136948
ENCRUZILHADA,9111158.0,291613.0,2013,jul,22.67263975472996
ENGENHO DO MEIO,9108934.0,285940.0,2013,jul,25.952490774477305
ESPINHEIRO,9110478.0,291571.0,2013,jul,24.038753095422457
ESTANCIA,9105647.0,287423.0,2013,jul,24.84732996252391
FUNDAO,9113575.6,291651.2,2013,jul,23.202925709059198
GRACAS,9110179.5,290528.0,2013,jul,24.00927569259423
GUABIRABA,9120358.0,284635.0,2013,jul,23.06863646028798
HIPODROMO,9111621.2,292022.4,2013,jul,22.64481777797718
IBURA,9101668.1,287104.4,2013,jul,22.284171428696872
ILHA DO LEITE,9107953.6,291260.0,2013,jul,24.74786258584207
ILHA DO RETIRO,9108164.9,290198.2,2013,jul,24.07499982626134
ILHA JOANA BEZERRA,9107504.0,290753.0,2013,jul,24.28107164144761
IMBIRIBEIRA,9103837.8,289440.3,2013,jul,24.37808140933857
IPSEP,9103015.3,288448.0,2013,jul,24.98774126682582
IPUTINGA,9110794.2,286487.9,2013,jul,24.283708042170456
JAQUEIRA,9111235.3,290316.6,2013,jul,24.3812862967046
JARDIM SAO PAULO,9106260.1,285989.0,2013,jul,24.10419533014706
JIQUIA,9105794.0,288086.0,2013,jul,24.55158668660236
JORDAO,9100464.0,286239.0,2013,jul,23.4110112104387
LINHA DO TIRO,9114147.0,290008.0,2013,jul,25.90721013321808
MACAXEIRA,9113886.0,287156.0,2013,jul,23.86879822071081
MADALENA,9109267.0,289691.0,2013,jul,23.378505296219004
MANGABEIRA,9112518.0,290270.0,2013,jul,23.64627036365367
MANGUEIRA,9106721.0,288365.0,2013,jul,25.266434571595312
MONTEIRO,9112291.0,287425.0,2013,jul,23.40868274040541
MORRO DA CONCEICAO,9113078.0,288997.0,2013,jul,23.101957749765923
MUSTARDINHA,9107205.0,288581.0,2013,jul,24.51256248044328
NOVA DESCOBERTA,9115154.0,287233.0,2013,jul,22.92571018105359
PAISSANDU,9108269.0,290754.0,2013,jul,23.87930692610165
PARNAMIRIM,9111464.0,289457.0,2013,jul,24.61079616876204
PASSARINHO,9117218.0,288021.0,2013,jul,24.71419293318336
PAU FERRO,9118853.0,282335.0,2013,jul,23.00546041304293
PEIXINHOS,9113220.0,293141.0,2013,jul,23.6408737828825
PINA,9104566.0,291222.0,2013,jul,23.077497905355628
POCO,9111320.0,287974.0,2013,jul,24.44684298599769
PONTO DE PARADA,9111936.0,291363.0,2013,jul,24.10503386842426
PORTO DA MADEIRA,9114446.0,291875.0,2013,jul,24.07825893085501
PRADO,9108586.0,289083.0,2013,jul,24.993973411437217
RECIFE,9108963.5,293824.9,2013,jul,23.675674514012435
ROSARINHO,9111653.0,290839.0,2013,jul,24.3988975712162
SAN MARTIN,9107439.0,287447.0,2013,jul,24.11972622170146
SANCHO,9105834.0,283826.0,2013,jul,22.972527341141596
SANTANA,9110875.0,288843.0,2013,jul,22.870547448380293
SANTO AMARO,9109594.0,292657.0,2013,jul,24.16606742284697
SANTO ANTONIO,9108074.0,293047.0,2013,jul,25.671646995903835
SAO JOSE,9107439.0,292735.0,2013,jul,24.315458531365383
SITIO DOS PINTOS,9113960.0,284132.0,2013,jul,22.897871430138967
SOLEDADE,9109031.0,291653.0,2013,jul,25.211694822576597
TAMARINEIRA,9111623.0,290489.0,2013,jul,23.88795889697065
