bairro,latitude,longitude,ano,mes,temperatura
AFLITOS,9110884.0,290992.0,2016,jun,24.409951088695703
AFOGADOS,9106661.8,289910.65,2016,jun,25.815536569929787
AGUA FRIA,9113343.0,290787.7,2016,jun,24.932055389825525
ALTO DO MANDU,9112712.9,287498.0,2016,jun,24.023572680451583
ALTO JOSE BONIFACIO,9113775.0,289181.0,2016,jun,25.196783665669887
ALTO JOSE DO PINHO,9112846.0,289698.0,2016,jun,23.419573167650043
ALTO SANTA TEREZINHA,9113502.0,289671.0,2016,jun,26.37917974610516
APIPUCOS,9113095.0,286390.0,2016,jun,25.09013850981688
AREIAS,9104782.0,287566.7,2016,jun,24.45687007496449
ARRUDA,9112449.1,291553.7,2016,jun,23.540430453270023
BARRO,9104647.9,285112.8,2016,jun,24.79563883029052
BEBERIBE,9114684.0,290898.0,2016,jun,25.865936425994438
BOA VIAGEM,9101556.0,290274.0,2016,jun,25.071629900056028
BOA VISTA,9108394.0,292017.0,2016,jun,24.38595250792602
BOMBA DO HEMETERIO,9112839.1,290413.0,2016,jun,24.280201888366307
BONGI,9107910.4,288238.4,2016,jun,25.486481094282663
BRASILIA TEIMOSA,9106073.0,292947.0,2016,jun,25.486335935763904
BREJO DA GUABIRABA,9116097.0,287054.0,2016,jun,26.748603025834328
BREJO DE BEBERIBE,9115386.1,287902.9,2016,jun,23.738512525731547
CABANGA,9106392.0,290894.3,2016,jun,24.8405673622796
CACOTE,9104023.9,287032.9,2016,jun,23.774277655312265
CAJUEIRO,9113888.0,292172.0,2016,jun,24.3685863750066
CAMPINA DO BARRETO,9113399.0,292574.0,2016,jun,24.8364763686129
CAMPO GRANDE,9111728.0,292874.0,2016,jun,26.068184216889875
CASA AMARELA,9112482.0,288643.0,2016,jun,26.224089210000443
CASA FORTE,9111470.0,288586.0,2016,jun,23.368098000379604
CAXANGA,9111832.0,285184.0,2016,jun,25.58678906094935
CIDADE UNIVERSITARIA,9109172.0,284920.0,2016,jun,23.84531980484765
COELHOS,9107816.0,291882.0,2016,jun,24.799084495353565
COHAB,9101433.0,284767.0,2016,jun,22.828855093383726
COQUEIRAL,9105465.0,283108.0,2016,jun,27.25492080035524
CORDEIRO,9109547.0,287467.0,2016,jun,25.595472379880626
CORREGO DO JENIPAPO,9114488.0,286627.0,2016,jun,25.202948661489863
CURADO,9107651.0,283800.0,2016,jun,25.55505383162401
DERBY,9108825.0,290723.0,2016,jun,25.016156134279992
DOIS IRMAOS,9114707.0,284762.0,2016,jun,26.59968847510408
DOIS UNIDOS,9115967.0,289395.0,2016,jun,24.35390952454753
ENCRUZILHADA,9111158.0,291613.0,2016,jun,26.076886581625946
ENGENHO DO MEIO,9108934.0,285940.0,2016,jun,26.7412173813805
ESPINHEIRO,9110478.0,291571.0,2016,jun,26.202789894062665
ESTANCIA,9105647.0,287423.0,2016,jun,24.442871074693937
FUNDAO,9113575.6,291651.2,2016,jun,22.85489150363698
GRACAS,9110179.5,290528.0,2016,jun,24.68728915720561
GUABIRABA,9120358.0,284635.0,2016,jun,23.88594240495665
HIPODROMO,9111621.2,292022.4,2016,jun,24.33786896231048
IBURA,9101668.1,287104.4,2016,jun,25.411129995709288
ILHA DO LEITE,9107953.6,291260.0,2016,jun,25.675494505122607
ILHA DO RETIRO,9108164.9,290198.2,2016,jun,24.340163095220365
ILHA JOANA BEZERRA,9107504.0,290753.0,2016,jun,25.479653349912617
IMBIRIBEIRA,9103837.8,289440.3,2016,jun,23.53260902896356
IPSEP,9103015.3,288448.0,2016,jun,25.05946922806748
IPUTINGA,9110794.2,286487.9,2016,jun,24.56800906977812
JAQUEIRA,9111235.3,290316.6,2016,jun,25.43857568696295
JARDIM SAO PAULO,9106260.1,285989.0,2016,jun,24.877322471084465
JIQUIA,9105794.0,288086.0,2016,jun,25.14084289454638
JORDAO,9100464.0,286239.0,2016,jun,23.85096099070062
LINHA DO TIRO,9114147.0,290008.0,2016,jun,24.46991449560555
MACAXEIRA,9113886.0,287156.0,2016,jun,25.89904807083684
MADALENA,9109267.0,289691.0,2016,jun,24.692073113833786
MANGABEIRA,9112518.0,290270.0,2016,jun,23.786853382250555
MANGUEIRA,9106721.0,288365.0,2016,jun,25.76881278638284
MONTEIRO,9112291.0,287425.0,2016,jun,24.35414373620253
MORRO DA CONCEICAO,9113078.0,288997.0,2016,jun,25.98317044831665
MUSTARDINHA,9107205.0,288581.0,2016,jun,25.33978512412349
NOVA DESCOBERTA,9115154.0,287233.0,2016,jun,22.152079882701912
PAISSANDU,9108269.0,290754.0,2016,jun,25.948500334465177
PARNAMIRIM,9111464.0,289457.0,2016,jun,25.25447405203131
PASSARINHO,9117218.0,288021.0,2016,jun,24.572925850651767
PAU FERRO,9118853.0,282335.0,2016,jun,23.80098636813143
PEIXINHOS,9113220.0,293141.0,2016,jun,24.67604671436924
PINA,9104566.0,291222.0,2016,jun,23.06833762911947
POCO,9111320.0,287974.0,2016,jun,25.03850097931878
PONTO DE PARADA,9111936.0,291363.0,2016,jun,25.653849293174588
PORTO DA MADEIRA,9114446.0,291875.0,2016,jun,23.29742414233231
PRADO,9108586.0,289083.0,2016,jun,24.822781546256586
RECIFE,9108963.5,293824.9,2016,jun,26.536688506257168
ROSARINHO,9111653.0,290839.0,2016,jun,22.523035794142583
SAN MARTIN,9107439.0,287447.0,2016,jun,23.293420792497447
SANCHO,9105834.0,283826.0,2016,jun,23.793515550439096
SANTANA,9110875.0,288843.0,2016,jun,25.027496319431744
SANTO AMARO,9109594.0,292657.0,2016,jun,24.85828971245053
SANTO ANTONIO,9108074.0,293047.0,2016,jun,24.202080448500347
SAO JOSE,9107439.0,292735.0,2016,jun,26.418699361043046
SITIO DOS PINTOS,9113960.0,284132.0,2016,jun,25.629081624402858
SOLEDADE,9109031.0,291653.0,2016,jun,28.14263604815164
TAMARINEIRA,9111623.0,290489.0,2016,jun,25.36008425307896
TEJIPIO,9105574.0,284554.0,2016,jun,26.443893630729505
TORRE,9110512.0,289784.0,2016,jun,25.304179233959964
TORREAO,9110768.0,292379.0,2016,jun,26.79309432488332
TORROES,9108525.0,286617.0,2016,jun,23.187876572545363
TOTO,9106121.0,283026.0,2016,jun,25.791980242726627
VARZEA,9110202.0,282982.0,2016,jun,24.33281889620565
VASCO DA GAMA,9113906.0,288489.0,2016,jun,25.831103058350735
ZUMBI,9109277.0,288621.0,2016,jun,24.317378893981623
