bairro,latitude,longitude,ano,mes,temperatura
AFLITOS,9110884.0,290992.0,2013,mai,25.85898419382713
AFOGADOS,9106661.8,289910.65,2013,mai,25.379397525468114
AGUA FRIA,9113343.0,290787.7,2013,mai,24.197850535941324
ALTO DO MANDU,9112712.9,287498.0,2013,mai,24.362864841023725
ALTO JOSE BONIFACIO,9113775.0,289181.0,2013,mai,26.12938168795163
ALTO JOSE DO PINHO,9112846.0,289698.0,2013,mai,25.59430158421885
ALTO SANTA TEREZINHA,9113502.0,289671.0,2013,mai,27.77713872381604
APIPUCOS,9113095.0,286390.0,2013,mai,24.38803363947625
AREIAS,9104782.0,287566.7,2013,mai,25.28131757369993
ARRUDA,9112449.1,291553.7,2013,mai,24.051368219071684
BARRO,9104647.9,285112.8,2013,mai,26.21250442239661
BEBERIBE,9114684.0,290898.0,2013,mai,25.20397513976204
BOA VIAGEM,9101556.0,290274.0,2013,mai,25.96364714749904
BOA VISTA,9108394.0,292017.0,2013,mai,26.492801805799257
BOMBA DO HEMETERIO,9112839.1,290413.0,2013,mai,27.626827586886733
BONGI,9107910.4,288238.4,2013,mai,25.57843838911408
BRASILIA TEIMOSA,9106073.0,292947.0,2013,mai,23.93761034078583
BREJO DA GUABIRABA,9116097.0,287054.0,2013,mai,24.416843071924063
BREJO DE BEBERIBE,9115386.1,287902.9,2013,mai,26.70949177379436
CABANGA,9106392.0,290894.3,2013,mai,26.28301941680955
CACOTE,9104023.9,287032.9,2013,mai,26.23530356962845
CAJUEIRO,9113888.0,292172.0,2013,mai,25.149851789795058
CAMPINA DO BARRETO,9113399.0,292574.0,2013,mai,23.910222383314107
CAMPO GRANDE,9111728.0,292874.0,2013,mai,22.559404614614497
CASA AMARELA,9112482.0,288643.0,2013,mai,23.440755429998138
CASA FORTE,9111470.0,288586.0,2013,mai,24.08236337038835
CAXANGA,9111832.0,285184.0,2013,mai,25.88932628194214
CIDADE UNIVERSITARIA,9109172.0,284920.0,2013,mai,25.4608802361746
COELHOS,9107816.0,291882.0,2013,mai,25.746449734001125
COHAB,9101433.0,284767.0,2013,mai,25.51850178423465
COQUEIRAL,9105465.0,283108.0,2013,mai,26.10148407340699
CORDEIRO,9109547.0,287467.0,2013,mai,24.830847092244003
CORREGO DO JENIPAPO,9114488.0,286627.0,2013,mai,24.39514055889776
CURADO,9107651.0,283800.0,2013,mai,25.846025188040457
DERBY,9108825.0,290723.0,2013,mai,24.60463724437741
DOIS IRMAOS,9114707.0,284762.0,2013,mai,24.99216646711597
DOIS UNIDOS,9115967.0,289395.0,2013,mai,26.111759808503077
ENCRUZILHADA,9111158.0,291613.0,2013,mai,26.12991358554959
ENGENHO DO MEIO,9108934.0,285940.0,2013,mai,26.54402324044399
ESPINHEIRO,9110478.0,291571.0,2013,mai,24.63286716071204
ESTANCIA,9105647.0,287423.0,2013,mai,25.98243997745588
FUNDAO,9113575.6,291651.2,2013,mai,26.314471622132857
GRACAS,9110179.5,290528.0,2013,mai,23.89867338607804
GUABIRABA,9120358.0,284635.0,2013,mai,25.722508083992157
HIPODROMO,9111621.2,292022.4,2013,mai,24.29590994368897
IBURA,9101668.1,287104.4,2013,mai,27.292887792932497
ILHA DO LEITE,9107953.6,291260.0,2013,mai,25.58774063069709
