bairro,latitude,longitude,ano,mes,temperatura
AFLITOS,9110884.0,290992.0,2019,mar,25.9064892632874
AFOGADOS,9106661.8,289910.65,2019,mar,27.714822244261608
AGUA FRIA,9113343.0,290787.7,2019,mar,28.114364559647814
ALTO DO MANDU,9112712.9,287498.0,2019,mar,28.94821665367896
ALTO JOSE BONIFACIO,9113775.0,289181.0,2019,mar,26.69457587859793
ALTO JOSE DO PINHO,9112846.0,289698.0,2019,mar,27.065913920217543
ALTO SANTA TEREZINHA,9113502.0,289671.0,2019,mar,28.70180788339612
APIPUCOS,9113095.0,286390.0,2019,mar,26.37074044243789
AREIAS,9104782.0,287566.7,2019,mar,27.73195145680436
ARRUDA,9112449.1,291553.7,2019,mar,27.901232036840632
BARRO,9104647.9,285112.8,2019,mar,26.433683563974
BEBERIBE,9114684.0,290898.0,2019,mar,27.961952223716764
BOA VIAGEM,9101556.0,290274.0,2019,mar,27.51053897793349
BOA VISTA,9108394.0,292017.0,2019,mar,28.88017696752897
BOMBA DO HEMETERIO,9112839.1,290413.0,2019,mar,26.179257605550987
BONGI,9107910.4,288238.4,2019,mar,27.184563723315257
BRASILIA TEIMOSA,9106073.0,292947.0,2019,mar,28.684079848178342
BREJO DA GUABIRABA,9116097.0,287054.0,2019,mar,27.346378262166997
BREJO DE BEBERIBE,9115386.1,287902.9,2019,mar,29.621847734730697
CABANGA,9106392.0,290894.3,2019,mar,27.32682924875601
CACOTE,9104023.9,287032.9,2019,mar,27.3842813287398
CAJUEIRO,9113888.0,292172.0,2019,mar,29.536260813604272
CAMPINA DO BARRETO,9113399.0,292574.0,2019,mar,27.099273340965464
CAMPO GRANDE,9111728.0,292874.0,2019,mar,28.22731364259965
CASA AMARELA,9112482.0,288643.0,2019,mar,25.12019670412779
CASA FORTE,9111470.0,288586.0,2019,mar,29.02239235798045
CAXANGA,9111832.0,285184.0,2019,mar,26.15302701988708
CIDADE UNIVERSITARIA,9109172.0,284920.0,2019,mar,26.451275011342275
COELHOS,9107816.0,291882.0,2019,mar,28.192435861007247
COHAB,9101433.0,284767.0,2019,mar,27.96129692239453
COQUEIRAL,9105465.0,283108.0,2019,mar,27.03503635986369
CORDEIRO,9109547.0,287467.0,2019,mar,28.220654722355413
CORREGO DO JENIPAPO,9114488.0,286627.0,2019,mar,28.71142351631759
CURADO,9107651.0,283800.0,2019,mar,26.673232488031942
DERBY,9108825.0,290723.0,2019,mar,27.630833568577906
DOIS IRMAOS,9114707.0,284762.0,2019,mar,26.99121793612805
DOIS UNIDOS,9115967.0,289395.0,2019,mar,29.72642590705205
ENCRUZILHADA,9111158.0,291613.0,2019,mar,26.9183217654372
ENGENHO DO MEIO,9108934.0,285940.0,2019,mar,26.6468029269232
ESPINHEIRO,9110478.0,291571.0,2019,mar,26.3772197637102
ESTANCIA,9105647.0,287423.0,2019,mar,25.630849810742657
FUNDAO,9113575.6,291651.2,2019,mar,27.92377051836888
GRACAS,9110179.5,290528.0,2019,mar,27.82703092159333
GUABIRABA,9120358.0,284635.0,2019,mar,28.70687300395585
HIPODROMO,9111621.2,292022.4,2019,mar,29.256900923751573
IBURA,9101668.1,287104.4,2019,mar,25.687269930310908
ILHA DO LEITE,9107953.6,291260.0,2019,mar,26.678284790798145
ILHA DO RETIRO,9108164.9,290198.2,2019,mar,28.222842813011624
ILHA JOANA BEZERRA,9107504.0,290753.0,2019,mar,28.732034181058165
IMBIRIBEIRA,9103837.8,289440.3,2019,mar,28.32872951697629
IPSEP,9103015.3,288448.0,2019,mar,25.88024011879524
