bairro,latitude,longitude,ano,mes,temperatura
AFLITOS,9110884.0,290992.0,2013,jan,27.05855644623392
AFOGADOS,9106661.8,289910.65,2013,jan,25.21667339983393
AGUA FRIA,9113343.0,290787.7,2013,jan,26.840389105276586
ALTO DO MANDU,9112712.9,287498.0,2013,jan,26.73098589964584
ALTO JOSE BONIFACIO,9113775.0,289181.0,2013,jan,29.28281273387387
ALTO JOSE DO PINHO,9112846.0,289698.0,2013,jan,27.53842984113346
ALTO SANTA TEREZINHA,9113502.0,289671.0,2013,jan,26.555848971721453
APIPUCOS,9113095.0,286390.0,2013,jan,27.8170489012544
AREIAS,9104782.0,287566.7,2013,jan,26.140946658341896
ARRUDA,9112449.1,291553.7,2013,jan,24.641236044873672
BARRO,9104647.9,285112.8,2013,jan,26.688334163523567
BEBERIBE,9114684.0,290898.0,2013,jan,27.39024634819869
BOA VIAGEM,9101556.0,290274.0,2013,jan,27.322462654743
BOA VISTA,9108394.0,292017.0,2013,jan,27.961465028296644
BOMBA DO HEMETERIO,9112839.1,290413.0,2013,jan,27.012821005306503
BONGI,9107910.4,288238.4,2013,jan,27.874662531854373
BRASILIA TEIMOSA,9106073.0,292947.0,2013,jan,26.56308725707657
BREJO DA GUABIRABA,9116097.0,287054.0,2013,jan,26.08434941397522
BREJO DE BEBERIBE,9115386.1,287902.9,2013,jan,28.739731849434445
CABANGA,9106392.0,290894.3,2013,jan,26.75929281376929
CACOTE,9104023.9,287032.9,2013,jan,27.617647957539518
CAJUEIRO,9113888.0,292172.0,2013,jan,26.140318579237118
CAMPINA DO BARRETO,9113399.0,292574.0,2013,jan,29.513630578409035
CAMPO GRANDE,9111728.0,292874.0,2013,jan,26.362076165269045
CASA AMARELA,9112482.0,288643.0,2013,jan,26.426827032038545
CASA FORTE,9111470.0,288586.0,2013,jan,26.703467089698748
CAXANGA,9111832.0,285184.0,2013,jan,27.952774462951336
CIDADE UNIVERSITARIA,9109172.0,284920.0,2013,jan,28.500105116603745
COELHOS,9107816.0,291882.0,2013,jan,28.35252112734284
COHAB,9101433.0,284767.0,2013,jan,25.78416079028932
COQUEIRAL,9105465.0,283108.0,2013,jan,28.82283254013793
CORDEIRO,9109547.0,287467.0,2013,jan,26.641570547614712
CORREGO DO JENIPAPO,9114488.0,286627.0,2013,jan,24.701005685846788
