bairro,latitude,longitude,ano,mes,temperatura
AFLITOS,9110884.0,290992.0,2014,nov,24.01234122024286
AFOGADOS,9106661.8,289910.65,2014,nov,26.545021762514395
AGUA FRIA,9113343.0,290787.7,2014,nov,25.84316962832115
ALTO DO MANDU,9112712.9,287498.0,2014,nov,28.12921484067521
ALTO JOSE BONIFACIO,9113775.0,289181.0,2014,nov,25.226880886506365
ALTO JOSE DO PINHO,9112846.0,289698.0,2014,nov,25.69478564716806
ALTO SANTA TEREZINHA,9113502.0,289671.0,2014,nov,27.58784003050264
APIPUCOS,9113095.0,286390.0,2014,nov,26.90528161252704
AREIAS,9104782.0,287566.7,2014,nov,23.64674981888035
ARRUDA,9112449.1,291553.7,2014,nov,27.37310666512033
BARRO,9104647.9,285112.8,2014,nov,24.90296714310952
BEBERIBE,9114684.0,290898.0,2014,nov,25.51409869287916
BOA VIAGEM,9101556.0,290274.0,2014,nov,25.22269736261028
BOA VISTA,9108394.0,292017.0,2014,nov,23.57883470766313
BOMBA DO HEMETERIO,9112839.1,290413.0,2014,nov,26.20908962917819
BONGI,9107910.4,288238.4,2014,nov,25.478305304167453
BRASILIA TEIMOSA,9106073.0,292947.0,2014,nov,25.770112058280294
BREJO DA GUABIRABA,9116097.0,287054.0,2014,nov,26.80383787141499
BREJO DE BEBERIBE,9115386.1,287902.9,2014,nov,26.34268855282744
CABANGA,9106392.0,290894.3,2014,nov,25.747019981900728
CACOTE,9104023.9,287032.9,2014,nov,27.597969149825943
CAJUEIRO,9113888.0,292172.0,2014,nov,24.370368295012717
CAMPINA DO BARRETO,9113399.0,292574.0,2014,nov,24.169757551355534
CAMPO GRANDE,9111728.0,292874.0,2014,nov,26.22129466931044
CASA AMARELA,9112482.0,288643.0,2014,nov,27.060442025420915
CASA FORTE,9111470.0,288586.0,2014,nov,26.1607137023852
CAXANGA,9111832.0,285184.0,2014,nov,25.690943432858155
CIDADE UNIVERSITARIA,9109172.0,284920.0,2014,nov,26.587723994207085
COELHOS,9107816.0,291882.0,2014,nov,25.84852042175851
COHAB,9101433.0,284767.0,2014,nov,26.89655869599212
COQUEIRAL,9105465.0,283108.0,2014,nov,25.95766765667481
CORDEIRO,9109547.0,287467.0,2014,nov,26.36756220185752
CORREGO DO JENIPAPO,9114488.0,286627.0,2014,nov,28.44196518633348
CURADO,9107651.0,283800.0,2014,nov,25.295792627154185
DERBY,9108825.0,290723.0,2014,nov,26.311436671246955
DOIS IRMAOS,9114707.0,284762.0,2014,nov,24.149835666646485
DOIS UNIDOS,9115967.0,289395.0,2014,nov,26.49188957450293
ENCRUZILHADA,9111158.0,291613.0,2014,nov,24.66842457802708
ENGENHO DO MEIO,9108934.0,285940.0,2014,nov,26.95815412632521
ESPINHEIRO,9110478.0,291571.0,2014,nov,25.930689149356937
ESTANCIA,9105647.0,287423.0,2014,nov,26.86379402066311
FUNDAO,9113575.6,291651.2,2014,nov,27.095037509144998
GRACAS,9110179.5,290528.0,2014,nov,26.082734305568607
GUABIRABA,9120358.0,284635.0,2014,nov,26.601688800718943
HIPODROMO,9111621.2,292022.4,2014,nov,26.26920683318456
IBURA,9101668.1,287104.4,2014,nov,26.710692873853507
ILHA DO LEITE,9107953.6,291260.0,2014,nov,26.223786450455734
ILHA DO RETIRO,9108164.9,290198.2,2014,nov,25.144946835839107
ILHA JOANA BEZERRA,9107504.0,290753.0,2014,nov,25.32166879185939
IMBIRIBEIRA,9103837.8,289440.3,2014,nov,27.12537105375871
IPSEP,9103015.3,288448.0,2014,nov,26.96214265551704
IPUTINGA,9110794.2,286487.9,2014,nov,25.87503803819404
JAQUEIRA,9111235.3,290316.6,2014,nov,26.61012872625102
JARDIM SAO PAULO,9106260.1,285989.0,2014,nov,25.7760709503863
JIQUIA,9105794.0,288086.0,2014,nov,25.41248676448799
JORDAO,9100464.0,286239.0,2014,nov,26.397118744911936
LINHA DO TIRO,9114147.0,290008.0,2014,nov,27.967829890067183
MACAXEIRA,9113886.0,287156.0,2014,nov,25.614115127174035
MADALENA,9109267.0,289691.0,2014,nov,25.7755916873065
MANGABEIRA,9112518.0,290270.0,2014,nov,28.52357322521319
MANGUEIRA,9106721.0,288365.0,2014,nov,28.013794397407658
MONTEIRO,9112291.0,287425.0,2014,nov,25.55400934263148
MORRO DA CONCEICAO,9113078.0,288997.0,2014,nov,25.70996324131429
MUSTARDINHA,9107205.0,288581.0,2014,nov,27.7215433704781
NOVA DESCOBERTA,9115154.0,287233.0,2014,nov,25.28575174069122
PAISSANDU,9108269.0,290754.0,2014,nov,26.30753077899969
PARNAMIRIM,9111464.0,289457.0,2014,nov,26.863022650098245
PASSARINHO,9117218.0,288021.0,2014,nov,26.938570931421108
PAU FERRO,9118853.0,282335.0,2014,nov,27.37684920418824
PEIXINHOS,9113220.0,293141.0,2014,nov,26.220689387946475
PINA,9104566.0,291222.0,2014,nov,26.894018405817825
POCO,9111320.0,287974.0,2014,nov,25.70238708096541
PONTO DE PARADA,9111936.0,291363.0,2014,nov,27.00167751678967
PORTO DA MADEIRA,9114446.0,291875.0,2014,nov,26.86403274219047
PRADO,9108586.0,289083.0,2014,nov,25.6843515771064
RECIFE,9108963.5,293824.9,2014,nov,26.976570138982847
ROSARINHO,9111653.0,290839.0,2014,nov,25.29236894582305
SAN MARTIN,9107439.0,287447.0,2014,nov,25.31551144176409
SANCHO,9105834.0,283826.0,2014,nov,26.802141370154576
SANTANA,9110875.0,288843.0,2014,nov,27.06801792918186
SANTO AMARO,9109594.0,292657.0,2014,nov,28.735752336634956
SANTO ANTONIO,9108074.0,293047.0,2014,nov,24.99890285465349
SAO JOSE,9107439.0,292735.0,2014,nov,23.71523132940409
SITIO DOS PINTOS,9113960.0,284132.0,2014,nov,24.96885213962603
SOLEDADE,9109031.0,291653.0,2014,nov,25.420286355769907
TAMARINEIRA,9111623.0,290489.0,2014,nov,25.311942288862127
TEJIPIO,9105574.0,284554.0,2014,nov,27.75966375360502
TORRE,9110512.0,289784.0,2014,nov,27.36561828902884
TORREAO,9110768.0,292379.0,2014,nov,28.043776167594807
TORROES,9108525.0,286617.0,2014,nov,27.093416901904853
TOTO,9106121.0,283026.0,2014,nov,24.86641234108627
VARZEA,9110202.0,282982.0,2014,nov,26.86512423702781
VASCO DA GAMA,9113906.0,288489.0,2014,nov,26.040345459345676
ZUMBI,9109277.0,288621.0,2014,nov,25.778802648682063
