bairro,latitude,longitude,ano,mes,temperatura
AFLITOS,9110884.0,290992.0,2014,out,24.89954142639667
AFOGADOS,9106661.8,289910.65,2014,out,25.194576502793232
AGUA FRIA,9113343.0,290787.7,2014,out,24.57172953598857
ALTO DO MANDU,9112712.9,287498.0,2014,out,25.744894669938898
ALTO JOSE BONIFACIO,9113775.0,289181.0,2014,out,26.965289861165687
ALTO JOSE DO PINHO,9112846.0,289698.0,2014,out,26.77080404824476
ALTO SANTA TEREZINHA,9113502.0,289671.0,2014,out,26.190183137026164
APIPUCOS,9113095.0,286390.0,2014,out,26.883769696271024
AREIAS,9104782.0,287566.7,2014,out,26.220184961432334
ARRUDA,9112449.1,291553.7,2014,out,24.777532132471947
BARRO,9104647.9,285112.8,2014,out,25.2305728466124
BEBERIBE,9114684.0,290898.0,2014,out,25.667402840203465
BOA VIAGEM,9101556.0,290274.0,2014,out,23.43147772428084
BOA VISTA,9108394.0,292017.0,2014,out,25.670001237929785
BOMBA DO HEMETERIO,9112839.1,290413.0,2014,out,25.62629367535304
BONGI,9107910.4,288238.4,2014,out,23.82697276474117
BRASILIA TEIMOSA,9106073.0,292947.0,2014,out,26.9549669115796
BREJO DA GUABIRABA,9116097.0,287054.0,2014,out,23.83622138726368
BREJO DE BEBERIBE,9115386.1,287902.9,2014,out,24.746543722431657
CABANGA,9106392.0,290894.3,2014,out,24.96372602216308
CACOTE,9104023.9,287032.9,2014,out,25.95970212415773
CAJUEIRO,9113888.0,292172.0,2014,out,26.328578633535564
CAMPINA DO BARRETO,9113399.0,292574.0,2014,out,25.413606287331657
CAMPO GRANDE,9111728.0,292874.0,2014,out,24.92882317297059
CASA AMARELA,9112482.0,288643.0,2014,out,25.63458453287565
CASA FORTE,9111470.0,288586.0,2014,out,25.846671240533784
CAXANGA,9111832.0,285184.0,2014,out,25.527325872575076
CIDADE UNIVERSITARIA,9109172.0,284920.0,2014,out,24.56882855409134
COELHOS,9107816.0,291882.0,2014,out,26.54094845959394
COHAB,9101433.0,284767.0,2014,out,26.519243236898244
COQUEIRAL,9105465.0,283108.0,2014,out,25.634501285172416
CORDEIRO,9109547.0,287467.0,2014,out,26.08169023482465
CORREGO DO JENIPAPO,9114488.0,286627.0,2014,out,25.201849760036644
CURADO,9107651.0,283800.0,2014,out,23.748072002829005
DERBY,9108825.0,290723.0,2014,out,26.20842931393241
DOIS IRMAOS,9114707.0,284762.0,2014,out,25.817463206788563
DOIS UNIDOS,9115967.0,289395.0,2014,out,24.860976036918576
ENCRUZILHADA,9111158.0,291613.0,2014,out,26.0498439663702
ENGENHO DO MEIO,9108934.0,285940.0,2014,out,26.22227857565963
ESPINHEIRO,9110478.0,291571.0,2014,out,24.38489017812616
ESTANCIA,9105647.0,287423.0,2014,out,24.387253124586376
FUNDAO,9113575.6,291651.2,2014,out,25.55234139208018
GRACAS,9110179.5,290528.0,2014,out,24.876626647153547
GUABIRABA,9120358.0,284635.0,2014,out,25.85791522272323
HIPODROMO,9111621.2,292022.4,2014,out,26.25463395747864
IBURA,9101668.1,287104.4,2014,out,23.754932263159414
ILHA DO LEITE,9107953.6,291260.0,2014,out,24.76448714696708
ILHA DO RETIRO,9108164.9,290198.2,2014,out,23.29695789940344
ILHA JOANA BEZERRA,9107504.0,290753.0,2014,out,24.58121207304128
IMBIRIBEIRA,9103837.8,289440.3,2014,out,24.648575547495497
IPSEP,9103015.3,288448.0,2014,out,26.472070028124023
IPUTINGA,9110794.2,286487.9,2014,out,25.233643143026733
JAQUEIRA,9111235.3,290316.6,2014,out,25.70143242474228
JARDIM SAO PAULO,9106260.1,285989.0,2014,out,25.65283952026386
JIQUIA,9105794.0,288086.0,2014,out,26.70034521211653
JORDAO,9100464.0,286239.0,2014,out,24.74954836356941
LINHA DO TIRO,9114147.0,290008.0,2014,out,26.123456837927712
MACAXEIRA,9113886.0,287156.0,2014,out,25.20442375432802
MADALENA,9109267.0,289691.0,2014,out,25.472907244501744
MANGABEIRA,9112518.0,290270.0,2014,out,25.25142890788818
MANGUEIRA,9106721.0,288365.0,2014,out,24.678311715030315
MONTEIRO,9112291.0,287425.0,2014,out,25.921079093211503
MORRO DA CONCEICAO,9113078.0,288997.0,2014,out,26.39701625885384
MUSTARDINHA,9107205.0,288581.0,2014,out,25.50027392928993
NOVA DESCOBERTA,9115154.0,287233.0,2014,out,24.04755421391195
PAISSANDU,9108269.0,290754.0,2014,out,25.01553629750347
PARNAMIRIM,9111464.0,289457.0,2014,out,25.622140859740625
PASSARINHO,9117218.0,288021.0,2014,out,25.412939657318407
PAU FERRO,9118853.0,282335.0,2014,out,25.76068243969632
PEIXINHOS,9113220.0,293141.0,2014,out,26.265521811110634
PINA,9104566.0,291222.0,2014,out,25.89901237157765
POCO,9111320.0,287974.0,2014,out,25.04592331782875
PONTO DE PARADA,9111936.0,291363.0,2014,out,26.3915409476265
PORTO DA MADEIRA,9114446.0,291875.0,2014,out,26.04311645399023
PRADO,9108586.0,289083.0,2014,out,25.520796550550884
RECIFE,9108963.5,293824.9,2014,out,23.39533312681332
ROSARINHO,9111653.0,290839.0,2014,out,25.682824130174563
SAN MARTIN,9107439.0,287447.0,2014,out,25.622479212014984
SANCHO,9105834.0,283826.0,2014,out,27.48010350256068
SANTANA,9110875.0,288843.0,2014,out,25.20927399423549
SANTO AMARO,9109594.0,292657.0,2014,out,24.270507739484945
SANTO ANTONIO,9108074.0,293047.0,2014,out,27.01285072329693
SAO JOSE,9107439.0,292735.0,2014,out,25.55837596277888
SITIO DOS PINTOS,9113960.0,284132.0,2014,out,24.72973303747901
SOLEDADE,9109031.0,291653.0,2014,out,25.071879939897094
TAMARINEIRA,9111623.0,290489.0,2014,out,26.39378396939788
TEJIPIO,9105574.0,284554.0,2014,out,25.99731759648045
TORRE,9110512.0,289784.0,2014,out,26.483380199446877
TORREAO,9110768.0,292379.0,2014,out,26.34521156578766
TORROES,9108525.0,286617.0,2014,out,24.898901390894448
TOTO,9106121.0,283026.0,2014,out,26.866718617590955
VARZEA,9110202.0,282982.0,2014,out,25.32316483663602
VASCO DA GAMA,9113906.0,288489.0,2014,out,25.248622382339303
ZUMBI,9109277.0,288621.0,2014,out,25.68539121943614
