bairro,latitude,longitude,ano,mes,temperatura
AFLITOS,9110884.0,290992.0,2017,set,23.691689893618605
AFOGADOS,9106661.8,289910.65,2017,set,24.200479401335016
AGUA FRIA,9113343.0,290787.7,2017,set,25.30653787859403
ALTO DO MANDU,9112712.9,287498.0,2017,set,25.164939538625507
ALTO JOSE BONIFACIO,9113775.0,289181.0,2017,set,24.182030067978044
ALTO JOSE DO PINHO,9112846.0,289698.0,2017,set,24.025889341284323
ALTO SANTA TEREZINHA,9113502.0,289671.0,2017,set,26.47999261256011
APIPUCOS,9113095.0,286390.0,2017,set,24.162771460542668
AREIAS,9104782.0,287566.7,2017,set,25.45593462076633
ARRUDA,9112449.1,291553.7,2017,set,25.21650437644545
BARRO,9104647.9,285112.8,2017,set,24.98541950239081
BEBERIBE,9114684.0,290898.0,2017,set,26.67986649698153
BOA VIAGEM,9101556.0,290274.0,2017,set,24.388452789279903
BOA VISTA,9108394.0,292017.0,2017,set,26.00976235712965
BOMBA DO HEMETERIO,9112839.1,290413.0,2017,set,25.013930288313546
BONGI,9107910.4,288238.4,2017,set,24.24591132822817
BRASILIA TEIMOSA,9106073.0,292947.0,2017,set,23.737018203634324
BREJO DA GUABIRABA,9116097.0,287054.0,2017,set,24.37049829177339
BREJO DE BEBERIBE,9115386.1,287902.9,2017,set,23.964356106137043
CABANGA,9106392.0,290894.3,2017,set,25.89652987453972
CACOTE,9104023.9,287032.9,2017,set,25.147238348386768
CAJUEIRO,9113888.0,292172.0,2017,set,24.0823505490409
CAMPINA DO BARRETO,9113399.0,292574.0,2017,set,24.363891570499604
CAMPO GRANDE,9111728.0,292874.0,2017,set,24.58366505367226
CASA AMARELA,9112482.0,288643.0,2017,set,24.108547487415045
CASA FORTE,9111470.0,288586.0,2017,set,24.811388906098223
CAXANGA,9111832.0,285184.0,2017,set,24.59949716035533
CIDADE UNIVERSITARIA,9109172.0,284920.0,2017,set,25.166921780971627
COELHOS,9107816.0,291882.0,2017,set,25.449810002121865
COHAB,9101433.0,284767.0,2017,set,25.91603182217248
COQUEIRAL,9105465.0,283108.0,2017,set,24.7248880585108
CORDEIRO,9109547.0,287467.0,2017,set,23.42467952859478
CORREGO DO JENIPAPO,9114488.0,286627.0,2017,set,25.68000507242399
CURADO,9107651.0,283800.0,2017,set,25.75672641084082
DERBY,9108825.0,290723.0,2017,set,25.614106989570438
DOIS IRMAOS,9114707.0,284762.0,2017,set,25.89805328041619
DOIS UNIDOS,9115967.0,289395.0,2017,set,23.465364267582515
ENCRUZILHADA,9111158.0,291613.0,2017,set,24.89099200177529
ENGENHO DO MEIO,9108934.0,285940.0,2017,set,24.565923077189524
ESPINHEIRO,9110478.0,291571.0,2017,set,23.4322760357816
ESTANCIA,9105647.0,287423.0,2017,set,23.62183008387761
FUNDAO,9113575.6,291651.2,2017,set,25.44424740743373
GRACAS,9110179.5,290528.0,2017,set,25.627590302633408
GUABIRABA,9120358.0,284635.0,2017,set,24.66108598056974
HIPODROMO,9111621.2,292022.4,2017,set,24.59694077762644
IBURA,9101668.1,287104.4,2017,set,25.025543723882222
ILHA DO LEITE,9107953.6,291260.0,2017,set,24.746437632703103
ILHA DO RETIRO,9108164.9,290198.2,2017,set,24.257895937022383
ILHA JOANA BEZERRA,9107504.0,290753.0,2017,set,24.21507769979196
IMBIRIBEIRA,9103837.8,289440.3,2017,set,25.54513640283464
IPSEP,9103015.3,288448.0,2017,set,25.66758008235121
IPUTINGA,9110794.2,286487.9,2017,set,25.55383167448543
JAQUEIRA,9111235.3,290316.6,2017,set,24.946493781435468
JARDIM SAO PAULO,9106260.1,285989.0,2017,set,24.069770948355625
JIQUIA,9105794.0,288086.0,2017,set,23.52743572902231
JORDAO,9100464.0,286239.0,2017,set,25.430656582106028
LINHA DO TIRO,9114147.0,290008.0,2017,set,24.02645642130509
MACAXEIRA,9113886.0,287156.0,2017,set,23.983827419549005
MADALENA,9109267.0,289691.0,2017,set,23.89913795364103
MANGABEIRA,9112518.0,290270.0,2017,set,23.58309582339585
MANGUEIRA,9106721.0,288365.0,2017,set,24.6682202312703
MONTEIRO,9112291.0,287425.0,2017,set,24.191281362145045
MORRO DA CONCEICAO,9113078.0,288997.0,2017,set,25.881552193715084
MUSTARDINHA,9107205.0,288581.0,2017,set,24.640942208244667
NOVA DESCOBERTA,9115154.0,287233.0,2017,set,25.77012469363969
PAISSANDU,9108269.0,290754.0,2017,set,25.25516791526987
PARNAMIRIM,9111464.0,289457.0,2017,set,26.199390968135067
PASSARINHO,9117218.0,288021.0,2017,set,24.063158178006912
PAU FERRO,9118853.0,282335.0,2017,set,24.760903750567373
PEIXINHOS,9113220.0,293141.0,2017,set,24.54850347238464
PINA,9104566.0,291222.0,2017,set,24.682106218036093
POCO,9111320.0,287974.0,2017,set,23.957266063722624
PONTO DE PARADA,9111936.0,291363.0,2017,set,24.42125053375181
PORTO DA MADEIRA,9114446.0,291875.0,2017,set,25.028402381261696
PRADO,9108586.0,289083.0,2017,set,25.63571701242424
RECIFE,9108963.5,293824.9,2017,set,23.80673122454133
ROSARINHO,9111653.0,290839.0,2017,set,24.14300394388059
SAN MARTIN,9107439.0,287447.0,2017,set,23.608590433738748
SANCHO,9105834.0,283826.0,2017,set,24.606844609423906
SANTANA,9110875.0,288843.0,2017,set,23.238900956782334
SANTO AMARO,9109594.0,292657.0,2017,set,23.919093633928085
SANTO ANTONIO,9108074.0,293047.0,2017,set,23.31535427416297
SAO JOSE,9107439.0,292735.0,2017,set,25.52793338505841
SITIO DOS PINTOS,9113960.0,284132.0,2017,set,24.79439899669144
SOLEDADE,9109031.0,291653.0,2017,set,24.727920109491237
TAMARINEIRA,9111623.0,290489.0,2017,set,24.949180948303304
TEJIPIO,9105574.0,284554.0,2017,set,26.04002456846268
TORRE,9110512.0,289784.0,2017,set,25.39445942571409
TORREAO,9110768.0,292379.0,2017,set,22.66593563030329
TORROES,9108525.0,286617.0,2017,set,25.95755889782665
TOTO,9106121.0,283026.0,2017,set,24.915861987221454
VARZEA,9110202.0,282982.0,2017,set,24.23690554596348
VASCO DA GAMA,9113906.0,288489.0,2017,set,23.926074763241356
ZUMBI,9109277.0,288621.0,2017,set,27.680986592934577
