bairro,latitude,longitude,ano,mes,umidade
AFLITOS,9110884.0,290992.0,2021,abr,86.78337809584596
AFOGADOS,9106661.8,289910.65,2021,abr,80.20289879885064
AGUA FRIA,9113343.0,290787.7,2021,abr,81.09547025444206
ALTO DO MANDU,9112712.9,287498.0,2021,abr,85.46866105066903
ALTO JOSE BONIFACIO,9113775.0,289181.0,2021,abr,87.0270217174123
ALTO JOSE DO PINHO,9112846.0,289698.0,2021,abr,85.4414401847942
ALTO SANTA TEREZINHA,9113502.0,289671.0,2021,abr,83.10299129966019
APIPUCOS,9113095.0,286390.0,2021,abr,88.39617139324467
AREIAS,9104782.0,287566.7,2021,abr,82.34191239578968
ARRUDA,9112449.1,291553.7,2021,abr,79.4154407715968
BARRO,9104647.9,285112.8,2021,abr,84.0722736447271
BEBERIBE,9114684.0,290898.0,2021,abr,88.79742497829737
BOA VIAGEM,9101556.0,290274.0,2021,abr,81.56045744104262
BOA VISTA,9108394.0,292017.0,2021,abr,84.5742816658069
BOMBA DO HEMETERIO,9112839.1,290413.0,2021,abr,81.68218221409137
BONGI,9107910.4,288238.4,2021,abr,81.16979696686087
BRASILIA TEIMOSA,9106073.0,292947.0,2021,abr,81.98813354740585
BREJO DA GUABIRABA,9116097.0,287054.0,2021,abr,87.01403183176069
BREJO DE BEBERIBE,9115386.1,287902.9,2021,abr,86.74787807475828
CABANGA,9106392.0,290894.3,2021,abr,80.76888755114436
CACOTE,9104023.9,287032.9,2021,abr,83.22740699012833
CAJUEIRO,9113888.0,292172.0,2021,abr,84.24139404692208
CAMPINA DO BARRETO,9113399.0,292574.0,2021,abr,82.92761423728889
CAMPO GRANDE,9111728.0,292874.0,2021,abr,85.91874182138258
CASA AMARELA,9112482.0,288643.0,2021,abr,84.98933372539166
CASA FORTE,9111470.0,288586.0,2021,abr,89.32756003595529
CAXANGA,9111832.0,285184.0,2021,abr,82.00163172965689
CIDADE UNIVERSITARIA,9109172.0,284920.0,2021,abr,78.39125340337472
COELHOS,9107816.0,291882.0,2021,abr,84.60181900882233
COHAB,9101433.0,284767.0,2021,abr,84.0056898605545
COQUEIRAL,9105465.0,283108.0,2021,abr,77.92833942024797
CORDEIRO,9109547.0,287467.0,2021,abr,84.82304081163574
CORREGO DO JENIPAPO,9114488.0,286627.0,2021,abr,82.3110997625141
CURADO,9107651.0,283800.0,2021,abr,87.2120525955936
DERBY,9108825.0,290723.0,2021,abr,84.20220427914914
DOIS IRMAOS,9114707.0,284762.0,2021,abr,80.95345547937218
DOIS UNIDOS,9115967.0,289395.0,2021,abr,81.34476056400509
ENCRUZILHADA,9111158.0,291613.0,2021,abr,81.87057603817394
ENGENHO DO MEIO,9108934.0,285940.0,2021,abr,89.45806087991797
ESPINHEIRO,9110478.0,291571.0,2021,abr,85.65203280611463
ESTANCIA,9105647.0,287423.0,2021,abr,82.7706347868145
FUNDAO,9113575.6,291651.2,2021,abr,81.97873633271213
GRACAS,9110179.5,290528.0,2021,abr,81.95549283372348
GUABIRABA,9120358.0,284635.0,2021,abr,81.58591527954957
HIPODROMO,9111621.2,292022.4,2021,abr,83.26034406959836
IBURA,9101668.1,287104.4,2021,abr,83.13848562709627
ILHA DO LEITE,9107953.6,291260.0,2021,abr,83.82500899775043
ILHA DO RETIRO,9108164.9,290198.2,2021,abr,83.79018101927379
ILHA JOANA BEZERRA,9107504.0,290753.0,2021,abr,83.15039224260865
IMBIRIBEIRA,9103837.8,289440.3,2021,abr,84.96930160106874
IPSEP,9103015.3,288448.0,2021,abr,82.00557887126776
IPUTINGA,9110794.2,286487.9,2021,abr,84.54623960868084
JAQUEIRA,9111235.3,290316.6,2021,abr,81.37284289722753
JARDIM SAO PAULO,9106260.1,285989.0,2021,abr,82.00280592626649
JIQUIA,9105794.0,288086.0,2021,abr,82.90882485689261
JORDAO,9100464.0,286239.0,2021,abr,81.78042112814195
LINHA DO TIRO,9114147.0,290008.0,2021,abr,80.76809494496162
