bairro,latitude,longitude,ano,mes,umidade
AFLITOS,9110884.0,290992.0,2019,ago,83.28536623661581
AFOGADOS,9106661.8,289910.65,2019,ago,81.92111380800917
AGUA FRIA,9113343.0,290787.7,2019,ago,83.53818259067067
ALTO DO MANDU,9112712.9,287498.0,2019,ago,77.2539000806998
ALTO JOSE BONIFACIO,9113775.0,289181.0,2019,ago,82.24413964854438
ALTO JOSE DO PINHO,9112846.0,289698.0,2019,ago,82.9661211549308
ALTO SANTA TEREZINHA,9113502.0,289671.0,2019,ago,76.88553357283995
APIPUCOS,9113095.0,286390.0,2019,ago,78.55504975540636
AREIAS,9104782.0,287566.7,2019,ago,81.8654797342728
ARRUDA,9112449.1,291553.7,2019,ago,83.28535398411043
BARRO,9104647.9,285112.8,2019,ago,81.51411204980896
BEBERIBE,9114684.0,290898.0,2019,ago,71.928091670913
BOA VIAGEM,9101556.0,290274.0,2019,ago,78.58704147052445
BOA VISTA,9108394.0,292017.0,2019,ago,83.04401381965086
BOMBA DO HEMETERIO,9112839.1,290413.0,2019,ago,81.80916913740656
BONGI,9107910.4,288238.4,2019,ago,80.75934296801051
BRASILIA TEIMOSA,9106073.0,292947.0,2019,ago,77.79154760714337
BREJO DA GUABIRABA,9116097.0,287054.0,2019,ago,80.2814429965907
BREJO DE BEBERIBE,9115386.1,287902.9,2019,ago,81.80779292905913
CABANGA,9106392.0,290894.3,2019,ago,76.58131008440964
CACOTE,9104023.9,287032.9,2019,ago,82.87136712961008
CAJUEIRO,9113888.0,292172.0,2019,ago,80.52173037294705
CAMPINA DO BARRETO,9113399.0,292574.0,2019,ago,80.46988831562975
CAMPO GRANDE,9111728.0,292874.0,2019,ago,81.7901548762593
CASA AMARELA,9112482.0,288643.0,2019,ago,86.21043111160365
CASA FORTE,9111470.0,288586.0,2019,ago,79.8940960628221
CAXANGA,9111832.0,285184.0,2019,ago,80.25861352301298
CIDADE UNIVERSITARIA,9109172.0,284920.0,2019,ago,81.07493687133515
COELHOS,9107816.0,291882.0,2019,ago,74.58337497129395
COHAB,9101433.0,284767.0,2019,ago,81.10471256416459
COQUEIRAL,9105465.0,283108.0,2019,ago,84.3555641593814
CORDEIRO,9109547.0,287467.0,2019,ago,81.20428237104564
CORREGO DO JENIPAPO,9114488.0,286627.0,2019,ago,78.22388824985636
CURADO,9107651.0,283800.0,2019,ago,82.66856010974561
DERBY,9108825.0,290723.0,2019,ago,79.08516526291731
DOIS IRMAOS,9114707.0,284762.0,2019,ago,76.69856949221933
DOIS UNIDOS,9115967.0,289395.0,2019,ago,80.36480320057404
ENCRUZILHADA,9111158.0,291613.0,2019,ago,84.15814158628596
ENGENHO DO MEIO,9108934.0,285940.0,2019,ago,81.61871840035559
ESPINHEIRO,9110478.0,291571.0,2019,ago,83.14855786029075
ESTANCIA,9105647.0,287423.0,2019,ago,81.43894550881019
FUNDAO,9113575.6,291651.2,2019,ago,78.70307699391591
GRACAS,9110179.5,290528.0,2019,ago,80.9228633033649
GUABIRABA,9120358.0,284635.0,2019,ago,82.53632786587129
HIPODROMO,9111621.2,292022.4,2019,ago,85.81334091757564
IBURA,9101668.1,287104.4,2019,ago,76.58645147229699
ILHA DO LEITE,9107953.6,291260.0,2019,ago,76.1300211857041
ILHA DO RETIRO,9108164.9,290198.2,2019,ago,81.10081836890768
ILHA JOANA BEZERRA,9107504.0,290753.0,2019,ago,77.56082353404676
IMBIRIBEIRA,9103837.8,289440.3,2019,ago,83.91880341351643
IPSEP,9103015.3,288448.0,2019,ago,81.33682211423104
IPUTINGA,9110794.2,286487.9,2019,ago,85.24660404735192
JAQUEIRA,9111235.3,290316.6,2019,ago,81.93982781777956
JARDIM SAO PAULO,9106260.1,285989.0,2019,ago,84.52561054940976
JIQUIA,9105794.0,288086.0,2019,ago,77.15726264798636
JORDAO,9100464.0,286239.0,2019,ago,79.07451922170235
LINHA DO TIRO,9114147.0,290008.0,2019,ago,83.77625279894163
MACAXEIRA,9113886.0,287156.0,2019,ago,79.2817330166919
MADALENA,9109267.0,289691.0,2019,ago,84.74641578366003
MANGABEIRA,9112518.0,290270.0,2019,ago,82.19673944799005
MANGUEIRA,9106721.0,288365.0,2019,ago,80.70557968077132
MONTEIRO,9112291.0,287425.0,2019,ago,85.20021064425309
MORRO DA CONCEICAO,9113078.0,288997.0,2019,ago,81.58863688737425
MUSTARDINHA,9107205.0,288581.0,2019,ago,79.75096115543083
NOVA DESCOBERTA,9115154.0,287233.0,2019,ago,80.94275400208267
PAISSANDU,9108269.0,290754.0,2019,ago,77.13710027339398
PARNAMIRIM,9111464.0,289457.0,2019,ago,86.41643327227844
PASSARINHO,9117218.0,288021.0,2019,ago,77.63561666347898
PAU FERRO,9118853.0,282335.0,2019,ago,80.71394906842191
PEIXINHOS,9113220.0,293141.0,2019,ago,82.87585464045722
PINA,9104566.0,291222.0,2019,ago,78.14530517987546
POCO,9111320.0,287974.0,2019,ago,79.22470912718174
PONTO DE PARADA,9111936.0,291363.0,2019,ago,81.36178026361402
PORTO DA MADEIRA,9114446.0,291875.0,2019,ago,80.41459763580589
PRADO,9108586.0,289083.0,2019,ago,82.25344549951244
RECIFE,9108963.5,293824.9,2019,ago,82.35542944144373
ROSARINHO,9111653.0,290839.0,2019,ago,82.81785218639686
SAN MARTIN,9107439.0,287447.0,2019,ago,82.40763558183646
SANCHO,9105834.0,283826.0,2019,ago,80.12573227294233
