bairro,latitude,longitude,ano,mes,umidade
AFLITOS,9110884.0,290992.0,2020,dez,69.39047032527348
AFOGADOS,9106661.8,289910.65,2020,dez,65.36861168315414
AGUA FRIA,9113343.0,290787.7,2020,dez,70.79935812836582
ALTO DO MANDU,9112712.9,287498.0,2020,dez,77.5233696004436
ALTO JOSE BONIFACIO,9113775.0,289181.0,2020,dez,76.08950383376921
ALTO JOSE DO PINHO,9112846.0,289698.0,2020,dez,72.5952613145631
ALTO SANTA TEREZINHA,9113502.0,289671.0,2020,dez,71.99604966061223
APIPUCOS,9113095.0,286390.0,2020,dez,69.44546317224824
AREIAS,9104782.0,287566.7,2020,dez,70.32344642996124
ARRUDA,9112449.1,291553.7,2020,dez,67.56490782733891
BARRO,9104647.9,285112.8,2020,dez,70.31112865545832
BEBERIBE,9114684.0,290898.0,2020,dez,68.21957672852088
BOA VIAGEM,9101556.0,290274.0,2020,dez,68.61609424641847
BOA VISTA,9108394.0,292017.0,2020,dez,63.596193185338734
BOMBA DO HEMETERIO,9112839.1,290413.0,2020,dez,76.41798638185044
BONGI,9107910.4,288238.4,2020,dez,73.00378676685425
BRASILIA TEIMOSA,9106073.0,292947.0,2020,dez,68.09341777702203
BREJO DA GUABIRABA,9116097.0,287054.0,2020,dez,68.94025031966584
BREJO DE BEBERIBE,9115386.1,287902.9,2020,dez,76.821642832109
CABANGA,9106392.0,290894.3,2020,dez,62.44840952796472
CACOTE,9104023.9,287032.9,2020,dez,70.47091643713134
CAJUEIRO,9113888.0,292172.0,2020,dez,68.40921951549444
CAMPINA DO BARRETO,9113399.0,292574.0,2020,dez,66.9378087347588
CAMPO GRANDE,9111728.0,292874.0,2020,dez,70.34387679963109
CASA AMARELA,9112482.0,288643.0,2020,dez,72.45866664000822
CASA FORTE,9111470.0,288586.0,2020,dez,60.93318974279219
CAXANGA,9111832.0,285184.0,2020,dez,71.04563803335638
CIDADE UNIVERSITARIA,9109172.0,284920.0,2020,dez,71.0801970597384
COELHOS,9107816.0,291882.0,2020,dez,73.50855288932712
COHAB,9101433.0,284767.0,2020,dez,67.96306862669934
COQUEIRAL,9105465.0,283108.0,2020,dez,65.98807399213901
CORDEIRO,9109547.0,287467.0,2020,dez,63.94086507338393
CORREGO DO JENIPAPO,9114488.0,286627.0,2020,dez,68.20903989355264
CURADO,9107651.0,283800.0,2020,dez,70.22231086628463
DERBY,9108825.0,290723.0,2020,dez,61.4778469971199
DOIS IRMAOS,9114707.0,284762.0,2020,dez,67.52666698409891
DOIS UNIDOS,9115967.0,289395.0,2020,dez,76.67328981748473
ENCRUZILHADA,9111158.0,291613.0,2020,dez,74.18854214760756
ENGENHO DO MEIO,9108934.0,285940.0,2020,dez,73.2790859213708
ESPINHEIRO,9110478.0,291571.0,2020,dez,62.70596065432313
ESTANCIA,9105647.0,287423.0,2020,dez,75.0057142187324
FUNDAO,9113575.6,291651.2,2020,dez,61.842303456341554
GRACAS,9110179.5,290528.0,2020,dez,70.42989650144298
GUABIRABA,9120358.0,284635.0,2020,dez,65.42911556569877
HIPODROMO,9111621.2,292022.4,2020,dez,66.07090968338163
IBURA,9101668.1,287104.4,2020,dez,63.89482265447416
ILHA DO LEITE,9107953.6,291260.0,2020,dez,71.18316735561753
ILHA DO RETIRO,9108164.9,290198.2,2020,dez,62.3543527314191
ILHA JOANA BEZERRA,9107504.0,290753.0,2020,dez,69.37840119249937
IMBIRIBEIRA,9103837.8,289440.3,2020,dez,68.11323829321326
IPSEP,9103015.3,288448.0,2020,dez,72.36171514068153
IPUTINGA,9110794.2,286487.9,2020,dez,66.3170313034203
JAQUEIRA,9111235.3,290316.6,2020,dez,66.77446956643273
JARDIM SAO PAULO,9106260.1,285989.0,2020,dez,65.2880201084262
JIQUIA,9105794.0,288086.0,2020,dez,69.6172303309546
JORDAO,9100464.0,286239.0,2020,dez,72.7308800380865
LINHA DO TIRO,9114147.0,290008.0,2020,dez,70.22054096240562
MACAXEIRA,9113886.0,287156.0,2020,dez,70.34310508487827
MADALENA,9109267.0,289691.0,2020,dez,70.7595431764569
MANGABEIRA,9112518.0,290270.0,2020,dez,67.45887443264886
MANGUEIRA,9106721.0,288365.0,2020,dez,77.92869196955333
MONTEIRO,9112291.0,287425.0,2020,dez,75.2234625064601
MORRO DA CONCEICAO,9113078.0,288997.0,2020,dez,65.95224269155835
MUSTARDINHA,9107205.0,288581.0,2020,dez,69.57587756552002
NOVA DESCOBERTA,9115154.0,287233.0,2020,dez,64.83137115591744
PAISSANDU,9108269.0,290754.0,2020,dez,71.12531081689696
PARNAMIRIM,9111464.0,289457.0,2020,dez,68.62209342793705
PASSARINHO,9117218.0,288021.0,2020,dez,63.56012897135569
PAU FERRO,9118853.0,282335.0,2020,dez,65.18379778658839
PEIXINHOS,9113220.0,293141.0,2020,dez,70.46213794293777
PINA,9104566.0,291222.0,2020,dez,65.36226949965159
POCO,9111320.0,287974.0,2020,dez,72.68233731816086
PONTO DE PARADA,9111936.0,291363.0,2020,dez,76.03472067833582
PORTO DA MADEIRA,9114446.0,291875.0,2020,dez,62.19935486393648
PRADO,9108586.0,289083.0,2020,dez,67.62087939905574
RECIFE,9108963.5,293824.9,2020,dez,66.96744839120674
ROSARINHO,9111653.0,290839.0,2020,dez,72.95720389691088
SAN MARTIN,9107439.0,287447.0,2020,dez,73.37746918919756
SANCHO,9105834.0,283826.0,2020,dez,76.17599470166516
SANTANA,9110875.0,288843.0,2020,dez,64.23264658859114
SANTO AMARO,9109594.0,292657.0,2020,dez,68.09796349661612
SANTO ANTONIO,9108074.0,293047.0,2020,dez,75.45277647175175
SAO JOSE,9107439.0,292735.0,2020,dez,65.86695946583853
SITIO DOS PINTOS,9113960.0,284132.0,2020,dez,71.65380483299889
SOLEDADE,9109031.0,291653.0,2020,dez,66.11054925750186
TAMARINEIRA,9111623.0,290489.0,2020,dez,68.55727114446806
TEJIPIO,9105574.0,284554.0,2020,dez,69.07429128474533
TORRE,9110512.0,289784.0,2020,dez,68.98280563412688
TORREAO,9110768.0,292379.0,2020,dez,73.43161140958424
TORROES,9108525.0,286617.0,2020,dez,69.66781550020825
TOTO,9106121.0,283026.0,2020,dez,73.82283141428779
VARZEA,9110202.0,282982.0,2020,dez,65.04124307586461
VASCO DA GAMA,9113906.0,288489.0,2020,dez,65.24260244066879
ZUMBI,9109277.0,288621.0,2020,dez,68.19655046602041
