bairro,latitude,longitude,ano,mes,umidade
AFLITOS,9110884.0,290992.0,2013,fev,71.87291690294947
AFOGADOS,9106661.8,289910.65,2013,fev,66.1740126994915
AGUA FRIA,9113343.0,290787.7,2013,fev,70.04446658927941
ALTO DO MANDU,9112712.9,287498.0,2013,fev,68.55094887084526
ALTO JOSE BONIFACIO,9113775.0,289181.0,2013,fev,75.05791189818576
ALTO JOSE DO PINHO,9112846.0,289698.0,2013,fev,69.54391819957912
ALTO SANTA TEREZINHA,9113502.0,289671.0,2013,fev,71.81998106793975
APIPUCOS,9113095.0,286390.0,2013,fev,65.48494623199551
AREIAS,9104782.0,287566.7,2013,fev,72.64994317427794
ARRUDA,9112449.1,291553.7,2013,fev,70.7355945880747
BARRO,9104647.9,285112.8,2013,fev,76.12813861093763
BEBERIBE,9114684.0,290898.0,2013,fev,66.14349931753148
BOA VIAGEM,9101556.0,290274.0,2013,fev,63.93900926496957
BOA VISTA,9108394.0,292017.0,2013,fev,69.78403691148462
BOMBA DO HEMETERIO,9112839.1,290413.0,2013,fev,72.41415838688268
BONGI,9107910.4,288238.4,2013,fev,67.2728475742323
BRASILIA TEIMOSA,9106073.0,292947.0,2013,fev,69.05268870624178
BREJO DA GUABIRABA,9116097.0,287054.0,2013,fev,69.40712427209206
BREJO DE BEBERIBE,9115386.1,287902.9,2013,fev,72.08606542279696
CABANGA,9106392.0,290894.3,2013,fev,71.71520246258207
CACOTE,9104023.9,287032.9,2013,fev,78.95982609644153
CAJUEIRO,9113888.0,292172.0,2013,fev,66.47549643005416
CAMPINA DO BARRETO,9113399.0,292574.0,2013,fev,74.46785558370189
CAMPO GRANDE,9111728.0,292874.0,2013,fev,83.46153142608334
CASA AMARELA,9112482.0,288643.0,2013,fev,76.09788722467862
CASA FORTE,9111470.0,288586.0,2013,fev,67.89014892844081
CAXANGA,9111832.0,285184.0,2013,fev,78.24356383135336
CIDADE UNIVERSITARIA,9109172.0,284920.0,2013,fev,61.76329389152073
COELHOS,9107816.0,291882.0,2013,fev,75.67571861026072
COHAB,9101433.0,284767.0,2013,fev,71.00845021454526
COQUEIRAL,9105465.0,283108.0,2013,fev,70.75913405867644
CORDEIRO,9109547.0,287467.0,2013,fev,67.95616193768761
CORREGO DO JENIPAPO,9114488.0,286627.0,2013,fev,69.91275204672353
CURADO,9107651.0,283800.0,2013,fev,59.37044657778526
DERBY,9108825.0,290723.0,2013,fev,64.30238409831985
DOIS IRMAOS,9114707.0,284762.0,2013,fev,66.79277353802031
DOIS UNIDOS,9115967.0,289395.0,2013,fev,65.72278174086358
ENCRUZILHADA,9111158.0,291613.0,2013,fev,73.5020455571833
ENGENHO DO MEIO,9108934.0,285940.0,2013,fev,62.280913826974654
ESPINHEIRO,9110478.0,291571.0,2013,fev,66.99593361812649
ESTANCIA,9105647.0,287423.0,2013,fev,67.63190276133732
FUNDAO,9113575.6,291651.2,2013,fev,74.01098356438
GRACAS,9110179.5,290528.0,2013,fev,70.81658614831271
GUABIRABA,9120358.0,284635.0,2013,fev,69.24959279073504
HIPODROMO,9111621.2,292022.4,2013,fev,75.45995960248459
IBURA,9101668.1,287104.4,2013,fev,77.56846026281409
ILHA DO LEITE,9107953.6,291260.0,2013,fev,73.78227640393628
ILHA DO RETIRO,9108164.9,290198.2,2013,fev,72.13139176037627
ILHA JOANA BEZERRA,9107504.0,290753.0,2013,fev,71.27502628200011
IMBIRIBEIRA,9103837.8,289440.3,2013,fev,75.59095341400725
IPSEP,9103015.3,288448.0,2013,fev,75.25531580052181
IPUTINGA,9110794.2,286487.9,2013,fev,70.26079117676787
JAQUEIRA,9111235.3,290316.6,2013,fev,77.04936781222452
JARDIM SAO PAULO,9106260.1,285989.0,2013,fev,74.3290446083718
JIQUIA,9105794.0,288086.0,2013,fev,62.7390435564017
JORDAO,9100464.0,286239.0,2013,fev,77.06837781767678
LINHA DO TIRO,9114147.0,290008.0,2013,fev,54.75633359800754
MACAXEIRA,9113886.0,287156.0,2013,fev,67.4465521283749
MADALENA,9109267.0,289691.0,2013,fev,70.90398783324744
MANGABEIRA,9112518.0,290270.0,2013,fev,69.53702429395858
MANGUEIRA,9106721.0,288365.0,2013,fev,71.79089046142468
MONTEIRO,9112291.0,287425.0,2013,fev,71.02497531418149
MORRO DA CONCEICAO,9113078.0,288997.0,2013,fev,72.62950678407134
MUSTARDINHA,9107205.0,288581.0,2013,fev,67.53187962274342
NOVA DESCOBERTA,9115154.0,287233.0,2013,fev,71.47999207975563
PAISSANDU,9108269.0,290754.0,2013,fev,71.58602419837396
PARNAMIRIM,9111464.0,289457.0,2013,fev,77.95154826228826
PASSARINHO,9117218.0,288021.0,2013,fev,84.54442620899687
PAU FERRO,9118853.0,282335.0,2013,fev,65.49333265579735
PEIXINHOS,9113220.0,293141.0,2013,fev,76.02530524178141
PINA,9104566.0,291222.0,2013,fev,72.82285739329659
POCO,9111320.0,287974.0,2013,fev,73.99839511251287
PONTO DE PARADA,9111936.0,291363.0,2013,fev,73.7236749445875
PORTO DA MADEIRA,9114446.0,291875.0,2013,fev,77.00023945926287
PRADO,9108586.0,289083.0,2013,fev,66.49929810834598
RECIFE,9108963.5,293824.9,2013,fev,68.09928193177274
ROSARINHO,9111653.0,290839.0,2013,fev,78.191411176519
SAN MARTIN,9107439.0,287447.0,2013,fev,70.53442881930859
SANCHO,9105834.0,283826.0,2013,fev,72.4126312783782
SANTANA,9110875.0,288843.0,2013,fev,80.33713058958344
SANTO AMARO,9109594.0,292657.0,2013,fev,74.22804375161067
SANTO ANTONIO,9108074.0,293047.0,2013,fev,72.74754317580496
SAO JOSE,9107439.0,292735.0,2013,fev,74.21670591774969
SITIO DOS PINTOS,9113960.0,284132.0,2013,fev,70.25229591682607
SOLEDADE,9109031.0,291653.0,2013,fev,69.00798712068159
TAMARINEIRA,9111623.0,290489.0,2013,fev,66.43711474757687
TEJIPIO,9105574.0,284554.0,2013,fev,74.38012536744148
TORRE,9110512.0,289784.0,2013,fev,74.13846350118924
TORREAO,9110768.0,292379.0,2013,fev,75.81991380939361
TORROES,9108525.0,286617.0,2013,fev,71.33688205635164
TOTO,9106121.0,283026.0,2013,fev,70.24041925866473
VARZEA,9110202.0,282982.0,2013,fev,73.99772534741447
VASCO DA GAMA,9113906.0,288489.0,2013,fev,80.94670133716193
ZUMBI,9109277.0,288621.0,2013,fev,70.54302098013117
