bairro,latitude,longitude,ano,mes,umidade
AFLITOS,9110884.0,290992.0,2016,jan,72.11930961910066
AFOGADOS,9106661.8,289910.65,2016,jan,75.79996503446407
AGUA FRIA,9113343.0,290787.7,2016,jan,74.73166548257194
ALTO DO MANDU,9112712.9,287498.0,2016,jan,76.63843464694206
ALTO JOSE BONIFACIO,9113775.0,289181.0,2016,jan,71.01517725473958
ALTO JOSE DO PINHO,9112846.0,289698.0,2016,jan,74.20752303094291
ALTO SANTA TEREZINHA,9113502.0,289671.0,2016,jan,77.0900881350492
APIPUCOS,9113095.0,286390.0,2016,jan,70.44028521375478
AREIAS,9104782.0,287566.7,2016,jan,64.36522538414724
ARRUDA,9112449.1,291553.7,2016,jan,74.07003467116859
BARRO,9104647.9,285112.8,2016,jan,71.55137340753043
BEBERIBE,9114684.0,290898.0,2016,jan,68.87045791926127
BOA VIAGEM,9101556.0,290274.0,2016,jan,71.12534060996524
BOA VISTA,9108394.0,292017.0,2016,jan,71.89538499869549
BOMBA DO HEMETERIO,9112839.1,290413.0,2016,jan,71.6518344279149
BONGI,9107910.4,288238.4,2016,jan,75.75628962517347
BRASILIA TEIMOSA,9106073.0,292947.0,2016,jan,72.79059328575458
BREJO DA GUABIRABA,9116097.0,287054.0,2016,jan,72.07842628395926
BREJO DE BEBERIBE,9115386.1,287902.9,2016,jan,72.27962525528382
CABANGA,9106392.0,290894.3,2016,jan,78.60705744838927
CACOTE,9104023.9,287032.9,2016,jan,70.10764736814879
CAJUEIRO,9113888.0,292172.0,2016,jan,79.79956780162749
CAMPINA DO BARRETO,9113399.0,292574.0,2016,jan,69.8865215092318
CAMPO GRANDE,9111728.0,292874.0,2016,jan,73.22383028628421
CASA AMARELA,9112482.0,288643.0,2016,jan,75.763943254189
CASA FORTE,9111470.0,288586.0,2016,jan,78.13853849697273
CAXANGA,9111832.0,285184.0,2016,jan,75.81774999785365
CIDADE UNIVERSITARIA,9109172.0,284920.0,2016,jan,68.5958616518156
COELHOS,9107816.0,291882.0,2016,jan,72.87104720969714
COHAB,9101433.0,284767.0,2016,jan,72.85040482355689
COQUEIRAL,9105465.0,283108.0,2016,jan,68.23062642310066
CORDEIRO,9109547.0,287467.0,2016,jan,77.28017775068244
CORREGO DO JENIPAPO,9114488.0,286627.0,2016,jan,74.47061424622716
CURADO,9107651.0,283800.0,2016,jan,73.83171789472988
DERBY,9108825.0,290723.0,2016,jan,76.13674265689478
DOIS IRMAOS,9114707.0,284762.0,2016,jan,76.57475791357376
DOIS UNIDOS,9115967.0,289395.0,2016,jan,66.02437686466959
ENCRUZILHADA,9111158.0,291613.0,2016,jan,75.70878347291125
ENGENHO DO MEIO,9108934.0,285940.0,2016,jan,75.01243730275836
ESPINHEIRO,9110478.0,291571.0,2016,jan,75.3294989938006
ESTANCIA,9105647.0,287423.0,2016,jan,74.38265982815574
FUNDAO,9113575.6,291651.2,2016,jan,70.18656597894312
GRACAS,9110179.5,290528.0,2016,jan,72.666806107941
GUABIRABA,9120358.0,284635.0,2016,jan,71.99618549232402
HIPODROMO,9111621.2,292022.4,2016,jan,71.23604884842793
IBURA,9101668.1,287104.4,2016,jan,75.64570414096842
ILHA DO LEITE,9107953.6,291260.0,2016,jan,73.55261542094983
ILHA DO RETIRO,9108164.9,290198.2,2016,jan,75.44241776212709
ILHA JOANA BEZERRA,9107504.0,290753.0,2016,jan,72.96628310460729
IMBIRIBEIRA,9103837.8,289440.3,2016,jan,78.74769370472282
IPSEP,9103015.3,288448.0,2016,jan,65.99533159888729
IPUTINGA,9110794.2,286487.9,2016,jan,75.87963241717453
JAQUEIRA,9111235.3,290316.6,2016,jan,66.37371516185844
JARDIM SAO PAULO,9106260.1,285989.0,2016,jan,72.4141743360856
