bairro,latitude,longitude,ano,mes,umidade
AFLITOS,9110884.0,290992.0,2015,jul,78.15395850834953
AFOGADOS,9106661.8,289910.65,2015,jul,76.79835527899296
AGUA FRIA,9113343.0,290787.7,2015,jul,79.95249935481434
ALTO DO MANDU,9112712.9,287498.0,2015,jul,77.1346681120125
ALTO JOSE BONIFACIO,9113775.0,289181.0,2015,jul,81.4864812139241
ALTO JOSE DO PINHO,9112846.0,289698.0,2015,jul,76.96652300147217
ALTO SANTA TEREZINHA,9113502.0,289671.0,2015,jul,78.39407929448859
APIPUCOS,9113095.0,286390.0,2015,jul,77.61987160062813
AREIAS,9104782.0,287566.7,2015,jul,79.45914581705657
ARRUDA,9112449.1,291553.7,2015,jul,78.62837051637011
BARRO,9104647.9,285112.8,2015,jul,76.71329203358741
BEBERIBE,9114684.0,290898.0,2015,jul,77.86052006488424
BOA VIAGEM,9101556.0,290274.0,2015,jul,75.87103568401514
BOA VISTA,9108394.0,292017.0,2015,jul,76.87484282223942
BOMBA DO HEMETERIO,9112839.1,290413.0,2015,jul,78.0904655685542
BONGI,9107910.4,288238.4,2015,jul,81.54795680255673
BRASILIA TEIMOSA,9106073.0,292947.0,2015,jul,75.80116914068212
BREJO DA GUABIRABA,9116097.0,287054.0,2015,jul,81.04291666833284
BREJO DE BEBERIBE,9115386.1,287902.9,2015,jul,81.99341010657551
CABANGA,9106392.0,290894.3,2015,jul,80.05350430813029
CACOTE,9104023.9,287032.9,2015,jul,73.59221319732677
CAJUEIRO,9113888.0,292172.0,2015,jul,77.7162910867887
CAMPINA DO BARRETO,9113399.0,292574.0,2015,jul,79.11112576011148
CAMPO GRANDE,9111728.0,292874.0,2015,jul,76.43641637366592
CASA AMARELA,9112482.0,288643.0,2015,jul,79.96599467366238
CASA FORTE,9111470.0,288586.0,2015,jul,78.65585026793481
CAXANGA,9111832.0,285184.0,2015,jul,77.46858067065375
CIDADE UNIVERSITARIA,9109172.0,284920.0,2015,jul,78.18268007642806
COELHOS,9107816.0,291882.0,2015,jul,75.26100785454261
COHAB,9101433.0,284767.0,2015,jul,81.91793824183242
COQUEIRAL,9105465.0,283108.0,2015,jul,75.45260337350962
CORDEIRO,9109547.0,287467.0,2015,jul,76.99286400949079
CORREGO DO JENIPAPO,9114488.0,286627.0,2015,jul,79.04328824912477
CURADO,9107651.0,283800.0,2015,jul,80.53552871186412
DERBY,9108825.0,290723.0,2015,jul,80.76556264767322
DOIS IRMAOS,9114707.0,284762.0,2015,jul,79.53387503803832
DOIS UNIDOS,9115967.0,289395.0,2015,jul,78.5272489391231
ENCRUZILHADA,9111158.0,291613.0,2015,jul,76.21138453315302
ENGENHO DO MEIO,9108934.0,285940.0,2015,jul,83.79375106888206
ESPINHEIRO,9110478.0,291571.0,2015,jul,79.89572630239796
ESTANCIA,9105647.0,287423.0,2015,jul,79.20200964889747
FUNDAO,9113575.6,291651.2,2015,jul,79.49405664061665
GRACAS,9110179.5,290528.0,2015,jul,73.89806433813774
GUABIRABA,9120358.0,284635.0,2015,jul,79.82449517941079
HIPODROMO,9111621.2,292022.4,2015,jul,78.81067797960307
IBURA,9101668.1,287104.4,2015,jul,77.21686088727802
ILHA DO LEITE,9107953.6,291260.0,2015,jul,79.51708379596731
ILHA DO RETIRO,9108164.9,290198.2,2015,jul,76.3338084482142
ILHA JOANA BEZERRA,9107504.0,290753.0,2015,jul,77.26797446980441
IMBIRIBEIRA,9103837.8,289440.3,2015,jul,75.3170302258461
IPSEP,9103015.3,288448.0,2015,jul,75.52076857719658
IPUTINGA,9110794.2,286487.9,2015,jul,77.69763975885301
JAQUEIRA,9111235.3,290316.6,2015,jul,79.15421737598042
JARDIM SAO PAULO,9106260.1,285989.0,2015,jul,74.62536826700095
JIQUIA,9105794.0,288086.0,2015,jul,83.36394696959914
JORDAO,9100464.0,286239.0,2015,jul,80.05520264780654
LINHA DO TIRO,9114147.0,290008.0,2015,jul,75.63380647111771
MACAXEIRA,9113886.0,287156.0,2015,jul,76.58193707082116
MADALENA,9109267.0,289691.0,2015,jul,75.81030132699259
MANGABEIRA,9112518.0,290270.0,2015,jul,74.99598369649723
MANGUEIRA,9106721.0,288365.0,2015,jul,76.12146332905411
MONTEIRO,9112291.0,287425.0,2015,jul,78.45657799203529
MORRO DA CONCEICAO,9113078.0,288997.0,2015,jul,77.74569229360041
MUSTARDINHA,9107205.0,288581.0,2015,jul,79.42362158746593
NOVA DESCOBERTA,9115154.0,287233.0,2015,jul,79.3352264785454
PAISSANDU,9108269.0,290754.0,2015,jul,79.3747101575481
PARNAMIRIM,9111464.0,289457.0,2015,jul,78.47010555830066
PASSARINHO,9117218.0,288021.0,2015,jul,79.72340517884398
PAU FERRO,9118853.0,282335.0,2015,jul,82.6801917072144
PEIXINHOS,9113220.0,293141.0,2015,jul,79.55025954325819
PINA,9104566.0,291222.0,2015,jul,80.82327213750877
POCO,9111320.0,287974.0,2015,jul,78.40122972007222
PONTO DE PARADA,9111936.0,291363.0,2015,jul,76.73206439000398
PORTO DA MADEIRA,9114446.0,291875.0,2015,jul,77.46303941918161
PRADO,9108586.0,289083.0,2015,jul,76.32004045208723
RECIFE,9108963.5,293824.9,2015,jul,77.47283314228933
ROSARINHO,9111653.0,290839.0,2015,jul,77.66841883764855
SAN MARTIN,9107439.0,287447.0,2015,jul,76.92617195374967
SANCHO,9105834.0,283826.0,2015,jul,80.31389496923401
SANTANA,9110875.0,288843.0,2015,jul,79.98534371615483
SANTO AMARO,9109594.0,292657.0,2015,jul,81.34035135009226
SANTO ANTONIO,9108074.0,293047.0,2015,jul,77.3692931654579
SAO JOSE,9107439.0,292735.0,2015,jul,77.46229019272805
SITIO DOS PINTOS,9113960.0,284132.0,2015,jul,76.62553904698638
SOLEDADE,9109031.0,291653.0,2015,jul,78.93796260319257
TAMARINEIRA,9111623.0,290489.0,2015,jul,76.20487434242222
TEJIPIO,9105574.0,284554.0,2015,jul,77.39696064190247
