bairro,latitude,longitude,ano,mes,umidade
AFLITOS,9110884.0,290992.0,2019,jun,77.93124220368823
AFOGADOS,9106661.8,289910.65,2019,jun,76.52837307381452
AGUA FRIA,9113343.0,290787.7,2019,jun,82.14514449710107
ALTO DO MANDU,9112712.9,287498.0,2019,jun,81.08063255778116
ALTO JOSE BONIFACIO,9113775.0,289181.0,2019,jun,80.05499504795239
ALTO JOSE DO PINHO,9112846.0,289698.0,2019,jun,81.31527827328087
ALTO SANTA TEREZINHA,9113502.0,289671.0,2019,jun,83.28527730759605
APIPUCOS,9113095.0,286390.0,2019,jun,79.61890548613435
AREIAS,9104782.0,287566.7,2019,jun,81.67733666835625
ARRUDA,9112449.1,291553.7,2019,jun,78.23513766507257
BARRO,9104647.9,285112.8,2019,jun,80.5049793465391
BEBERIBE,9114684.0,290898.0,2019,jun,76.85964440624949
BOA VIAGEM,9101556.0,290274.0,2019,jun,80.12181099358881
BOA VISTA,9108394.0,292017.0,2019,jun,82.43738453281001
BOMBA DO HEMETERIO,9112839.1,290413.0,2019,jun,79.44736904127268
BONGI,9107910.4,288238.4,2019,jun,81.65459476725019
BRASILIA TEIMOSA,9106073.0,292947.0,2019,jun,81.86426685744941
BREJO DA GUABIRABA,9116097.0,287054.0,2019,jun,81.04889949776245
BREJO DE BEBERIBE,9115386.1,287902.9,2019,jun,81.35287278882426
CABANGA,9106392.0,290894.3,2019,jun,82.87963431947041
CACOTE,9104023.9,287032.9,2019,jun,81.66500811946298
CAJUEIRO,9113888.0,292172.0,2019,jun,86.84046275175565
CAMPINA DO BARRETO,9113399.0,292574.0,2019,jun,88.50353189910865
CAMPO GRANDE,9111728.0,292874.0,2019,jun,84.56755898365022
CASA AMARELA,9112482.0,288643.0,2019,jun,79.58816155807108
CASA FORTE,9111470.0,288586.0,2019,jun,83.40250692393127
CAXANGA,9111832.0,285184.0,2019,jun,85.5801628565188
CIDADE UNIVERSITARIA,9109172.0,284920.0,2019,jun,79.79992850009226
COELHOS,9107816.0,291882.0,2019,jun,85.06284847255569
COHAB,9101433.0,284767.0,2019,jun,82.56039650228374
COQUEIRAL,9105465.0,283108.0,2019,jun,82.7363035883699
CORDEIRO,9109547.0,287467.0,2019,jun,81.36675048347153
CORREGO DO JENIPAPO,9114488.0,286627.0,2019,jun,87.90366734041268
CURADO,9107651.0,283800.0,2019,jun,75.89386365434103
DERBY,9108825.0,290723.0,2019,jun,84.28319771907908
DOIS IRMAOS,9114707.0,284762.0,2019,jun,83.25146944702617
DOIS UNIDOS,9115967.0,289395.0,2019,jun,83.88086578287017
ENCRUZILHADA,9111158.0,291613.0,2019,jun,82.52084232985905
ENGENHO DO MEIO,9108934.0,285940.0,2019,jun,76.94950270709423
ESPINHEIRO,9110478.0,291571.0,2019,jun,81.93570017535087
ESTANCIA,9105647.0,287423.0,2019,jun,81.11293366245366
FUNDAO,9113575.6,291651.2,2019,jun,81.19850835571908
GRACAS,9110179.5,290528.0,2019,jun,79.55140280616578
GUABIRABA,9120358.0,284635.0,2019,jun,75.48187094078646
HIPODROMO,9111621.2,292022.4,2019,jun,80.03862282552348
