bairro,latitude,longitude,ano,mes,umidade
AFLITOS,9110884.0,290992.0,2015,mai,77.67159522784779
AFOGADOS,9106661.8,289910.65,2015,mai,81.09300875949206
AGUA FRIA,9113343.0,290787.7,2015,mai,78.7617270248353
ALTO DO MANDU,9112712.9,287498.0,2015,mai,80.97354393121832
ALTO JOSE BONIFACIO,9113775.0,289181.0,2015,mai,76.28701343454732
ALTO JOSE DO PINHO,9112846.0,289698.0,2015,mai,83.39845983687998
ALTO SANTA TEREZINHA,9113502.0,289671.0,2015,mai,82.66563076090723
APIPUCOS,9113095.0,286390.0,2015,mai,76.81615126927313
AREIAS,9104782.0,287566.7,2015,mai,74.93782632255214
ARRUDA,9112449.1,291553.7,2015,mai,77.16951460770628
BARRO,9104647.9,285112.8,2015,mai,72.96184807147478
BEBERIBE,9114684.0,290898.0,2015,mai,78.23792866600074
BOA VIAGEM,9101556.0,290274.0,2015,mai,77.17212354807215
BOA VISTA,9108394.0,292017.0,2015,mai,79.02899305189861
BOMBA DO HEMETERIO,9112839.1,290413.0,2015,mai,78.91827022948213
BONGI,9107910.4,288238.4,2015,mai,82.23443827672742
BRASILIA TEIMOSA,9106073.0,292947.0,2015,mai,82.58700413437742
BREJO DA GUABIRABA,9116097.0,287054.0,2015,mai,76.33777259720993
BREJO DE BEBERIBE,9115386.1,287902.9,2015,mai,78.25842985522664
CABANGA,9106392.0,290894.3,2015,mai,77.22575744187014
CACOTE,9104023.9,287032.9,2015,mai,80.11222663506636
CAJUEIRO,9113888.0,292172.0,2015,mai,78.6299606840186
CAMPINA DO BARRETO,9113399.0,292574.0,2015,mai,76.07083896935663
CAMPO GRANDE,9111728.0,292874.0,2015,mai,89.98930813538418
CASA AMARELA,9112482.0,288643.0,2015,mai,74.71390651227517
CASA FORTE,9111470.0,288586.0,2015,mai,79.09166229648972
CAXANGA,9111832.0,285184.0,2015,mai,84.1505615667789
CIDADE UNIVERSITARIA,9109172.0,284920.0,2015,mai,79.57698076218165
COELHOS,9107816.0,291882.0,2015,mai,78.72400712916469
COHAB,9101433.0,284767.0,2015,mai,78.1105400007665
COQUEIRAL,9105465.0,283108.0,2015,mai,82.56641748195771
CORDEIRO,9109547.0,287467.0,2015,mai,75.0164812467778
