bairro,latitude,longitude,ano,mes,umidade
AFLITOS,9110884.0,290992.0,2021,mar,78.23894160075668
AFOGADOS,9106661.8,289910.65,2021,mar,77.436247746054
AGUA FRIA,9113343.0,290787.7,2021,mar,73.17402176716699
ALTO DO MANDU,9112712.9,287498.0,2021,mar,82.18420659109528
ALTO JOSE BONIFACIO,9113775.0,289181.0,2021,mar,77.2346747401218
ALTO JOSE DO PINHO,9112846.0,289698.0,2021,mar,76.33211184692267
ALTO SANTA TEREZINHA,9113502.0,289671.0,2021,mar,80.74878091027642
APIPUCOS,9113095.0,286390.0,2021,mar,72.84434417910066
AREIAS,9104782.0,287566.7,2021,mar,76.63787343246631
ARRUDA,9112449.1,291553.7,2021,mar,77.75157218992287
BARRO,9104647.9,285112.8,2021,mar,73.55088646017992
BEBERIBE,9114684.0,290898.0,2021,mar,79.31760331226707
BOA VIAGEM,9101556.0,290274.0,2021,mar,78.650675387297
BOA VISTA,9108394.0,292017.0,2021,mar,75.78763587932137
BOMBA DO HEMETERIO,9112839.1,290413.0,2021,mar,82.06741444553714
BONGI,9107910.4,288238.4,2021,mar,80.1525363235549
BRASILIA TEIMOSA,9106073.0,292947.0,2021,mar,67.17860426976085
BREJO DA GUABIRABA,9116097.0,287054.0,2021,mar,74.59618558271728
BREJO DE BEBERIBE,9115386.1,287902.9,2021,mar,82.05607939073543
CABANGA,9106392.0,290894.3,2021,mar,77.97916186835099
CACOTE,9104023.9,287032.9,2021,mar,79.17395927434606
CAJUEIRO,9113888.0,292172.0,2021,mar,77.43407177069386
CAMPINA DO BARRETO,9113399.0,292574.0,2021,mar,74.58901904131231
CAMPO GRANDE,9111728.0,292874.0,2021,mar,80.22396906021585
CASA AMARELA,9112482.0,288643.0,2021,mar,71.16074056357627
CASA FORTE,9111470.0,288586.0,2021,mar,76.35408987532821
CAXANGA,9111832.0,285184.0,2021,mar,70.70158129986713
CIDADE UNIVERSITARIA,9109172.0,284920.0,2021,mar,78.855886681292
COELHOS,9107816.0,291882.0,2021,mar,80.51676040364215
COHAB,9101433.0,284767.0,2021,mar,79.33123010199834
COQUEIRAL,9105465.0,283108.0,2021,mar,72.00553822916471
CORDEIRO,9109547.0,287467.0,2021,mar,75.7131979589286
CORREGO DO JENIPAPO,9114488.0,286627.0,2021,mar,75.22874316629253
CURADO,9107651.0,283800.0,2021,mar,76.13884814449713
DERBY,9108825.0,290723.0,2021,mar,81.59465862557003
DOIS IRMAOS,9114707.0,284762.0,2021,mar,77.4048894118293
DOIS UNIDOS,9115967.0,289395.0,2021,mar,80.19534550472785
ENCRUZILHADA,9111158.0,291613.0,2021,mar,80.70609453929441
ENGENHO DO MEIO,9108934.0,285940.0,2021,mar,81.63061479511771
ESPINHEIRO,9110478.0,291571.0,2021,mar,70.99729220363476
ESTANCIA,9105647.0,287423.0,2021,mar,83.30753354045486
FUNDAO,9113575.6,291651.2,2021,mar,73.55965504881817
GRACAS,9110179.5,290528.0,2021,mar,82.268135404341
GUABIRABA,9120358.0,284635.0,2021,mar,80.12293003139371
HIPODROMO,9111621.2,292022.4,2021,mar,75.64869815782973
IBURA,9101668.1,287104.4,2021,mar,75.31405046551221
ILHA DO LEITE,9107953.6,291260.0,2021,mar,74.37416000319281
ILHA DO RETIRO,9108164.9,290198.2,2021,mar,74.56774184424494
ILHA JOANA BEZERRA,9107504.0,290753.0,2021,mar,82.03601237189106
IMBIRIBEIRA,9103837.8,289440.3,2021,mar,80.7792589480612
IPSEP,9103015.3,288448.0,2021,mar,79.11790660274667
IPUTINGA,9110794.2,286487.9,2021,mar,75.23553290844193
JAQUEIRA,9111235.3,290316.6,2021,mar,75.22315779144883
JARDIM SAO PAULO,9106260.1,285989.0,2021,mar,83.07704833920008
JIQUIA,9105794.0,288086.0,2021,mar,74.60987040730731
JORDAO,9100464.0,286239.0,2021,mar,72.20875619228721
LINHA DO TIRO,9114147.0,290008.0,2021,mar,78.33835165498668
MACAXEIRA,9113886.0,287156.0,2021,mar,80.65007139160933
MADALENA,9109267.0,289691.0,2021,mar,77.57049971795449
MANGABEIRA,9112518.0,290270.0,2021,mar,78.51589366347486
MANGUEIRA,9106721.0,288365.0,2021,mar,79.11505435570791
MONTEIRO,9112291.0,287425.0,2021,mar,77.1213218498615
MORRO DA CONCEICAO,9113078.0,288997.0,2021,mar,76.25260610419669
MUSTARDINHA,9107205.0,288581.0,2021,mar,78.58069152378233
NOVA DESCOBERTA,9115154.0,287233.0,2021,mar,77.04293356121067
PAISSANDU,9108269.0,290754.0,2021,mar,75.81968635432905
PARNAMIRIM,9111464.0,289457.0,2021,mar,80.49128025719166
PASSARINHO,9117218.0,288021.0,2021,mar,74.18587786422448
PAU FERRO,9118853.0,282335.0,2021,mar,77.4595591175314
PEIXINHOS,9113220.0,293141.0,2021,mar,76.9829414655168
PINA,9104566.0,291222.0,2021,mar,82.88072673056861
POCO,9111320.0,287974.0,2021,mar,80.12099280886433
PONTO DE PARADA,9111936.0,291363.0,2021,mar,75.93336496651791
PORTO DA MADEIRA,9114446.0,291875.0,2021,mar,77.24850371396212
PRADO,9108586.0,289083.0,2021,mar,87.35642771691678
RECIFE,9108963.5,293824.9,2021,mar,83.95487118229637
ROSARINHO,9111653.0,290839.0,2021,mar,72.70569145297893
SAN MARTIN,9107439.0,287447.0,2021,mar,76.78714597043789
SANCHO,9105834.0,283826.0,2021,mar,79.99691958734387
SANTANA,9110875.0,288843.0,2021,mar,80.18791755556956
SANTO AMARO,9109594.0,292657.0,2021,mar,82.37430680772606
SANTO ANTONIO,9108074.0,293047.0,2021,mar,77.44697973669327
SAO JOSE,9107439.0,292735.0,2021,mar,71.59609624698938
SITIO DOS PINTOS,9113960.0,284132.0,2021,mar,79.73849581896657
SOLEDADE,9109031.0,291653.0,2021,mar,76.7935106629495
TAMARINEIRA,9111623.0,290489.0,2021,mar,81.96848129453963
TEJIPIO,9105574.0,284554.0,2021,mar,77.20246561606487
TORRE,9110512.0,289784.0,2021,mar,85.3852523510509
TORREAO,9110768.0,292379.0,2021,mar,82.79507246075335
TORROES,9108525.0,286617.0,2021,mar,75.97403900387027
TOTO,9106121.0,283026.0,2021,mar,78.06472179520252
VARZEA,9110202.0,282982.0,2021,mar,78.43021919132111
VASCO DA GAMA,9113906.0,288489.0,2021,mar,78.86199662887525
ZUMBI,9109277.0,288621.0,2021,mar,81.50564953611682
