bairro,latitude,longitude,ano,mes,umidade
AFLITOS,9110884.0,290992.0,2013,jan,69.7872059657895
AFOGADOS,9106661.8,289910.65,2013,jan,72.98652665443957
AGUA FRIA,9113343.0,290787.7,2013,jan,64.12362950005353
ALTO DO MANDU,9112712.9,287498.0,2013,jan,71.27693877159174
ALTO JOSE BONIFACIO,9113775.0,289181.0,2013,jan,73.88975392951518
ALTO JOSE DO PINHO,9112846.0,289698.0,2013,jan,78.63224664829215
ALTO SANTA TEREZINHA,9113502.0,289671.0,2013,jan,74.6913753621915
APIPUCOS,9113095.0,286390.0,2013,jan,65.46162496790546
AREIAS,9104782.0,287566.7,2013,jan,75.30923854765032
ARRUDA,9112449.1,291553.7,2013,jan,71.32487659862039
BARRO,9104647.9,285112.8,2013,jan,74.2695503402788
BEBERIBE,9114684.0,290898.0,2013,jan,78.89051942465423
BOA VIAGEM,9101556.0,290274.0,2013,jan,77.72875523977575
BOA VISTA,9108394.0,292017.0,2013,jan,69.16504643614515
BOMBA DO HEMETERIO,9112839.1,290413.0,2013,jan,66.627705230954
BONGI,9107910.4,288238.4,2013,jan,77.28783380723746
BRASILIA TEIMOSA,9106073.0,292947.0,2013,jan,69.08870926374732
BREJO DA GUABIRABA,9116097.0,287054.0,2013,jan,65.64730760064452
BREJO DE BEBERIBE,9115386.1,287902.9,2013,jan,76.65022027068817
CABANGA,9106392.0,290894.3,2013,jan,73.94545198754504
CACOTE,9104023.9,287032.9,2013,jan,75.19539406328722
CAJUEIRO,9113888.0,292172.0,2013,jan,73.19761678745745
CAMPINA DO BARRETO,9113399.0,292574.0,2013,jan,73.73501957693026
CAMPO GRANDE,9111728.0,292874.0,2013,jan,73.10253049713383
CASA AMARELA,9112482.0,288643.0,2013,jan,76.02915787616362
CASA FORTE,9111470.0,288586.0,2013,jan,71.4081468127941
CAXANGA,9111832.0,285184.0,2013,jan,67.68192224630266
CIDADE UNIVERSITARIA,9109172.0,284920.0,2013,jan,67.45445790935608
COELHOS,9107816.0,291882.0,2013,jan,77.98420875047034
COHAB,9101433.0,284767.0,2013,jan,80.18372362456711
COQUEIRAL,9105465.0,283108.0,2013,jan,67.62760302381768
CORDEIRO,9109547.0,287467.0,2013,jan,69.59689099212844
CORREGO DO JENIPAPO,9114488.0,286627.0,2013,jan,70.81519156452562
CURADO,9107651.0,283800.0,2013,jan,79.01600554677555
DERBY,9108825.0,290723.0,2013,jan,70.70604001268238
DOIS IRMAOS,9114707.0,284762.0,2013,jan,72.70197319020933
DOIS UNIDOS,9115967.0,289395.0,2013,jan,66.52412113585126
ENCRUZILHADA,9111158.0,291613.0,2013,jan,76.08772420094269
ENGENHO DO MEIO,9108934.0,285940.0,2013,jan,70.28680006822366
ESPINHEIRO,9110478.0,291571.0,2013,jan,77.05088717867088
ESTANCIA,9105647.0,287423.0,2013,jan,74.45920613862428
FUNDAO,9113575.6,291651.2,2013,jan,76.83355268035841
GRACAS,9110179.5,290528.0,2013,jan,73.41895002846735
GUABIRABA,9120358.0,284635.0,2013,jan,76.75688860061463
HIPODROMO,9111621.2,292022.4,2013,jan,80.1078752709332
IBURA,9101668.1,287104.4,2013,jan,83.92474383032057
ILHA DO LEITE,9107953.6,291260.0,2013,jan,65.95677046177656
ILHA DO RETIRO,9108164.9,290198.2,2013,jan,77.83165016700526
ILHA JOANA BEZERRA,9107504.0,290753.0,2013,jan,75.96325168211608
IMBIRIBEIRA,9103837.8,289440.3,2013,jan,73.66190142360047
IPSEP,9103015.3,288448.0,2013,jan,72.69425333174404
IPUTINGA,9110794.2,286487.9,2013,jan,81.80485714278706
JAQUEIRA,9111235.3,290316.6,2013,jan,76.5469130957688
JARDIM SAO PAULO,9106260.1,285989.0,2013,jan,65.58856526229033
JIQUIA,9105794.0,288086.0,2013,jan,77.86870760569452
JORDAO,9100464.0,286239.0,2013,jan,75.82054614691044
LINHA DO TIRO,9114147.0,290008.0,2013,jan,70.35999888579993
MACAXEIRA,9113886.0,287156.0,2013,jan,72.03605271694187
MADALENA,9109267.0,289691.0,2013,jan,80.42512626549922
MANGABEIRA,9112518.0,290270.0,2013,jan,68.6303300292339
MANGUEIRA,9106721.0,288365.0,2013,jan,75.90250138655026
MONTEIRO,9112291.0,287425.0,2013,jan,74.44812816167745
MORRO DA CONCEICAO,9113078.0,288997.0,2013,jan,70.85750763940823
MUSTARDINHA,9107205.0,288581.0,2013,jan,80.38037932843386
NOVA DESCOBERTA,9115154.0,287233.0,2013,jan,71.59606237735602
PAISSANDU,9108269.0,290754.0,2013,jan,73.28544804463178
PARNAMIRIM,9111464.0,289457.0,2013,jan,77.42408964618923
PASSARINHO,9117218.0,288021.0,2013,jan,75.52052740757597
PAU FERRO,9118853.0,282335.0,2013,jan,82.16050890878726
PEIXINHOS,9113220.0,293141.0,2013,jan,73.22939454618692
PINA,9104566.0,291222.0,2013,jan,68.93942671552136
POCO,9111320.0,287974.0,2013,jan,75.64754622338256
PONTO DE PARADA,9111936.0,291363.0,2013,jan,70.91572838425759
PORTO DA MADEIRA,9114446.0,291875.0,2013,jan,69.83744111580094
PRADO,9108586.0,289083.0,2013,jan,73.3186298671421
RECIFE,9108963.5,293824.9,2013,jan,79.76174866595751
ROSARINHO,9111653.0,290839.0,2013,jan,63.621937547281135
SAN MARTIN,9107439.0,287447.0,2013,jan,73.45407938148647
SANCHO,9105834.0,283826.0,2013,jan,71.70313905041019
SANTANA,9110875.0,288843.0,2013,jan,70.06736197280779
SANTO AMARO,9109594.0,292657.0,2013,jan,72.81814359626016
SANTO ANTONIO,9108074.0,293047.0,2013,jan,80.20139361231398
SAO JOSE,9107439.0,292735.0,2013,jan,71.63407111118318
SITIO DOS PINTOS,9113960.0,284132.0,2013,jan,74.0721087923685
SOLEDADE,9109031.0,291653.0,2013,jan,75.74974341312623
TAMARINEIRA,9111623.0,290489.0,2013,jan,76.97994449936077
TEJIPIO,9105574.0,284554.0,2013,jan,78.68095075428982
TORRE,9110512.0,289784.0,2013,jan,78.9443627472326
TORREAO,9110768.0,292379.0,2013,jan,74.6263140497835
TORROES,9108525.0,286617.0,2013,jan,74.2692794280333
TOTO,9106121.0,283026.0,2013,jan,82.94593347538066
VARZEA,9110202.0,282982.0,2013,jan,76.89464226804479
VASCO DA GAMA,9113906.0,288489.0,2013,jan,69.92401499193132
ZUMBI,9109277.0,288621.0,2013,jan,78.71790717350514
AFLITOS,9110884.0,290992.0,2013,fev,71.87291690294947
AFOGADOS,9106661.8,289910.65,2013,fev,66.1740126994915
AGUA FRIA,9113343.0,290787.7,2013,fev,70.04446658927941
ALTO DO MANDU,9112712.9,287498.0,2013,fev,68.55094887084526
ALTO JOSE BONIFACIO,9113775.0,289181.0,2013,fev,75.05791189818576
ALTO JOSE DO PINHO,9112846.0,289698.0,2013,fev,69.54391819957912
ALTO SANTA TEREZINHA,9113502.0,289671.0,2013,fev,71.81998106793975
APIPUCOS,9113095.0,286390.0,2013,fev,65.48494623199551
AREIAS,9104782.0,287566.7,2013,fev,72.64994317427794
ARRUDA,9112449.1,291553.7,2013,fev,70.7355945880747
BARRO,9104647.9,285112.8,2013,fev,76.12813861093763
BEBERIBE,9114684.0,290898.0,2013,fev,66.14349931753148
BOA VIAGEM,9101556.0,290274.0,2013,fev,63.93900926496957
BOA VISTA,9108394.0,292017.0,2013,fev,69.78403691148462
BOMBA DO HEMETERIO,9112839.1,290413.0,2013,fev,72.41415838688268
BONGI,9107910.4,288238.4,2013,fev,67.2728475742323
BRASILIA TEIMOSA,9106073.0,292947.0,2013,fev,69.05268870624178
BREJO DA GUABIRABA,9116097.0,287054.0,2013,fev,69.40712427209206
BREJO DE BEBERIBE,9115386.1,287902.9,2013,fev,72.08606542279696
CABANGA,9106392.0,290894.3,2013,fev,71.71520246258207
CACOTE,9104023.9,287032.9,2013,fev,78.95982609644153
CAJUEIRO,9113888.0,292172.0,2013,fev,66.47549643005416
CAMPINA DO BARRETO,9113399.0,292574.0,2013,fev,74.46785558370189
CAMPO GRANDE,9111728.0,292874.0,2013,fev,83.46153142608334
CASA AMARELA,9112482.0,288643.0,2013,fev,76.09788722467862
CASA FORTE,9111470.0,288586.0,2013,fev,67.89014892844081
CAXANGA,9111832.0,285184.0,2013,fev,78.24356383135336
CIDADE UNIVERSITARIA,9109172.0,284920.0,2013,fev,61.76329389152073
COELHOS,9107816.0,291882.0,2013,fev,75.67571861026072
COHAB,9101433.0,284767.0,2013,fev,71.00845021454526
COQUEIRAL,9105465.0,283108.0,2013,fev,70.75913405867644
CORDEIRO,9109547.0,287467.0,2013,fev,67.95616193768761
CORREGO DO JENIPAPO,9114488.0,286627.0,2013,fev,69.91275204672353
CURADO,9107651.0,283800.0,2013,fev,59.37044657778526
DERBY,9108825.0,290723.0,2013,fev,64.30238409831985
DOIS IRMAOS,9114707.0,284762.0,2013,fev,66.79277353802031
DOIS UNIDOS,9115967.0,289395.0,2013,fev,65.72278174086358
ENCRUZILHADA,9111158.0,291613.0,2013,fev,73.5020455571833
ENGENHO DO MEIO,9108934.0,285940.0,2013,fev,62.280913826974654
ESPINHEIRO,9110478.0,291571.0,2013,fev,66.99593361812649
ESTANCIA,9105647.0,287423.0,2013,fev,67.63190276133732
FUNDAO,9113575.6,291651.2,2013,fev,74.01098356438
GRACAS,9110179.5,290528.0,2013,fev,70.81658614831271
GUABIRABA,9120358.0,284635.0,2013,fev,69.24959279073504
HIPODROMO,9111621.2,292022.4,2013,fev,75.45995960248459
IBURA,9101668.1,287104.4,2013,fev,77.56846026281409
ILHA DO LEITE,9107953.6,291260.0,2013,fev,73.78227640393628
ILHA DO RETIRO,9108164.9,290198.2,2013,fev,72.13139176037627
ILHA JOANA BEZERRA,9107504.0,290753.0,2013,fev,71.27502628200011
IMBIRIBEIRA,9103837.8,289440.3,2013,fev,75.59095341400725
IPSEP,9103015.3,288448.0,2013,fev,75.25531580052181
IPUTINGA,9110794.2,286487.9,2013,fev,70.26079117676787
JAQUEIRA,9111235.3,290316.6,2013,fev,77.04936781222452
JARDIM SAO PAULO,9106260.1,285989.0,2013,fev,74.3290446083718
JIQUIA,9105794.0,288086.0,2013,fev,62.7390435564017
JORDAO,9100464.0,286239.0,2013,fev,77.06837781767678
LINHA DO TIRO,9114147.0,290008.0,2013,fev,54.75633359800754
MACAXEIRA,9113886.0,287156.0,2013,fev,67.4465521283749
MADALENA,9109267.0,289691.0,2013,fev,70.90398783324744
MANGABEIRA,9112518.0,290270.0,2013,fev,69.53702429395858
MANGUEIRA,9106721.0,288365.0,2013,fev,71.79089046142468
MONTEIRO,9112291.0,287425.0,2013,fev,71.02497531418149
MORRO DA CONCEICAO,9113078.0,288997.0,2013,fev,72.62950678407134
MUSTARDINHA,9107205.0,288581.0,2013,fev,67.53187962274342
NOVA DESCOBERTA,9115154.0,287233.0,2013,fev,71.47999207975563
PAISSANDU,9108269.0,290754.0,2013,fev,71.58602419837396
PARNAMIRIM,9111464.0,289457.0,2013,fev,77.95154826228826
PASSARINHO,9117218.0,288021.0,2013,fev,84.54442620899687
PAU FERRO,9118853.0,282335.0,2013,fev,65.49333265579735
PEIXINHOS,9113220.0,293141.0,2013,fev,76.02530524178141
PINA,9104566.0,291222.0,2013,fev,72.82285739329659
POCO,9111320.0,287974.0,2013,fev,73.99839511251287
PONTO DE PARADA,9111936.0,291363.0,2013,fev,73.7236749445875
PORTO DA MADEIRA,9114446.0,291875.0,2013,fev,77.00023945926287
PRADO,9108586.0,289083.0,2013,fev,66.49929810834598
RECIFE,9108963.5,293824.9,2013,fev,68.09928193177274
ROSARINHO,9111653.0,290839.0,2013,fev,78.191411176519
SAN MARTIN,9107439.0,287447.0,2013,fev,70.53442881930859
SANCHO,9105834.0,283826.0,2013,fev,72.4126312783782
SANTANA,9110875.0,288843.0,2013,fev,80.33713058958344
SANTO AMARO,9109594.0,292657.0,2013,fev,74.22804375161067
SANTO ANTONIO,9108074.0,293047.0,2013,fev,72.74754317580496
SAO JOSE,9107439.0,292735.0,2013,fev,74.21670591774969
SITIO DOS PINTOS,9113960.0,284132.0,2013,fev,70.25229591682607
SOLEDADE,9109031.0,291653.0,2013,fev,69.00798712068159
TAMARINEIRA,9111623.0,290489.0,2013,fev,66.43711474757687
TEJIPIO,9105574.0,284554.0,2013,fev,74.38012536744148
TORRE,9110512.0,289784.0,2013,fev,74.13846350118924
TORREAO,9110768.0,292379.0,2013,fev,75.81991380939361
TORROES,9108525.0,286617.0,2013,fev,71.33688205635164
TOTO,9106121.0,283026.0,2013,fev,70.24041925866473
VARZEA,9110202.0,282982.0,2013,fev,73.99772534741447
VASCO DA GAMA,9113906.0,288489.0,2013,fev,80.94670133716193
ZUMBI,9109277.0,288621.0,2013,fev,70.54302098013117
AFLITOS,9110884.0,290992.0,2013,mar,78.11503014682144
AFOGADOS,9106661.8,289910.65,2013,mar,74.40636423296078
AGUA FRIA,9113343.0,290787.7,2013,mar,79.08204119119384
ALTO DO MANDU,9112712.9,287498.0,2013,mar,78.00301370785981
ALTO JOSE BONIFACIO,9113775.0,289181.0,2013,mar,67.41211249032823
ALTO JOSE DO PINHO,9112846.0,289698.0,2013,mar,68.81720792982854
ALTO SANTA TEREZINHA,9113502.0,289671.0,2013,mar,67.97843708281039
APIPUCOS,9113095.0,286390.0,2013,mar,66.73302327290449
AREIAS,9104782.0,287566.7,2013,mar,79.3510441143514
ARRUDA,9112449.1,291553.7,2013,mar,79.3973729796052
BARRO,9104647.9,285112.8,2013,mar,80.01223904182731
BEBERIBE,9114684.0,290898.0,2013,mar,73.37979168378169
BOA VIAGEM,9101556.0,290274.0,2013,mar,77.181996037883
BOA VISTA,9108394.0,292017.0,2013,mar,79.21504932486869
BOMBA DO HEMETERIO,9112839.1,290413.0,2013,mar,77.9016748808561
BONGI,9107910.4,288238.4,2013,mar,75.13410000240654
BRASILIA TEIMOSA,9106073.0,292947.0,2013,mar,79.02906573135807
BREJO DA GUABIRABA,9116097.0,287054.0,2013,mar,77.94120253332558
BREJO DE BEBERIBE,9115386.1,287902.9,2013,mar,72.4653202187582
CABANGA,9106392.0,290894.3,2013,mar,78.8629797797633
CACOTE,9104023.9,287032.9,2013,mar,67.5289947889202
CAJUEIRO,9113888.0,292172.0,2013,mar,73.57826879282202
CAMPINA DO BARRETO,9113399.0,292574.0,2013,mar,79.21241605690128
CAMPO GRANDE,9111728.0,292874.0,2013,mar,75.9701564562375
CASA AMARELA,9112482.0,288643.0,2013,mar,78.76343792511405
CASA FORTE,9111470.0,288586.0,2013,mar,75.45920713773688
CAXANGA,9111832.0,285184.0,2013,mar,76.66503692441617
CIDADE UNIVERSITARIA,9109172.0,284920.0,2013,mar,83.5450245122148
COELHOS,9107816.0,291882.0,2013,mar,72.79175327857112
COHAB,9101433.0,284767.0,2013,mar,76.1647670200296
COQUEIRAL,9105465.0,283108.0,2013,mar,72.10188389898822
CORDEIRO,9109547.0,287467.0,2013,mar,70.66010263505252
CORREGO DO JENIPAPO,9114488.0,286627.0,2013,mar,80.97698352827237
CURADO,9107651.0,283800.0,2013,mar,78.06473565283443
DERBY,9108825.0,290723.0,2013,mar,73.683269016879
DOIS IRMAOS,9114707.0,284762.0,2013,mar,72.13268312990215
DOIS UNIDOS,9115967.0,289395.0,2013,mar,82.94893611087443
ENCRUZILHADA,9111158.0,291613.0,2013,mar,74.89209473696305
ENGENHO DO MEIO,9108934.0,285940.0,2013,mar,75.58880152571116
ESPINHEIRO,9110478.0,291571.0,2013,mar,74.74257755563248
ESTANCIA,9105647.0,287423.0,2013,mar,80.17946698561376
FUNDAO,9113575.6,291651.2,2013,mar,78.11279568756922
GRACAS,9110179.5,290528.0,2013,mar,72.27643416478186
GUABIRABA,9120358.0,284635.0,2013,mar,78.11628957544288
HIPODROMO,9111621.2,292022.4,2013,mar,78.90693099871041
IBURA,9101668.1,287104.4,2013,mar,69.66457980044201
ILHA DO LEITE,9107953.6,291260.0,2013,mar,72.58721376733995
ILHA DO RETIRO,9108164.9,290198.2,2013,mar,75.12961252764488
ILHA JOANA BEZERRA,9107504.0,290753.0,2013,mar,68.18314901801885
IMBIRIBEIRA,9103837.8,289440.3,2013,mar,71.28495857261156
IPSEP,9103015.3,288448.0,2013,mar,73.13466037043209
IPUTINGA,9110794.2,286487.9,2013,mar,77.45400649380736
JAQUEIRA,9111235.3,290316.6,2013,mar,69.57830191008713
JARDIM SAO PAULO,9106260.1,285989.0,2013,mar,77.76647617211901
JIQUIA,9105794.0,288086.0,2013,mar,73.65355653121618
JORDAO,9100464.0,286239.0,2013,mar,70.87483219900268
LINHA DO TIRO,9114147.0,290008.0,2013,mar,78.4962409303547
MACAXEIRA,9113886.0,287156.0,2013,mar,78.5541412637973
MADALENA,9109267.0,289691.0,2013,mar,68.37494487986075
MANGABEIRA,9112518.0,290270.0,2013,mar,75.3242105202579
MANGUEIRA,9106721.0,288365.0,2013,mar,81.62106530337552
MONTEIRO,9112291.0,287425.0,2013,mar,72.60963263564402
MORRO DA CONCEICAO,9113078.0,288997.0,2013,mar,67.60984155868042
MUSTARDINHA,9107205.0,288581.0,2013,mar,61.84229407282903
NOVA DESCOBERTA,9115154.0,287233.0,2013,mar,73.90827108386435
PAISSANDU,9108269.0,290754.0,2013,mar,71.2387303734529
PARNAMIRIM,9111464.0,289457.0,2013,mar,76.85469131841919
PASSARINHO,9117218.0,288021.0,2013,mar,74.2573669900909
PAU FERRO,9118853.0,282335.0,2013,mar,77.64351694775694
PEIXINHOS,9113220.0,293141.0,2013,mar,78.006230668585
PINA,9104566.0,291222.0,2013,mar,65.7751053027585
POCO,9111320.0,287974.0,2013,mar,76.70517786153233
PONTO DE PARADA,9111936.0,291363.0,2013,mar,70.1508924012169
PORTO DA MADEIRA,9114446.0,291875.0,2013,mar,74.0025131864833
PRADO,9108586.0,289083.0,2013,mar,71.45030968618335
RECIFE,9108963.5,293824.9,2013,mar,67.48220231340653
ROSARINHO,9111653.0,290839.0,2013,mar,72.80055238305317
SAN MARTIN,9107439.0,287447.0,2013,mar,78.00488141464794
SANCHO,9105834.0,283826.0,2013,mar,77.5990449597598
SANTANA,9110875.0,288843.0,2013,mar,70.47101269351225
SANTO AMARO,9109594.0,292657.0,2013,mar,81.11825931029998
SANTO ANTONIO,9108074.0,293047.0,2013,mar,77.07858289718241
SAO JOSE,9107439.0,292735.0,2013,mar,69.36768583965637
SITIO DOS PINTOS,9113960.0,284132.0,2013,mar,69.14727773439574
SOLEDADE,9109031.0,291653.0,2013,mar,74.64984999315712
TAMARINEIRA,9111623.0,290489.0,2013,mar,71.16360077847555
TEJIPIO,9105574.0,284554.0,2013,mar,78.06489115486619
TORRE,9110512.0,289784.0,2013,mar,72.3630033921782
TORREAO,9110768.0,292379.0,2013,mar,82.481662743807
TORROES,9108525.0,286617.0,2013,mar,76.61499871589011
TOTO,9106121.0,283026.0,2013,mar,67.9416001271172
VARZEA,9110202.0,282982.0,2013,mar,72.53360789741113
VASCO DA GAMA,9113906.0,288489.0,2013,mar,74.12434212527552
ZUMBI,9109277.0,288621.0,2013,mar,66.68517923182625
AFLITOS,9110884.0,290992.0,2013,abr,77.43562268726821
AFOGADOS,9106661.8,289910.65,2013,abr,79.09587922910039
AGUA FRIA,9113343.0,290787.7,2013,abr,79.58720867623941
ALTO DO MANDU,9112712.9,287498.0,2013,abr,74.85872420176874
ALTO JOSE BONIFACIO,9113775.0,289181.0,2013,abr,71.93546190557667
ALTO JOSE DO PINHO,9112846.0,289698.0,2013,abr,81.37228462541096
ALTO SANTA TEREZINHA,9113502.0,289671.0,2013,abr,83.80490740577389
APIPUCOS,9113095.0,286390.0,2013,abr,76.73907457416922
AREIAS,9104782.0,287566.7,2013,abr,89.50576349928089
ARRUDA,9112449.1,291553.7,2013,abr,74.34094162969906
BARRO,9104647.9,285112.8,2013,abr,71.87813027697132
BEBERIBE,9114684.0,290898.0,2013,abr,81.74344786490906
BOA VIAGEM,9101556.0,290274.0,2013,abr,76.36942496471757
