bairro,latitude,longitude,ano,mes,umidade
AFLITOS,9110884.0,290992.0,2017,nov,68.51054394024487
AFOGADOS,9106661.8,289910.65,2017,nov,68.25582744093127
AGUA FRIA,9113343.0,290787.7,2017,nov,65.03776785558799
ALTO DO MANDU,9112712.9,287498.0,2017,nov,66.30539965877763
ALTO JOSE BONIFACIO,9113775.0,289181.0,2017,nov,65.31745464355217
ALTO JOSE DO PINHO,9112846.0,289698.0,2017,nov,69.33666256074264
ALTO SANTA TEREZINHA,9113502.0,289671.0,2017,nov,64.68074788680237
APIPUCOS,9113095.0,286390.0,2017,nov,74.97551893311925
AREIAS,9104782.0,287566.7,2017,nov,67.53987100890308
ARRUDA,9112449.1,291553.7,2017,nov,64.44660983661387
BARRO,9104647.9,285112.8,2017,nov,71.89845539166055
BEBERIBE,9114684.0,290898.0,2017,nov,72.95878237293151
BOA VIAGEM,9101556.0,290274.0,2017,nov,63.800014563795486
BOA VISTA,9108394.0,292017.0,2017,nov,70.21518308088913
BOMBA DO HEMETERIO,9112839.1,290413.0,2017,nov,76.05788963135036
BONGI,9107910.4,288238.4,2017,nov,75.31869216712792
BRASILIA TEIMOSA,9106073.0,292947.0,2017,nov,76.70127062219755
BREJO DA GUABIRABA,9116097.0,287054.0,2017,nov,70.22720618438117
BREJO DE BEBERIBE,9115386.1,287902.9,2017,nov,60.43596873197477
CABANGA,9106392.0,290894.3,2017,nov,68.40684556036217
CACOTE,9104023.9,287032.9,2017,nov,72.98561125220726
CAJUEIRO,9113888.0,292172.0,2017,nov,74.067232533747
CAMPINA DO BARRETO,9113399.0,292574.0,2017,nov,72.35120153455642
CAMPO GRANDE,9111728.0,292874.0,2017,nov,69.04738491159736
CASA AMARELA,9112482.0,288643.0,2017,nov,66.9985264872907
CASA FORTE,9111470.0,288586.0,2017,nov,65.93807752052675
CAXANGA,9111832.0,285184.0,2017,nov,65.87433785115184
CIDADE UNIVERSITARIA,9109172.0,284920.0,2017,nov,64.21785485677431
COELHOS,9107816.0,291882.0,2017,nov,65.600804064428
COHAB,9101433.0,284767.0,2017,nov,60.46072333487043
COQUEIRAL,9105465.0,283108.0,2017,nov,70.95419157335112
CORDEIRO,9109547.0,287467.0,2017,nov,75.36596023689951
