bairro,latitude,longitude,ano,mes,umidade
AFLITOS,9110884.0,290992.0,2016,out,76.94773288709305
AFOGADOS,9106661.8,289910.65,2016,out,72.76309417665064
AGUA FRIA,9113343.0,290787.7,2016,out,73.78676255202686
ALTO DO MANDU,9112712.9,287498.0,2016,out,84.92119595932672
ALTO JOSE BONIFACIO,9113775.0,289181.0,2016,out,74.2744174639311
ALTO JOSE DO PINHO,9112846.0,289698.0,2016,out,73.75610815428742
ALTO SANTA TEREZINHA,9113502.0,289671.0,2016,out,70.13618421596883
APIPUCOS,9113095.0,286390.0,2016,out,77.72528822253601
AREIAS,9104782.0,287566.7,2016,out,73.55224206573013
ARRUDA,9112449.1,291553.7,2016,out,77.29743572780544
BARRO,9104647.9,285112.8,2016,out,69.13775063470163
BEBERIBE,9114684.0,290898.0,2016,out,76.121724486153
BOA VIAGEM,9101556.0,290274.0,2016,out,74.57686079378882
BOA VISTA,9108394.0,292017.0,2016,out,75.08612879540637
BOMBA DO HEMETERIO,9112839.1,290413.0,2016,out,75.31090589961771
BONGI,9107910.4,288238.4,2016,out,74.43887020810114
BRASILIA TEIMOSA,9106073.0,292947.0,2016,out,80.52521473792159
BREJO DA GUABIRABA,9116097.0,287054.0,2016,out,76.66490947569038
BREJO DE BEBERIBE,9115386.1,287902.9,2016,out,84.01348437587512
CABANGA,9106392.0,290894.3,2016,out,71.61485835465399
CACOTE,9104023.9,287032.9,2016,out,76.72879009607283
CAJUEIRO,9113888.0,292172.0,2016,out,76.43084396035586
CAMPINA DO BARRETO,9113399.0,292574.0,2016,out,75.63418490386984
CAMPO GRANDE,9111728.0,292874.0,2016,out,70.13251840293665
CASA AMARELA,9112482.0,288643.0,2016,out,77.14610163692734
CASA FORTE,9111470.0,288586.0,2016,out,81.63270939418533
CAXANGA,9111832.0,285184.0,2016,out,76.6174877872522
CIDADE UNIVERSITARIA,9109172.0,284920.0,2016,out,76.3810204977484
COELHOS,9107816.0,291882.0,2016,out,72.33628532768252
COHAB,9101433.0,284767.0,2016,out,72.80258639012251
COQUEIRAL,9105465.0,283108.0,2016,out,81.70812675379128
CORDEIRO,9109547.0,287467.0,2016,out,79.36450716955422
CORREGO DO JENIPAPO,9114488.0,286627.0,2016,out,78.24187076645659
CURADO,9107651.0,283800.0,2016,out,76.95499545837562
DERBY,9108825.0,290723.0,2016,out,75.25765995288079
DOIS IRMAOS,9114707.0,284762.0,2016,out,74.66880084430525
DOIS UNIDOS,9115967.0,289395.0,2016,out,73.20610585292171
ENCRUZILHADA,9111158.0,291613.0,2016,out,75.66450360251956
ENGENHO DO MEIO,9108934.0,285940.0,2016,out,75.18655799907125
ESPINHEIRO,9110478.0,291571.0,2016,out,74.19813068372781
ESTANCIA,9105647.0,287423.0,2016,out,76.75132146128972
FUNDAO,9113575.6,291651.2,2016,out,76.25062271624043
GRACAS,9110179.5,290528.0,2016,out,74.95575873364679
GUABIRABA,9120358.0,284635.0,2016,out,81.07478745286669
HIPODROMO,9111621.2,292022.4,2016,out,74.79723096940965
IBURA,9101668.1,287104.4,2016,out,74.05969171361768
ILHA DO LEITE,9107953.6,291260.0,2016,out,75.64191974580297
ILHA DO RETIRO,9108164.9,290198.2,2016,out,81.42000345139644
ILHA JOANA BEZERRA,9107504.0,290753.0,2016,out,73.94971972059241
IMBIRIBEIRA,9103837.8,289440.3,2016,out,73.87940281838769
IPSEP,9103015.3,288448.0,2016,out,74.88164683256863
IPUTINGA,9110794.2,286487.9,2016,out,75.91775758533295
JAQUEIRA,9111235.3,290316.6,2016,out,74.79704997059754
JARDIM SAO PAULO,9106260.1,285989.0,2016,out,76.88835386273512
JIQUIA,9105794.0,288086.0,2016,out,72.74447735053052
JORDAO,9100464.0,286239.0,2016,out,84.22643769474524
LINHA DO TIRO,9114147.0,290008.0,2016,out,77.36880524104721
MACAXEIRA,9113886.0,287156.0,2016,out,79.8716873658374
MADALENA,9109267.0,289691.0,2016,out,79.52822189685139
MANGABEIRA,9112518.0,290270.0,2016,out,76.60825322244821
MANGUEIRA,9106721.0,288365.0,2016,out,75.36831975090854
MONTEIRO,9112291.0,287425.0,2016,out,76.57242813450263
MORRO DA CONCEICAO,9113078.0,288997.0,2016,out,80.68841245432755
MUSTARDINHA,9107205.0,288581.0,2016,out,77.91377283336548
NOVA DESCOBERTA,9115154.0,287233.0,2016,out,75.69048972488515
PAISSANDU,9108269.0,290754.0,2016,out,72.07914065599748
PARNAMIRIM,9111464.0,289457.0,2016,out,70.936769257343
PASSARINHO,9117218.0,288021.0,2016,out,76.61926080093974
PAU FERRO,9118853.0,282335.0,2016,out,73.51958240625234
PEIXINHOS,9113220.0,293141.0,2016,out,73.17430079748044
PINA,9104566.0,291222.0,2016,out,80.88102924416008
POCO,9111320.0,287974.0,2016,out,77.70335929570135
PONTO DE PARADA,9111936.0,291363.0,2016,out,84.23107447388772
PORTO DA MADEIRA,9114446.0,291875.0,2016,out,76.50182790669528
PRADO,9108586.0,289083.0,2016,out,75.18872129540125
RECIFE,9108963.5,293824.9,2016,out,80.02028565976975
ROSARINHO,9111653.0,290839.0,2016,out,82.3519649348236
SAN MARTIN,9107439.0,287447.0,2016,out,76.7482966939748
SANCHO,9105834.0,283826.0,2016,out,72.5983126466491
SANTANA,9110875.0,288843.0,2016,out,78.62464627592499
SANTO AMARO,9109594.0,292657.0,2016,out,74.34181596630366
SANTO ANTONIO,9108074.0,293047.0,2016,out,76.41272100134786
SAO JOSE,9107439.0,292735.0,2016,out,69.11232273082705
SITIO DOS PINTOS,9113960.0,284132.0,2016,out,81.63426872292695
SOLEDADE,9109031.0,291653.0,2016,out,71.04398159670829
TAMARINEIRA,9111623.0,290489.0,2016,out,77.14346790132032
TEJIPIO,9105574.0,284554.0,2016,out,77.08381275560282
