bairro,latitude,longitude,ano,mes,umidade
AFLITOS,9110884.0,290992.0,2020,set,79.56060894226296
AFOGADOS,9106661.8,289910.65,2020,set,73.59283346936871
AGUA FRIA,9113343.0,290787.7,2020,set,73.33476390975278
ALTO DO MANDU,9112712.9,287498.0,2020,set,76.54283215439636
ALTO JOSE BONIFACIO,9113775.0,289181.0,2020,set,73.50417040681593
ALTO JOSE DO PINHO,9112846.0,289698.0,2020,set,73.75003776200654
ALTO SANTA TEREZINHA,9113502.0,289671.0,2020,set,74.36386297638343
APIPUCOS,9113095.0,286390.0,2020,set,72.71730930118156
AREIAS,9104782.0,287566.7,2020,set,70.01287392592837
ARRUDA,9112449.1,291553.7,2020,set,76.61871947666833
BARRO,9104647.9,285112.8,2020,set,77.01205084261161
BEBERIBE,9114684.0,290898.0,2020,set,70.88901256014559
BOA VIAGEM,9101556.0,290274.0,2020,set,72.36683602372092
BOA VISTA,9108394.0,292017.0,2020,set,73.56913915918216
BOMBA DO HEMETERIO,9112839.1,290413.0,2020,set,79.75682823751711
BONGI,9107910.4,288238.4,2020,set,71.32628210082
BRASILIA TEIMOSA,9106073.0,292947.0,2020,set,73.27861602921291
BREJO DA GUABIRABA,9116097.0,287054.0,2020,set,70.77513572880886
BREJO DE BEBERIBE,9115386.1,287902.9,2020,set,68.37892104020133
CABANGA,9106392.0,290894.3,2020,set,70.16293940928598
CACOTE,9104023.9,287032.9,2020,set,71.96767648306285
CAJUEIRO,9113888.0,292172.0,2020,set,75.11916510858877
CAMPINA DO BARRETO,9113399.0,292574.0,2020,set,72.06083773852312
CAMPO GRANDE,9111728.0,292874.0,2020,set,70.61001952632503
CASA AMARELA,9112482.0,288643.0,2020,set,72.06035171660544
CASA FORTE,9111470.0,288586.0,2020,set,77.25158418157685
CAXANGA,9111832.0,285184.0,2020,set,75.60652300454578
CIDADE UNIVERSITARIA,9109172.0,284920.0,2020,set,70.54789527989884
COELHOS,9107816.0,291882.0,2020,set,73.82936126909051
COHAB,9101433.0,284767.0,2020,set,77.30651193551526
COQUEIRAL,9105465.0,283108.0,2020,set,71.80711767012339
CORDEIRO,9109547.0,287467.0,2020,set,76.9277063008665
