bairro,latitude,longitude,ano,mes,vento
AFLITOS,9110884.0,290992.0,2013,abr,0.2831142196446738
AFOGADOS,9106661.8,289910.65,2013,abr,0.8349521523491813
AGUA FRIA,9113343.0,290787.7,2013,abr,1.6311687085018576
ALTO DO MANDU,9112712.9,287498.0,2013,abr,1.9632624141834736
ALTO JOSE BONIFACIO,9113775.0,289181.0,2013,abr,0.2422291993445808
ALTO JOSE DO PINHO,9112846.0,289698.0,2013,abr,2.426864660015874
ALTO SANTA TEREZINHA,9113502.0,289671.0,2013,abr,1.0933964161356406
APIPUCOS,9113095.0,286390.0,2013,abr,1.3580469485424125
AREIAS,9104782.0,287566.7,2013,abr,1.1036430728388795
ARRUDA,9112449.1,291553.7,2013,abr,1.918699687582127
BARRO,9104647.9,285112.8,2013,abr,0.6129419600613957
BEBERIBE,9114684.0,290898.0,2013,abr,1.8211062832220968
BOA VIAGEM,9101556.0,290274.0,2013,abr,0.3003498791101293
BOA VISTA,9108394.0,292017.0,2013,abr,4.468067105247374
BOMBA DO HEMETERIO,9112839.1,290413.0,2013,abr,1.343108744817158
BONGI,9107910.4,288238.4,2013,abr,0.1314013534385076
BRASILIA TEIMOSA,9106073.0,292947.0,2013,abr,0.2776078028758233
BREJO DA GUABIRABA,9116097.0,287054.0,2013,abr,1.876210464714629
BREJO DE BEBERIBE,9115386.1,287902.9,2013,abr,2.293690816965889
CABANGA,9106392.0,290894.3,2013,abr,3.7392457984317975
CACOTE,9104023.9,287032.9,2013,abr,0.2977911149589394
CAJUEIRO,9113888.0,292172.0,2013,abr,2.962481767955352
CAMPINA DO BARRETO,9113399.0,292574.0,2013,abr,1.7353280970586276
CAMPO GRANDE,9111728.0,292874.0,2013,abr,1.1397779770972345
CASA AMARELA,9112482.0,288643.0,2013,abr,0.9293927551768896
CASA FORTE,9111470.0,288586.0,2013,abr,2.5587043788369783
CAXANGA,9111832.0,285184.0,2013,abr,1.3059936737084403
CIDADE UNIVERSITARIA,9109172.0,284920.0,2013,abr,2.0198522253000992
COELHOS,9107816.0,291882.0,2013,abr,6.493003342847515
COHAB,9101433.0,284767.0,2013,abr,2.435033339510884
COQUEIRAL,9105465.0,283108.0,2013,abr,1.4963155577000395
CORDEIRO,9109547.0,287467.0,2013,abr,1.559005337814885
CORREGO DO JENIPAPO,9114488.0,286627.0,2013,abr,1.1158953419821411
CURADO,9107651.0,283800.0,2013,abr,1.356574622656888
DERBY,9108825.0,290723.0,2013,abr,4.672851909338736
DOIS IRMAOS,9114707.0,284762.0,2013,abr,2.4510138114055087
DOIS UNIDOS,9115967.0,289395.0,2013,abr,1.928254489136897
ENCRUZILHADA,9111158.0,291613.0,2013,abr,0.4434602739271409
ENGENHO DO MEIO,9108934.0,285940.0,2013,abr,4.884213258112337
ESPINHEIRO,9110478.0,291571.0,2013,abr,3.164130353351257
ESTANCIA,9105647.0,287423.0,2013,abr,1.9247058901910987
FUNDAO,9113575.6,291651.2,2013,abr,2.1024860804803773
GRACAS,9110179.5,290528.0,2013,abr,1.377114387447436
GUABIRABA,9120358.0,284635.0,2013,abr,1.286045349781643
HIPODROMO,9111621.2,292022.4,2013,abr,0.2791108475266652
IBURA,9101668.1,287104.4,2013,abr,1.3695458722717584
ILHA DO LEITE,9107953.6,291260.0,2013,abr,0.3431758723418039
ILHA DO RETIRO,9108164.9,290198.2,2013,abr,3.150865896037827
ILHA JOANA BEZERRA,9107504.0,290753.0,2013,abr,0.9376447890876088
IMBIRIBEIRA,9103837.8,289440.3,2013,abr,0.911096917541438
IPSEP,9103015.3,288448.0,2013,abr,5.033759885559986
IPUTINGA,9110794.2,286487.9,2013,abr,2.8864183928203184
JAQUEIRA,9111235.3,290316.6,2013,abr,0.7911329255475563
JARDIM SAO PAULO,9106260.1,285989.0,2013,abr,2.589825918984128
JIQUIA,9105794.0,288086.0,2013,abr,3.193712415529598
JORDAO,9100464.0,286239.0,2013,abr,1.9843111108871592
LINHA DO TIRO,9114147.0,290008.0,2013,abr,1.817032172713576
MACAXEIRA,9113886.0,287156.0,2013,abr,2.64225308940662
MADALENA,9109267.0,289691.0,2013,abr,1.1429298398757208
MANGABEIRA,9112518.0,290270.0,2013,abr,3.490834289733505
MANGUEIRA,9106721.0,288365.0,2013,abr,6.625958673067586
MONTEIRO,9112291.0,287425.0,2013,abr,0.0683221386050154
MORRO DA CONCEICAO,9113078.0,288997.0,2013,abr,0.5862486216282713
MUSTARDINHA,9107205.0,288581.0,2013,abr,2.0572491110969726
NOVA DESCOBERTA,9115154.0,287233.0,2013,abr,1.4936643213775715
