bairro,latitude,longitude,ano,mes,vento
AFLITOS,9110884.0,290992.0,2017,ago,5.004352652808729
AFOGADOS,9106661.8,289910.65,2017,ago,1.3380636017810008
AGUA FRIA,9113343.0,290787.7,2017,ago,1.3442886888597745
ALTO DO MANDU,9112712.9,287498.0,2017,ago,3.866471230770699
ALTO JOSE BONIFACIO,9113775.0,289181.0,2017,ago,1.3688790620247138
ALTO JOSE DO PINHO,9112846.0,289698.0,2017,ago,1.1736955498109325
ALTO SANTA TEREZINHA,9113502.0,289671.0,2017,ago,2.4066832923253485
APIPUCOS,9113095.0,286390.0,2017,ago,2.372445296403476
AREIAS,9104782.0,287566.7,2017,ago,1.1754945050841925
ARRUDA,9112449.1,291553.7,2017,ago,0.0799930732211651
BARRO,9104647.9,285112.8,2017,ago,1.6478894097232142
BEBERIBE,9114684.0,290898.0,2017,ago,0.4070830021283753
BOA VIAGEM,9101556.0,290274.0,2017,ago,0.0544878943388347
BOA VISTA,9108394.0,292017.0,2017,ago,2.268094100351508
BOMBA DO HEMETERIO,9112839.1,290413.0,2017,ago,3.2199478493338827
BONGI,9107910.4,288238.4,2017,ago,1.3487265884544006
BRASILIA TEIMOSA,9106073.0,292947.0,2017,ago,0.7509678818323768
BREJO DA GUABIRABA,9116097.0,287054.0,2017,ago,4.528167197838557
BREJO DE BEBERIBE,9115386.1,287902.9,2017,ago,0.2936650670481386
CABANGA,9106392.0,290894.3,2017,ago,1.4710720074004913
CACOTE,9104023.9,287032.9,2017,ago,2.4235632103201645
CAJUEIRO,9113888.0,292172.0,2017,ago,0.8680995170367737
CAMPINA DO BARRETO,9113399.0,292574.0,2017,ago,3.2881924595468366
CAMPO GRANDE,9111728.0,292874.0,2017,ago,2.990295814677718
CASA AMARELA,9112482.0,288643.0,2017,ago,0.4011893099743512
CASA FORTE,9111470.0,288586.0,2017,ago,2.305234423612974
CAXANGA,9111832.0,285184.0,2017,ago,0.0586256586322562
CIDADE UNIVERSITARIA,9109172.0,284920.0,2017,ago,1.9450169762126444
COELHOS,9107816.0,291882.0,2017,ago,0.3362852303421271
COHAB,9101433.0,284767.0,2017,ago,2.674290326147575
COQUEIRAL,9105465.0,283108.0,2017,ago,4.389769923409065
CORDEIRO,9109547.0,287467.0,2017,ago,2.9494485884902817
CORREGO DO JENIPAPO,9114488.0,286627.0,2017,ago,1.6908085486409703
CURADO,9107651.0,283800.0,2017,ago,1.964984020053841
DERBY,9108825.0,290723.0,2017,ago,4.081189886865469
DOIS IRMAOS,9114707.0,284762.0,2017,ago,3.192533452933212
DOIS UNIDOS,9115967.0,289395.0,2017,ago,0.0236132326264553
ENCRUZILHADA,9111158.0,291613.0,2017,ago,0.1297753313358021
ENGENHO DO MEIO,9108934.0,285940.0,2017,ago,1.290916144135937
ESPINHEIRO,9110478.0,291571.0,2017,ago,3.2237501036984817
ESTANCIA,9105647.0,287423.0,2017,ago,2.6494779028759496
FUNDAO,9113575.6,291651.2,2017,ago,2.9943970701271443
