bairro,latitude,longitude,ano,mes,vento
AFLITOS,9110884.0,290992.0,2021,dez,0.0840245876543299
AFOGADOS,9106661.8,289910.65,2021,dez,0.8679685344908601
AGUA FRIA,9113343.0,290787.7,2021,dez,2.86973889625141
ALTO DO MANDU,9112712.9,287498.0,2021,dez,0.3209279389681487
ALTO JOSE BONIFACIO,9113775.0,289181.0,2021,dez,2.5267574357953118
ALTO JOSE DO PINHO,9112846.0,289698.0,2021,dez,0.6182645123230406
ALTO SANTA TEREZINHA,9113502.0,289671.0,2021,dez,1.4084452830461949
APIPUCOS,9113095.0,286390.0,2021,dez,0.1986162507133372
AREIAS,9104782.0,287566.7,2021,dez,1.6999118568263365
ARRUDA,9112449.1,291553.7,2021,dez,1.1182893036588326
BARRO,9104647.9,285112.8,2021,dez,0.9430689809077736
BEBERIBE,9114684.0,290898.0,2021,dez,0.540784811717828
BOA VIAGEM,9101556.0,290274.0,2021,dez,1.611331805257515
BOA VISTA,9108394.0,292017.0,2021,dez,2.6714819859503343
BOMBA DO HEMETERIO,9112839.1,290413.0,2021,dez,2.1800965909797143
BONGI,9107910.4,288238.4,2021,dez,0.0071409236228976
BRASILIA TEIMOSA,9106073.0,292947.0,2021,dez,1.0587380917813132
BREJO DA GUABIRABA,9116097.0,287054.0,2021,dez,1.6865559063219886
BREJO DE BEBERIBE,9115386.1,287902.9,2021,dez,2.261567068520176
CABANGA,9106392.0,290894.3,2021,dez,2.670209956880273
CACOTE,9104023.9,287032.9,2021,dez,2.1632195008654014
CAJUEIRO,9113888.0,292172.0,2021,dez,1.2631598940453128
CAMPINA DO BARRETO,9113399.0,292574.0,2021,dez,0.8469127078464068
CAMPO GRANDE,9111728.0,292874.0,2021,dez,0.7444381230104253
CASA AMARELA,9112482.0,288643.0,2021,dez,2.0629443138934853
CASA FORTE,9111470.0,288586.0,2021,dez,0.4323308121235112
CAXANGA,9111832.0,285184.0,2021,dez,0.3038935430817169
CIDADE UNIVERSITARIA,9109172.0,284920.0,2021,dez,0.2444290026386762
COELHOS,9107816.0,291882.0,2021,dez,0.0532277977181414
COHAB,9101433.0,284767.0,2021,dez,1.4473870891743694
COQUEIRAL,9105465.0,283108.0,2021,dez,1.0564750677063526
CORDEIRO,9109547.0,287467.0,2021,dez,2.3698834023204114
CORREGO DO JENIPAPO,9114488.0,286627.0,2021,dez,0.3950874396687975
CURADO,9107651.0,283800.0,2021,dez,1.5643314050185044
DERBY,9108825.0,290723.0,2021,dez,1.8540744994031708
DOIS IRMAOS,9114707.0,284762.0,2021,dez,1.499256603013383
DOIS UNIDOS,9115967.0,289395.0,2021,dez,1.5743783603629955
ENCRUZILHADA,9111158.0,291613.0,2021,dez,0.9710167140538776
ENGENHO DO MEIO,9108934.0,285940.0,2021,dez,0.9064879893641482
ESPINHEIRO,9110478.0,291571.0,2021,dez,2.010470865115184
ESTANCIA,9105647.0,287423.0,2021,dez,0.7313684598969965
FUNDAO,9113575.6,291651.2,2021,dez,0.235892426290407
GRACAS,9110179.5,290528.0,2021,dez,1.1415139798833445
GUABIRABA,9120358.0,284635.0,2021,dez,0.1367681216672786
HIPODROMO,9111621.2,292022.4,2021,dez,0.813342012982221
IBURA,9101668.1,287104.4,2021,dez,0.3284783087045793
ILHA DO LEITE,9107953.6,291260.0,2021,dez,1.8084685952421968
ILHA DO RETIRO,9108164.9,290198.2,2021,dez,2.2127866967996943
ILHA JOANA BEZERRA,9107504.0,290753.0,2021,dez,0.6805428317785682
IMBIRIBEIRA,9103837.8,289440.3,2021,dez,2.018485658987643
IPSEP,9103015.3,288448.0,2021,dez,2.225464127155058
IPUTINGA,9110794.2,286487.9,2021,dez,1.5940357637641802
JAQUEIRA,9111235.3,290316.6,2021,dez,1.0827152112823746
JARDIM SAO PAULO,9106260.1,285989.0,2021,dez,2.547030946450018
JIQUIA,9105794.0,288086.0,2021,dez,2.9607284157039566
JORDAO,9100464.0,286239.0,2021,dez,0.1984662620112626
LINHA DO TIRO,9114147.0,290008.0,2021,dez,0.3908771190701425
MACAXEIRA,9113886.0,287156.0,2021,dez,0.7488119020475256
MADALENA,9109267.0,289691.0,2021,dez,2.7064355457547538
MANGABEIRA,9112518.0,290270.0,2021,dez,1.2082952494140546
MANGUEIRA,9106721.0,288365.0,2021,dez,0.8083510968281999
MONTEIRO,9112291.0,287425.0,2021,dez,0.7960040309017715
MORRO DA CONCEICAO,9113078.0,288997.0,2021,dez,2.258537250922328
MUSTARDINHA,9107205.0,288581.0,2021,dez,0.4600775380337495
NOVA DESCOBERTA,9115154.0,287233.0,2021,dez,1.2859483354533614
PAISSANDU,9108269.0,290754.0,2021,dez,2.005247168548509
PARNAMIRIM,9111464.0,289457.0,2021,dez,0.2563946352210594
PASSARINHO,9117218.0,288021.0,2021,dez,2.125308823886287
PAU FERRO,9118853.0,282335.0,2021,dez,0.6117901984192432
PEIXINHOS,9113220.0,293141.0,2021,dez,0.9798644311490112
PINA,9104566.0,291222.0,2021,dez,0.3117100839846663
POCO,9111320.0,287974.0,2021,dez,3.4114639886653784
PONTO DE PARADA,9111936.0,291363.0,2021,dez,1.6626346585784115
PORTO DA MADEIRA,9114446.0,291875.0,2021,dez,1.994265319898363
PRADO,9108586.0,289083.0,2021,dez,2.244446547885893
RECIFE,9108963.5,293824.9,2021,dez,0.0941060706945895
ROSARINHO,9111653.0,290839.0,2021,dez,0.8385858122403278
SAN MARTIN,9107439.0,287447.0,2021,dez,0.0018064825497395
SANCHO,9105834.0,283826.0,2021,dez,3.472584167464833
SANTANA,9110875.0,288843.0,2021,dez,0.5105345448531267
