bairro,latitude,longitude,ano,mes,vento
AFLITOS,9110884.0,290992.0,2018,fev,0.4373065991050877
AFOGADOS,9106661.8,289910.65,2018,fev,3.117638452297203
AGUA FRIA,9113343.0,290787.7,2018,fev,1.1806318331571557
ALTO DO MANDU,9112712.9,287498.0,2018,fev,0.789696728863217
ALTO JOSE BONIFACIO,9113775.0,289181.0,2018,fev,2.7877003612842834
ALTO JOSE DO PINHO,9112846.0,289698.0,2018,fev,3.527074530129959
ALTO SANTA TEREZINHA,9113502.0,289671.0,2018,fev,1.087193090009513
APIPUCOS,9113095.0,286390.0,2018,fev,2.378979500905876
AREIAS,9104782.0,287566.7,2018,fev,1.7574260857622872
ARRUDA,9112449.1,291553.7,2018,fev,0.1008836106104023
BARRO,9104647.9,285112.8,2018,fev,1.2965916045428498
BEBERIBE,9114684.0,290898.0,2018,fev,2.190481232134844
BOA VIAGEM,9101556.0,290274.0,2018,fev,0.1268031227541723
BOA VISTA,9108394.0,292017.0,2018,fev,0.1811789536690462
BOMBA DO HEMETERIO,9112839.1,290413.0,2018,fev,0.4543121717788416
BONGI,9107910.4,288238.4,2018,fev,2.087150303065437
BRASILIA TEIMOSA,9106073.0,292947.0,2018,fev,2.075023159883266
BREJO DA GUABIRABA,9116097.0,287054.0,2018,fev,1.528218750015086
BREJO DE BEBERIBE,9115386.1,287902.9,2018,fev,1.895327215774553
CABANGA,9106392.0,290894.3,2018,fev,2.96190700838127
CACOTE,9104023.9,287032.9,2018,fev,0.8132985464760728
CAJUEIRO,9113888.0,292172.0,2018,fev,0.670600204585955
CAMPINA DO BARRETO,9113399.0,292574.0,2018,fev,1.7086294499105923
CAMPO GRANDE,9111728.0,292874.0,2018,fev,1.0060288842246603
CASA AMARELA,9112482.0,288643.0,2018,fev,0.0034628852216493
CASA FORTE,9111470.0,288586.0,2018,fev,3.7097159301034632
CAXANGA,9111832.0,285184.0,2018,fev,0.1757957033087132
CIDADE UNIVERSITARIA,9109172.0,284920.0,2018,fev,0.7250355913291874
COELHOS,9107816.0,291882.0,2018,fev,1.370394447288821
COHAB,9101433.0,284767.0,2018,fev,2.855646433819522
COQUEIRAL,9105465.0,283108.0,2018,fev,2.4336810732525542
CORDEIRO,9109547.0,287467.0,2018,fev,1.691288307895119
CORREGO DO JENIPAPO,9114488.0,286627.0,2018,fev,0.4014180432195431
CURADO,9107651.0,283800.0,2018,fev,3.305877521747856
DERBY,9108825.0,290723.0,2018,fev,2.8455784429254107
DOIS IRMAOS,9114707.0,284762.0,2018,fev,0.1351198816760872
DOIS UNIDOS,9115967.0,289395.0,2018,fev,4.459092991405912
ENCRUZILHADA,9111158.0,291613.0,2018,fev,0.6351304713283086
ENGENHO DO MEIO,9108934.0,285940.0,2018,fev,1.4077679368860232
ESPINHEIRO,9110478.0,291571.0,2018,fev,2.516024015928352
ESTANCIA,9105647.0,287423.0,2018,fev,0.8224464025000103
FUNDAO,9113575.6,291651.2,2018,fev,2.4785976096522413
GRACAS,9110179.5,290528.0,2018,fev,0.2389756596394232
GUABIRABA,9120358.0,284635.0,2018,fev,0.5451285058646498
HIPODROMO,9111621.2,292022.4,2018,fev,0.3575034771802039
IBURA,9101668.1,287104.4,2018,fev,0.3319942717699582
