bairro,latitude,longitude,ano,mes,vento
AFLITOS,9110884.0,290992.0,2021,jan,0.7400920303942932
AFOGADOS,9106661.8,289910.65,2021,jan,0.4980747320124115
AGUA FRIA,9113343.0,290787.7,2021,jan,0.9150727610109152
ALTO DO MANDU,9112712.9,287498.0,2021,jan,1.43784550893681
ALTO JOSE BONIFACIO,9113775.0,289181.0,2021,jan,2.964008276988509
ALTO JOSE DO PINHO,9112846.0,289698.0,2021,jan,3.0499233771791183
ALTO SANTA TEREZINHA,9113502.0,289671.0,2021,jan,3.6654953024110974
APIPUCOS,9113095.0,286390.0,2021,jan,2.259284355541871
AREIAS,9104782.0,287566.7,2021,jan,0.9853348322479364
ARRUDA,9112449.1,291553.7,2021,jan,0.6899424218757315
BARRO,9104647.9,285112.8,2021,jan,0.9297202421292255
BEBERIBE,9114684.0,290898.0,2021,jan,1.6414833645547944
BOA VIAGEM,9101556.0,290274.0,2021,jan,1.0327628943515703
BOA VISTA,9108394.0,292017.0,2021,jan,3.9039405006177006
BOMBA DO HEMETERIO,9112839.1,290413.0,2021,jan,2.7305177116435217
BONGI,9107910.4,288238.4,2021,jan,1.2739143854870458
BRASILIA TEIMOSA,9106073.0,292947.0,2021,jan,0.0391022127178701
BREJO DA GUABIRABA,9116097.0,287054.0,2021,jan,3.3874116972171477
BREJO DE BEBERIBE,9115386.1,287902.9,2021,jan,2.206540180833987
CABANGA,9106392.0,290894.3,2021,jan,1.2142068052691666
CACOTE,9104023.9,287032.9,2021,jan,1.8885227769119337
CAJUEIRO,9113888.0,292172.0,2021,jan,2.4171152901450155
CAMPINA DO BARRETO,9113399.0,292574.0,2021,jan,1.156141182510023
CAMPO GRANDE,9111728.0,292874.0,2021,jan,3.3502980256687227
CASA AMARELA,9112482.0,288643.0,2021,jan,4.137299466965295
CASA FORTE,9111470.0,288586.0,2021,jan,1.7558447397987618
CAXANGA,9111832.0,285184.0,2021,jan,3.283888988546498
CIDADE UNIVERSITARIA,9109172.0,284920.0,2021,jan,0.0007314087084184
COELHOS,9107816.0,291882.0,2021,jan,1.1472131499976443
COHAB,9101433.0,284767.0,2021,jan,3.5153509624572488
COQUEIRAL,9105465.0,283108.0,2021,jan,2.465762355668055
CORDEIRO,9109547.0,287467.0,2021,jan,2.9240722067571028
CORREGO DO JENIPAPO,9114488.0,286627.0,2021,jan,3.300217271432194
CURADO,9107651.0,283800.0,2021,jan,2.838957238804109
DERBY,9108825.0,290723.0,2021,jan,3.801638587910189
DOIS IRMAOS,9114707.0,284762.0,2021,jan,0.2412608124568658
DOIS UNIDOS,9115967.0,289395.0,2021,jan,0.2214232176355095
ENCRUZILHADA,9111158.0,291613.0,2021,jan,2.045582579192607
ENGENHO DO MEIO,9108934.0,285940.0,2021,jan,3.8801933184003943
ESPINHEIRO,9110478.0,291571.0,2021,jan,0.4187974966577952
ESTANCIA,9105647.0,287423.0,2021,jan,1.538900542351591
FUNDAO,9113575.6,291651.2,2021,jan,1.969170477363012
GRACAS,9110179.5,290528.0,2021,jan,3.23525203399572
GUABIRABA,9120358.0,284635.0,2021,jan,0.9087795042693264
HIPODROMO,9111621.2,292022.4,2021,jan,2.1866376217551515
IBURA,9101668.1,287104.4,2021,jan,1.7224993303463814
ILHA DO LEITE,9107953.6,291260.0,2021,jan,1.9239400513916596
ILHA DO RETIRO,9108164.9,290198.2,2021,jan,2.602634871540175
ILHA JOANA BEZERRA,9107504.0,290753.0,2021,jan,1.3257536119137951
IMBIRIBEIRA,9103837.8,289440.3,2021,jan,2.56738669613974
IPSEP,9103015.3,288448.0,2021,jan,2.5375097639548505
IPUTINGA,9110794.2,286487.9,2021,jan,1.9053508738394251
JAQUEIRA,9111235.3,290316.6,2021,jan,1.1970022070292208
JARDIM SAO PAULO,9106260.1,285989.0,2021,jan,2.1063936235262464
JIQUIA,9105794.0,288086.0,2021,jan,3.465817561258639
JORDAO,9100464.0,286239.0,2021,jan,0.5051973764191615
LINHA DO TIRO,9114147.0,290008.0,2021,jan,1.9368688358562491
MACAXEIRA,9113886.0,287156.0,2021,jan,1.550185156769512
MADALENA,9109267.0,289691.0,2021,jan,1.2231264601614682
MANGABEIRA,9112518.0,290270.0,2021,jan,0.3946023370006482
MANGUEIRA,9106721.0,288365.0,2021,jan,1.8119939838509316
MONTEIRO,9112291.0,287425.0,2021,jan,3.159243404178075
MORRO DA CONCEICAO,9113078.0,288997.0,2021,jan,2.5067687132979435
MUSTARDINHA,9107205.0,288581.0,2021,jan,1.6462622672979768
NOVA DESCOBERTA,9115154.0,287233.0,2021,jan,3.4485337036803445
PAISSANDU,9108269.0,290754.0,2021,jan,2.1265012312284184
PARNAMIRIM,9111464.0,289457.0,2021,jan,0.548391611207713
PASSARINHO,9117218.0,288021.0,2021,jan,1.4054266816446743
PAU FERRO,9118853.0,282335.0,2021,jan,2.650383152225264
PEIXINHOS,9113220.0,293141.0,2021,jan,1.361739643313519
PINA,9104566.0,291222.0,2021,jan,0.8140858919131305
POCO,9111320.0,287974.0,2021,jan,3.5351879216611937
PONTO DE PARADA,9111936.0,291363.0,2021,jan,0.3854737867823363
PORTO DA MADEIRA,9114446.0,291875.0,2021,jan,3.509328068619249
PRADO,9108586.0,289083.0,2021,jan,2.2445121408325424
RECIFE,9108963.5,293824.9,2021,jan,0.449435962392251
ROSARINHO,9111653.0,290839.0,2021,jan,2.51692708407239
SAN MARTIN,9107439.0,287447.0,2021,jan,1.2104806268560069
SANCHO,9105834.0,283826.0,2021,jan,0.1867217323443142
SANTANA,9110875.0,288843.0,2021,jan,3.681963770164036
SANTO AMARO,9109594.0,292657.0,2021,jan,1.598944566732412
SANTO ANTONIO,9108074.0,293047.0,2021,jan,1.1739157661773492
SAO JOSE,9107439.0,292735.0,2021,jan,0.1552340747485963
SITIO DOS PINTOS,9113960.0,284132.0,2021,jan,2.361951866467807
SOLEDADE,9109031.0,291653.0,2021,jan,2.149863318404924
TAMARINEIRA,9111623.0,290489.0,2021,jan,0.212756607241108
TEJIPIO,9105574.0,284554.0,2021,jan,0.2577421977450405
TORRE,9110512.0,289784.0,2021,jan,1.686858516197133
TORREAO,9110768.0,292379.0,2021,jan,1.6011662955550765
TORROES,9108525.0,286617.0,2021,jan,3.109192041010674
TOTO,9106121.0,283026.0,2021,jan,2.527425032057714
VARZEA,9110202.0,282982.0,2021,jan,1.441619673440838
VASCO DA GAMA,9113906.0,288489.0,2021,jan,3.40847843736091
ZUMBI,9109277.0,288621.0,2021,jan,3.382563697946621
