bairro,latitude,longitude,ano,mes,vento
AFLITOS,9110884.0,290992.0,2017,jul,3.522255530120054
AFOGADOS,9106661.8,289910.65,2017,jul,3.9535878737958
AGUA FRIA,9113343.0,290787.7,2017,jul,5.988327647099967
ALTO DO MANDU,9112712.9,287498.0,2017,jul,0.3823104994841639
ALTO JOSE BONIFACIO,9113775.0,289181.0,2017,jul,0.6643114041514206
ALTO JOSE DO PINHO,9112846.0,289698.0,2017,jul,3.29877607023662
ALTO SANTA TEREZINHA,9113502.0,289671.0,2017,jul,2.375161506459732
APIPUCOS,9113095.0,286390.0,2017,jul,0.728975579072088
AREIAS,9104782.0,287566.7,2017,jul,0.6817264575176063
ARRUDA,9112449.1,291553.7,2017,jul,0.3575684996642549
BARRO,9104647.9,285112.8,2017,jul,1.9339638402531265
BEBERIBE,9114684.0,290898.0,2017,jul,1.8847421578159964
BOA VIAGEM,9101556.0,290274.0,2017,jul,3.144763621790561
BOA VISTA,9108394.0,292017.0,2017,jul,0.9139014367848008
BOMBA DO HEMETERIO,9112839.1,290413.0,2017,jul,3.3707797084306943
BONGI,9107910.4,288238.4,2017,jul,0.992355279478501
BRASILIA TEIMOSA,9106073.0,292947.0,2017,jul,0.2100416525031812
BREJO DA GUABIRABA,9116097.0,287054.0,2017,jul,4.8775450937041605
BREJO DE BEBERIBE,9115386.1,287902.9,2017,jul,2.7144618263693605
CABANGA,9106392.0,290894.3,2017,jul,0.9377071324928976
CACOTE,9104023.9,287032.9,2017,jul,1.256600324236369
CAJUEIRO,9113888.0,292172.0,2017,jul,3.064194248400068
CAMPINA DO BARRETO,9113399.0,292574.0,2017,jul,0.1088817687273377
CAMPO GRANDE,9111728.0,292874.0,2017,jul,1.9655866720703616
CASA AMARELA,9112482.0,288643.0,2017,jul,0.1706491076882943
CASA FORTE,9111470.0,288586.0,2017,jul,3.611829959456085
CAXANGA,9111832.0,285184.0,2017,jul,4.587043801333719
CIDADE UNIVERSITARIA,9109172.0,284920.0,2017,jul,2.893673821867468
COELHOS,9107816.0,291882.0,2017,jul,0.8955734377350886
COHAB,9101433.0,284767.0,2017,jul,4.009046800451043
COQUEIRAL,9105465.0,283108.0,2017,jul,2.0944556200108977
CORDEIRO,9109547.0,287467.0,2017,jul,1.219529705946537
CORREGO DO JENIPAPO,9114488.0,286627.0,2017,jul,2.042703144668351
CURADO,9107651.0,283800.0,2017,jul,0.4560474228201456
DERBY,9108825.0,290723.0,2017,jul,0.3553866209073424
DOIS IRMAOS,9114707.0,284762.0,2017,jul,3.9431783475132542
DOIS UNIDOS,9115967.0,289395.0,2017,jul,2.334616964324875
ENCRUZILHADA,9111158.0,291613.0,2017,jul,2.212864963242186
ENGENHO DO MEIO,9108934.0,285940.0,2017,jul,2.817574697968058
ESPINHEIRO,9110478.0,291571.0,2017,jul,0.907118803570705
ESTANCIA,9105647.0,287423.0,2017,jul,0.5585084343512439
