bairro,latitude,longitude,ano,mes,vento
AFLITOS,9110884.0,290992.0,2013,jun,5.130516788644497
AFOGADOS,9106661.8,289910.65,2013,jun,1.4371708745458385
AGUA FRIA,9113343.0,290787.7,2013,jun,2.479213144626282
ALTO DO MANDU,9112712.9,287498.0,2013,jun,4.36242989780565
ALTO JOSE BONIFACIO,9113775.0,289181.0,2013,jun,1.3684982429496817
ALTO JOSE DO PINHO,9112846.0,289698.0,2013,jun,3.737018397491045
ALTO SANTA TEREZINHA,9113502.0,289671.0,2013,jun,1.8624281688211997
APIPUCOS,9113095.0,286390.0,2013,jun,2.0613486397479464
AREIAS,9104782.0,287566.7,2013,jun,0.4455230299765615
ARRUDA,9112449.1,291553.7,2013,jun,1.9733463256161603
BARRO,9104647.9,285112.8,2013,jun,1.3307478792803176
BEBERIBE,9114684.0,290898.0,2013,jun,2.323706648619919
BOA VIAGEM,9101556.0,290274.0,2013,jun,0.4111356377553017
BOA VISTA,9108394.0,292017.0,2013,jun,2.409523119128273
BOMBA DO HEMETERIO,9112839.1,290413.0,2013,jun,2.0125425804825547
BONGI,9107910.4,288238.4,2013,jun,0.4936083414787214
BRASILIA TEIMOSA,9106073.0,292947.0,2013,jun,0.2204543341231906
BREJO DA GUABIRABA,9116097.0,287054.0,2013,jun,0.1278817948403003
BREJO DE BEBERIBE,9115386.1,287902.9,2013,jun,2.180269733829969
CABANGA,9106392.0,290894.3,2013,jun,2.4419132016101224
CACOTE,9104023.9,287032.9,2013,jun,2.4370093388152663
CAJUEIRO,9113888.0,292172.0,2013,jun,0.8510056983879013
CAMPINA DO BARRETO,9113399.0,292574.0,2013,jun,1.097992386843999
CAMPO GRANDE,9111728.0,292874.0,2013,jun,1.2016039129623726
CASA AMARELA,9112482.0,288643.0,2013,jun,1.574476438719695
CASA FORTE,9111470.0,288586.0,2013,jun,0.2205764739664539
CAXANGA,9111832.0,285184.0,2013,jun,0.1077129571112631
CIDADE UNIVERSITARIA,9109172.0,284920.0,2013,jun,1.042619317031369
COELHOS,9107816.0,291882.0,2013,jun,0.6437865829845113
COHAB,9101433.0,284767.0,2013,jun,1.3404010020123878
COQUEIRAL,9105465.0,283108.0,2013,jun,1.181959233266905
CORDEIRO,9109547.0,287467.0,2013,jun,1.410838916494019
CORREGO DO JENIPAPO,9114488.0,286627.0,2013,jun,4.749192695353552
CURADO,9107651.0,283800.0,2013,jun,0.341807628985698
DERBY,9108825.0,290723.0,2013,jun,1.594290504357602
DOIS IRMAOS,9114707.0,284762.0,2013,jun,3.172065758855039
DOIS UNIDOS,9115967.0,289395.0,2013,jun,1.792835001177013
ENCRUZILHADA,9111158.0,291613.0,2013,jun,2.610423673590571
ENGENHO DO MEIO,9108934.0,285940.0,2013,jun,3.9230297603169664
ESPINHEIRO,9110478.0,291571.0,2013,jun,2.0510004031719538
ESTANCIA,9105647.0,287423.0,2013,jun,0.5608090826433882
FUNDAO,9113575.6,291651.2,2013,jun,1.990503101128461
GRACAS,9110179.5,290528.0,2013,jun,1.6492666743906532
GUABIRABA,9120358.0,284635.0,2013,jun,0.812778207038501
HIPODROMO,9111621.2,292022.4,2013,jun,2.0114941713238315
IBURA,9101668.1,287104.4,2013,jun,0.7620413964566275
ILHA DO LEITE,9107953.6,291260.0,2013,jun,2.077789939459278
ILHA DO RETIRO,9108164.9,290198.2,2013,jun,0.6636081634395603
ILHA JOANA BEZERRA,9107504.0,290753.0,2013,jun,1.3703156735627533
IMBIRIBEIRA,9103837.8,289440.3,2013,jun,1.6662135089298518
IPSEP,9103015.3,288448.0,2013,jun,0.4221905496260734
IPUTINGA,9110794.2,286487.9,2013,jun,2.3470917570183443
JAQUEIRA,9111235.3,290316.6,2013,jun,1.045702962558511
JARDIM SAO PAULO,9106260.1,285989.0,2013,jun,2.3186612909096587
JIQUIA,9105794.0,288086.0,2013,jun,3.6679752601357913
JORDAO,9100464.0,286239.0,2013,jun,1.8187368317069852
LINHA DO TIRO,9114147.0,290008.0,2013,jun,3.384207138490674
MACAXEIRA,9113886.0,287156.0,2013,jun,0.6467924093265018
MADALENA,9109267.0,289691.0,2013,jun,1.0243869325746786
MANGABEIRA,9112518.0,290270.0,2013,jun,1.7925621949979835
MANGUEIRA,9106721.0,288365.0,2013,jun,0.7752378129428157
MONTEIRO,9112291.0,287425.0,2013,jun,1.689427018980583
MORRO DA CONCEICAO,9113078.0,288997.0,2013,jun,2.881727582602553
MUSTARDINHA,9107205.0,288581.0,2013,jun,0.8171563923333809
NOVA DESCOBERTA,9115154.0,287233.0,2013,jun,2.685560309875899
PAISSANDU,9108269.0,290754.0,2013,jun,1.0611068151106864
PARNAMIRIM,9111464.0,289457.0,2013,jun,1.0304307191784636
PASSARINHO,9117218.0,288021.0,2013,jun,2.598065263253207
PAU FERRO,9118853.0,282335.0,2013,jun,2.7771755535777523
PEIXINHOS,9113220.0,293141.0,2013,jun,0.4390211787950261
PINA,9104566.0,291222.0,2013,jun,1.075731341372964
POCO,9111320.0,287974.0,2013,jun,1.0141937488329118
PONTO DE PARADA,9111936.0,291363.0,2013,jun,4.48640850055573
PORTO DA MADEIRA,9114446.0,291875.0,2013,jun,1.5973617287905857
PRADO,9108586.0,289083.0,2013,jun,2.000622348246321
RECIFE,9108963.5,293824.9,2013,jun,0.2132466222055944
ROSARINHO,9111653.0,290839.0,2013,jun,1.7613489404926144
SAN MARTIN,9107439.0,287447.0,2013,jun,0.0745818053214124
SANCHO,9105834.0,283826.0,2013,jun,0.5791529646812983
SANTANA,9110875.0,288843.0,2013,jun,0.8584412840332105
SANTO AMARO,9109594.0,292657.0,2013,jun,0.1085399954490713
SANTO ANTONIO,9108074.0,293047.0,2013,jun,1.1894308845301955
SAO JOSE,9107439.0,292735.0,2013,jun,3.49951907052834
SITIO DOS PINTOS,9113960.0,284132.0,2013,jun,0.7552448191604757
SOLEDADE,9109031.0,291653.0,2013,jun,2.257995012789296
TAMARINEIRA,9111623.0,290489.0,2013,jun,0.2592646188996658
TEJIPIO,9105574.0,284554.0,2013,jun,2.9601571168041567
TORRE,9110512.0,289784.0,2013,jun,2.1572836078798807
TORREAO,9110768.0,292379.0,2013,jun,1.1651546188952175
TORROES,9108525.0,286617.0,2013,jun,1.3029475330211122
TOTO,9106121.0,283026.0,2013,jun,3.7281530574332624
VARZEA,9110202.0,282982.0,2013,jun,5.61399724352126
VASCO DA GAMA,9113906.0,288489.0,2013,jun,1.5741108355643347
ZUMBI,9109277.0,288621.0,2013,jun,1.9987534521065315
