bairro,latitude,longitude,ano,mes,vento
AFLITOS,9110884.0,290992.0,2014,mai,4.284198825036689
AFOGADOS,9106661.8,289910.65,2014,mai,0.1592251673883915
AGUA FRIA,9113343.0,290787.7,2014,mai,2.011835272010586
ALTO DO MANDU,9112712.9,287498.0,2014,mai,1.957917283766768
ALTO JOSE BONIFACIO,9113775.0,289181.0,2014,mai,0.7859398244593399
ALTO JOSE DO PINHO,9112846.0,289698.0,2014,mai,1.8841331822424303
ALTO SANTA TEREZINHA,9113502.0,289671.0,2014,mai,1.7806243260140435
APIPUCOS,9113095.0,286390.0,2014,mai,1.610194301078465
AREIAS,9104782.0,287566.7,2014,mai,3.421788740842413
ARRUDA,9112449.1,291553.7,2014,mai,2.843478921873902
BARRO,9104647.9,285112.8,2014,mai,2.0946991979760314
BEBERIBE,9114684.0,290898.0,2014,mai,2.887419641894989
BOA VIAGEM,9101556.0,290274.0,2014,mai,1.4654548463480102
BOA VISTA,9108394.0,292017.0,2014,mai,0.942599426030608
BOMBA DO HEMETERIO,9112839.1,290413.0,2014,mai,2.823755557899424
BONGI,9107910.4,288238.4,2014,mai,0.8166277385949312
BRASILIA TEIMOSA,9106073.0,292947.0,2014,mai,2.3766666334848603
BREJO DA GUABIRABA,9116097.0,287054.0,2014,mai,0.3300497355691241
BREJO DE BEBERIBE,9115386.1,287902.9,2014,mai,2.9433578234271733
CABANGA,9106392.0,290894.3,2014,mai,0.8356803348475053
CACOTE,9104023.9,287032.9,2014,mai,0.252642951081675
CAJUEIRO,9113888.0,292172.0,2014,mai,1.569363536395719
CAMPINA DO BARRETO,9113399.0,292574.0,2014,mai,2.228770948147898
CAMPO GRANDE,9111728.0,292874.0,2014,mai,0.3714708169384878
CASA AMARELA,9112482.0,288643.0,2014,mai,1.2448398882525218
CASA FORTE,9111470.0,288586.0,2014,mai,0.2200544742040658
CAXANGA,9111832.0,285184.0,2014,mai,0.4542948074886785
CIDADE UNIVERSITARIA,9109172.0,284920.0,2014,mai,0.1606549592235626
COELHOS,9107816.0,291882.0,2014,mai,0.8374170847212077
COHAB,9101433.0,284767.0,2014,mai,1.926887911958144
COQUEIRAL,9105465.0,283108.0,2014,mai,0.005369534302793
CORDEIRO,9109547.0,287467.0,2014,mai,3.2659095269877376
CORREGO DO JENIPAPO,9114488.0,286627.0,2014,mai,3.5318285332303194
CURADO,9107651.0,283800.0,2014,mai,1.4723771636979257
