bairro,latitude,longitude,ano,mes,vento
AFLITOS,9110884.0,290992.0,2016,mar,0.9267170444556814
AFOGADOS,9106661.8,289910.65,2016,mar,0.2480833470060226
AGUA FRIA,9113343.0,290787.7,2016,mar,1.44481041196211
ALTO DO MANDU,9112712.9,287498.0,2016,mar,2.2941630702669618
ALTO JOSE BONIFACIO,9113775.0,289181.0,2016,mar,0.5026139230735092
ALTO JOSE DO PINHO,9112846.0,289698.0,2016,mar,3.2195633576659457
ALTO SANTA TEREZINHA,9113502.0,289671.0,2016,mar,0.3784997135016088
APIPUCOS,9113095.0,286390.0,2016,mar,4.20295057059146
AREIAS,9104782.0,287566.7,2016,mar,1.5616179108874757
ARRUDA,9112449.1,291553.7,2016,mar,4.83953488584559
BARRO,9104647.9,285112.8,2016,mar,2.215484246281433
BEBERIBE,9114684.0,290898.0,2016,mar,0.0673628028103192
BOA VIAGEM,9101556.0,290274.0,2016,mar,3.039760462112333
BOA VISTA,9108394.0,292017.0,2016,mar,4.705091658927541
BOMBA DO HEMETERIO,9112839.1,290413.0,2016,mar,1.0582485960640686
BONGI,9107910.4,288238.4,2016,mar,0.2844903188319341
BRASILIA TEIMOSA,9106073.0,292947.0,2016,mar,2.5314106564298022
BREJO DA GUABIRABA,9116097.0,287054.0,2016,mar,3.253376138635081
BREJO DE BEBERIBE,9115386.1,287902.9,2016,mar,4.707639216089286
CABANGA,9106392.0,290894.3,2016,mar,0.6572216856305856
CACOTE,9104023.9,287032.9,2016,mar,1.4525709415706654
CAJUEIRO,9113888.0,292172.0,2016,mar,0.2353038923222599
CAMPINA DO BARRETO,9113399.0,292574.0,2016,mar,1.2579060455630908
CAMPO GRANDE,9111728.0,292874.0,2016,mar,1.8850086093131528
CASA AMARELA,9112482.0,288643.0,2016,mar,1.1587235397331068
CASA FORTE,9111470.0,288586.0,2016,mar,2.3918529466420653
CAXANGA,9111832.0,285184.0,2016,mar,2.846685301834811
CIDADE UNIVERSITARIA,9109172.0,284920.0,2016,mar,0.8184672232009474
COELHOS,9107816.0,291882.0,2016,mar,0.7998323484667388
COHAB,9101433.0,284767.0,2016,mar,0.7050464375423677
COQUEIRAL,9105465.0,283108.0,2016,mar,1.3731036097274312
CORDEIRO,9109547.0,287467.0,2016,mar,0.3142514742659512
CORREGO DO JENIPAPO,9114488.0,286627.0,2016,mar,3.019081724509599
CURADO,9107651.0,283800.0,2016,mar,2.3222287967331834
DERBY,9108825.0,290723.0,2016,mar,0.9592550985453636
DOIS IRMAOS,9114707.0,284762.0,2016,mar,1.3820781267304498
DOIS UNIDOS,9115967.0,289395.0,2016,mar,2.695149778317429
ENCRUZILHADA,9111158.0,291613.0,2016,mar,1.5303186532710145
ENGENHO DO MEIO,9108934.0,285940.0,2016,mar,0.8008656085523596
ESPINHEIRO,9110478.0,291571.0,2016,mar,1.2552896986364663
ESTANCIA,9105647.0,287423.0,2016,mar,4.503131226951847
FUNDAO,9113575.6,291651.2,2016,mar,1.4176628480227011
GRACAS,9110179.5,290528.0,2016,mar,1.7921045085753275
GUABIRABA,9120358.0,284635.0,2016,mar,1.1854134160618548
HIPODROMO,9111621.2,292022.4,2016,mar,2.513571461359601
IBURA,9101668.1,287104.4,2016,mar,0.7871614683923864
ILHA DO LEITE,9107953.6,291260.0,2016,mar,1.991006243067465
ILHA DO RETIRO,9108164.9,290198.2,2016,mar,0.1285518581672655
ILHA JOANA BEZERRA,9107504.0,290753.0,2016,mar,1.0901375388279264
IMBIRIBEIRA,9103837.8,289440.3,2016,mar,3.894657940910046
IPSEP,9103015.3,288448.0,2016,mar,2.1910429751839327
IPUTINGA,9110794.2,286487.9,2016,mar,2.389227603023756
JAQUEIRA,9111235.3,290316.6,2016,mar,3.547237295993591
JARDIM SAO PAULO,9106260.1,285989.0,2016,mar,4.331886412448785
JIQUIA,9105794.0,288086.0,2016,mar,3.2063364647654886
JORDAO,9100464.0,286239.0,2016,mar,1.422080680632936
LINHA DO TIRO,9114147.0,290008.0,2016,mar,1.3570121784732925
MACAXEIRA,9113886.0,287156.0,2016,mar,3.9962802299336255
MADALENA,9109267.0,289691.0,2016,mar,2.1293069316924207
MANGABEIRA,9112518.0,290270.0,2016,mar,1.9312118739964976
MANGUEIRA,9106721.0,288365.0,2016,mar,2.616410079762435
MONTEIRO,9112291.0,287425.0,2016,mar,1.9147763133935105
MORRO DA CONCEICAO,9113078.0,288997.0,2016,mar,2.1416152168481863
MUSTARDINHA,9107205.0,288581.0,2016,mar,1.4835108844055704
NOVA DESCOBERTA,9115154.0,287233.0,2016,mar,0.7663047616701978
PAISSANDU,9108269.0,290754.0,2016,mar,0.5867513573232824
PARNAMIRIM,9111464.0,289457.0,2016,mar,0.6171439664974836
