bairro,latitude,longitude,ano,mes,vento
AFLITOS,9110884.0,290992.0,2013,jan,2.040388775662337
AFOGADOS,9106661.8,289910.65,2013,jan,2.6909340089019924
AGUA FRIA,9113343.0,290787.7,2013,jan,0.8070509613692209
ALTO DO MANDU,9112712.9,287498.0,2013,jan,1.1240293149283884
ALTO JOSE BONIFACIO,9113775.0,289181.0,2013,jan,0.8556660253293537
ALTO JOSE DO PINHO,9112846.0,289698.0,2013,jan,3.14625102402031
ALTO SANTA TEREZINHA,9113502.0,289671.0,2013,jan,0.8963080858315289
APIPUCOS,9113095.0,286390.0,2013,jan,0.1239922887068645
AREIAS,9104782.0,287566.7,2013,jan,0.1440617574980942
ARRUDA,9112449.1,291553.7,2013,jan,2.682233589683765
BARRO,9104647.9,285112.8,2013,jan,0.7487446826221702
BEBERIBE,9114684.0,290898.0,2013,jan,3.4856827351153123
BOA VIAGEM,9101556.0,290274.0,2013,jan,1.7126426759406137
BOA VISTA,9108394.0,292017.0,2013,jan,0.6597196836615389
BOMBA DO HEMETERIO,9112839.1,290413.0,2013,jan,0.7352225251500357
BONGI,9107910.4,288238.4,2013,jan,0.5925392797501299
BRASILIA TEIMOSA,9106073.0,292947.0,2013,jan,1.7144019556190326
BREJO DA GUABIRABA,9116097.0,287054.0,2013,jan,0.6153796032607421
BREJO DE BEBERIBE,9115386.1,287902.9,2013,jan,1.6086306928568586
CABANGA,9106392.0,290894.3,2013,jan,0.7452315180621376
CACOTE,9104023.9,287032.9,2013,jan,5.536012582669555
CAJUEIRO,9113888.0,292172.0,2013,jan,0.8694235317590308
CAMPINA DO BARRETO,9113399.0,292574.0,2013,jan,4.640592246514222
CAMPO GRANDE,9111728.0,292874.0,2013,jan,1.675639145008601
CASA AMARELA,9112482.0,288643.0,2013,jan,3.0985334055050915
CASA FORTE,9111470.0,288586.0,2013,jan,3.9363368003545336
CAXANGA,9111832.0,285184.0,2013,jan,0.1932565866918019
CIDADE UNIVERSITARIA,9109172.0,284920.0,2013,jan,0.5392031127292558
COELHOS,9107816.0,291882.0,2013,jan,1.5543944184334086
COHAB,9101433.0,284767.0,2013,jan,3.2776092456249546
COQUEIRAL,9105465.0,283108.0,2013,jan,3.863829136402435
CORDEIRO,9109547.0,287467.0,2013,jan,1.2810916594202737
CORREGO DO JENIPAPO,9114488.0,286627.0,2013,jan,1.2737022531947786
CURADO,9107651.0,283800.0,2013,jan,1.3865965330575958
DERBY,9108825.0,290723.0,2013,jan,2.285760746931381
DOIS IRMAOS,9114707.0,284762.0,2013,jan,3.669374968209741
DOIS UNIDOS,9115967.0,289395.0,2013,jan,5.199117495377463
ENCRUZILHADA,9111158.0,291613.0,2013,jan,2.760262868149631
ENGENHO DO MEIO,9108934.0,285940.0,2013,jan,2.8942066072991155
ESPINHEIRO,9110478.0,291571.0,2013,jan,2.525356547755496
ESTANCIA,9105647.0,287423.0,2013,jan,1.241351842976394
FUNDAO,9113575.6,291651.2,2013,jan,1.69904437904757
GRACAS,9110179.5,290528.0,2013,jan,1.0542301128269893
GUABIRABA,9120358.0,284635.0,2013,jan,0.0798975022334016
HIPODROMO,9111621.2,292022.4,2013,jan,0.5491716303638916
IBURA,9101668.1,287104.4,2013,jan,2.0276498099730387
