bairro,latitude,longitude,ano,mes,vento
AFLITOS,9110884.0,290992.0,2013,nov,0.450011583150862
AFOGADOS,9106661.8,289910.65,2013,nov,3.2831921681489584
AGUA FRIA,9113343.0,290787.7,2013,nov,4.294906905949558
ALTO DO MANDU,9112712.9,287498.0,2013,nov,2.9086312165081543
ALTO JOSE BONIFACIO,9113775.0,289181.0,2013,nov,2.439818380906295
ALTO JOSE DO PINHO,9112846.0,289698.0,2013,nov,2.988580617531201
ALTO SANTA TEREZINHA,9113502.0,289671.0,2013,nov,3.808061087697614
APIPUCOS,9113095.0,286390.0,2013,nov,0.1218418031939652
AREIAS,9104782.0,287566.7,2013,nov,1.3938303797278495
ARRUDA,9112449.1,291553.7,2013,nov,1.30873155770016
BARRO,9104647.9,285112.8,2013,nov,1.221364496983633
BEBERIBE,9114684.0,290898.0,2013,nov,3.244102127824645
BOA VIAGEM,9101556.0,290274.0,2013,nov,0.0456001019486744
BOA VISTA,9108394.0,292017.0,2013,nov,1.3488851874939918
BOMBA DO HEMETERIO,9112839.1,290413.0,2013,nov,2.554412688734086
BONGI,9107910.4,288238.4,2013,nov,2.078997255011631
BRASILIA TEIMOSA,9106073.0,292947.0,2013,nov,1.7198780415497328
BREJO DA GUABIRABA,9116097.0,287054.0,2013,nov,0.9208718469327016
BREJO DE BEBERIBE,9115386.1,287902.9,2013,nov,2.088235142824245
CABANGA,9106392.0,290894.3,2013,nov,2.8681158196559204
CACOTE,9104023.9,287032.9,2013,nov,2.418903283616974
CAJUEIRO,9113888.0,292172.0,2013,nov,2.032627559869205
CAMPINA DO BARRETO,9113399.0,292574.0,2013,nov,0.4595057752872329
CAMPO GRANDE,9111728.0,292874.0,2013,nov,1.1893362740590523
CASA AMARELA,9112482.0,288643.0,2013,nov,1.7660941903643836
CASA FORTE,9111470.0,288586.0,2013,nov,3.2247965301476365
CAXANGA,9111832.0,285184.0,2013,nov,2.267296888569653
CIDADE UNIVERSITARIA,9109172.0,284920.0,2013,nov,2.5911459432460324
COELHOS,9107816.0,291882.0,2013,nov,1.629460666256446
COHAB,9101433.0,284767.0,2013,nov,2.617887346315324
COQUEIRAL,9105465.0,283108.0,2013,nov,1.346564394519723
CORDEIRO,9109547.0,287467.0,2013,nov,0.2153671519932318
CORREGO DO JENIPAPO,9114488.0,286627.0,2013,nov,2.9889961669679077
CURADO,9107651.0,283800.0,2013,nov,2.612819560658293
DERBY,9108825.0,290723.0,2013,nov,0.8291960562340914
DOIS IRMAOS,9114707.0,284762.0,2013,nov,2.9429748458983958
DOIS UNIDOS,9115967.0,289395.0,2013,nov,2.4468643765898266
