bairro,latitude,longitude,ano,mes,vento
AFLITOS,9110884.0,290992.0,2016,set,1.3728064279110614
AFOGADOS,9106661.8,289910.65,2016,set,2.685075703598669
AGUA FRIA,9113343.0,290787.7,2016,set,1.354634842582875
ALTO DO MANDU,9112712.9,287498.0,2016,set,4.105391889922851
ALTO JOSE BONIFACIO,9113775.0,289181.0,2016,set,1.7592319405298629
ALTO JOSE DO PINHO,9112846.0,289698.0,2016,set,1.4477197227538836
ALTO SANTA TEREZINHA,9113502.0,289671.0,2016,set,3.0054294747890853
APIPUCOS,9113095.0,286390.0,2016,set,2.187122596086822
AREIAS,9104782.0,287566.7,2016,set,2.589554099169615
ARRUDA,9112449.1,291553.7,2016,set,1.2265337892681458
BARRO,9104647.9,285112.8,2016,set,1.4944100544322558
BEBERIBE,9114684.0,290898.0,2016,set,2.8738546553494086
BOA VIAGEM,9101556.0,290274.0,2016,set,4.056550391092788
BOA VISTA,9108394.0,292017.0,2016,set,1.99404603251975
BOMBA DO HEMETERIO,9112839.1,290413.0,2016,set,0.0977477848364405
BONGI,9107910.4,288238.4,2016,set,3.30928815502583
BRASILIA TEIMOSA,9106073.0,292947.0,2016,set,2.18425143607319
BREJO DA GUABIRABA,9116097.0,287054.0,2016,set,0.6502966076032126
BREJO DE BEBERIBE,9115386.1,287902.9,2016,set,2.214869649132491
CABANGA,9106392.0,290894.3,2016,set,0.1778959322269762
CACOTE,9104023.9,287032.9,2016,set,4.3333995917954
CAJUEIRO,9113888.0,292172.0,2016,set,3.162786727334267
CAMPINA DO BARRETO,9113399.0,292574.0,2016,set,0.5151531556734159
CAMPO GRANDE,9111728.0,292874.0,2016,set,2.6501733501732434
CASA AMARELA,9112482.0,288643.0,2016,set,0.8026093267804768
CASA FORTE,9111470.0,288586.0,2016,set,2.3292872950259977
CAXANGA,9111832.0,285184.0,2016,set,1.9842891091973736
CIDADE UNIVERSITARIA,9109172.0,284920.0,2016,set,0.1660697322030133
COELHOS,9107816.0,291882.0,2016,set,0.5056113372217199
COHAB,9101433.0,284767.0,2016,set,4.02037962532304
COQUEIRAL,9105465.0,283108.0,2016,set,0.0492075806392546
CORDEIRO,9109547.0,287467.0,2016,set,0.6896277451983674
CORREGO DO JENIPAPO,9114488.0,286627.0,2016,set,0.0277688565680718
CURADO,9107651.0,283800.0,2016,set,2.4508011819690587
DERBY,9108825.0,290723.0,2016,set,2.2744979931284486
DOIS IRMAOS,9114707.0,284762.0,2016,set,1.6763245533357036
DOIS UNIDOS,9115967.0,289395.0,2016,set,2.133551657244324
ENCRUZILHADA,9111158.0,291613.0,2016,set,4.077651853076943
ENGENHO DO MEIO,9108934.0,285940.0,2016,set,3.9328876764511858
ESPINHEIRO,9110478.0,291571.0,2016,set,5.445165576995512
ESTANCIA,9105647.0,287423.0,2016,set,2.174225694155296
FUNDAO,9113575.6,291651.2,2016,set,2.109603541774841
GRACAS,9110179.5,290528.0,2016,set,1.2601069937499023
GUABIRABA,9120358.0,284635.0,2016,set,2.5957157010539444
HIPODROMO,9111621.2,292022.4,2016,set,2.713694425409152
IBURA,9101668.1,287104.4,2016,set,2.341948723728008
ILHA DO LEITE,9107953.6,291260.0,2016,set,1.0640806257571125
ILHA DO RETIRO,9108164.9,290198.2,2016,set,4.6414756250513065
ILHA JOANA BEZERRA,9107504.0,290753.0,2016,set,1.3720954176095197
IMBIRIBEIRA,9103837.8,289440.3,2016,set,0.8176647318612185
IPSEP,9103015.3,288448.0,2016,set,0.4162585739382232
IPUTINGA,9110794.2,286487.9,2016,set,3.697781671945698
JAQUEIRA,9111235.3,290316.6,2016,set,0.919817041601807
JARDIM SAO PAULO,9106260.1,285989.0,2016,set,2.9081662560539496
JIQUIA,9105794.0,288086.0,2016,set,1.9292317289314544
JORDAO,9100464.0,286239.0,2016,set,2.9006287582004164
LINHA DO TIRO,9114147.0,290008.0,2016,set,3.7855710359746553
MACAXEIRA,9113886.0,287156.0,2016,set,0.4659373059433775
MADALENA,9109267.0,289691.0,2016,set,2.7995435562220665
MANGABEIRA,9112518.0,290270.0,2016,set,1.7478487677820356
MANGUEIRA,9106721.0,288365.0,2016,set,2.464930244559868
MONTEIRO,9112291.0,287425.0,2016,set,0.2727003136246484
MORRO DA CONCEICAO,9113078.0,288997.0,2016,set,0.9101983723688104
MUSTARDINHA,9107205.0,288581.0,2016,set,1.7952712490242275
NOVA DESCOBERTA,9115154.0,287233.0,2016,set,3.0442293041848973
PAISSANDU,9108269.0,290754.0,2016,set,2.276073793979632
PARNAMIRIM,9111464.0,289457.0,2016,set,1.823599662582896
PASSARINHO,9117218.0,288021.0,2016,set,4.4443593131253945
PAU FERRO,9118853.0,282335.0,2016,set,3.5801467198606
PEIXINHOS,9113220.0,293141.0,2016,set,3.3844990613584245
PINA,9104566.0,291222.0,2016,set,2.8043256968461243
POCO,9111320.0,287974.0,2016,set,0.1736108062393984
PONTO DE PARADA,9111936.0,291363.0,2016,set,0.238649406868727
PORTO DA MADEIRA,9114446.0,291875.0,2016,set,4.434297353492742
PRADO,9108586.0,289083.0,2016,set,2.450705740664559
RECIFE,9108963.5,293824.9,2016,set,1.013941222638756
ROSARINHO,9111653.0,290839.0,2016,set,0.0381370771526441
SAN MARTIN,9107439.0,287447.0,2016,set,1.1715484923132604
SANCHO,9105834.0,283826.0,2016,set,0.5973295531031748
SANTANA,9110875.0,288843.0,2016,set,1.7517375614235775
SANTO AMARO,9109594.0,292657.0,2016,set,2.4616644221485235
SANTO ANTONIO,9108074.0,293047.0,2016,set,1.30145166496137
SAO JOSE,9107439.0,292735.0,2016,set,4.386882418145451
SITIO DOS PINTOS,9113960.0,284132.0,2016,set,2.548419264228172
SOLEDADE,9109031.0,291653.0,2016,set,2.7428815199811973
TAMARINEIRA,9111623.0,290489.0,2016,set,2.283577749935024
TEJIPIO,9105574.0,284554.0,2016,set,2.693247602541053
