bairro,latitude,longitude,ano,mes,chuva
Santo AntÃ´nio,9108146.872,292305.893,2013,abr,37.11260622188826
SÃ£o JosÃ©,9106966.415,291028.633,2013,abr,37.79819581582037
Recife Antigo,9109085.741,292919.623,2013,abr,24.99515287722668
Cabanga,9106406.495,290656.46,2013,abr,128.2826958179722
Coelhos,9107760.014,291308.772,2013,abr,84.09824237070276
Ilha do Leite,9107978.96,291077.482,2013,abr,141.37186615623068
PaissandÃº,9108194.842,290416.08,2013,abr,29.12703070427211
Ilha Joana Bezerra,9107310.114,290425.748,2013,abr,111.19035716800488
Boa Vista,9109077.387,290876.732,2013,abr,18.16863968559228
Soledade,9108960.796,291276.183,2013,abr,89.69475319503017
Santo Amaro,9109946.116,291880.247,2013,abr,85.79068340916041
Dois Unidos,9115506.345,288388.799,2013,abr,97.1415238367771
Beberibe,9114586.482,290525.705,2013,abr,20.22563793634386
Linha do Tiro,9114233.62,289504.946,2013,abr,104.75071352566783
Ãgua Fria (Plana),9113172.84,291071.501,2013,abr,171.71996908058838
Ãgua Fria (Alta),9113472.429,290156.813,2013,abr,68.64198173202458
Porto da Madeira,9114404.262,291240.722,2013,abr,52.1812662219624
Cajueiro,9113978.874,291787.251,2013,abr,101.37357377624576
Campina do Barreto,9113360.156,292045.138,2013,abr,41.23221990258234
Peixinhos,9113079.242,292663.795,2013,abr,58.564166705319806
Arruda,9112577.585,290778.65,2013,abr,159.10086638010836
Encruzilhada,9111342.984,291147.432,2013,abr,35.63022304078982
Ponto de Parada,9111944.964,291203.258,2013,abr,45.47467834900086
FundÃ£o,9113692.115,291141.885,2013,abr,116.72698157598036
HipÃ³dromo,9111681.871,291492.858,2013,abr,68.63953013666082
Rosarinho,9111613.61,290381.157,2013,abr,45.62296693721743
TorreÃ£o,9110784.651,292131.119,2013,abr,102.81888029493652
Campo Grande,9111851.014,291827.584,2013,abr,113.23461692838508
Alto Santa Terezinha,9113598.2,289883.467,2013,abr,47.40399669191822
Bomba do HemetÃ©rio,9112880.579,289851.021,2013,abr,65.96505390531364
Derby,9108891.462,290104.934,2013,abr,61.86441500046132
GraÃ§as,9110255.798,289708.079,2013,abr,106.15667252520944
Espinheiro,9110331.328,291132.224,2013,abr,156.7158180329186
Aflitos,9110761.843,290578.478,2013,abr,95.07123945794878
Jaqueira,9111017.043,289466.588,2013,abr,62.81959143957693
Tamarineira,9111760.594,289914.716,2013,abr,33.97639178760193
Santana,9110759.51,288467.83,2013,abr,52.9566422494186
Parnamirim,9111469.017,288892.196,2013,abr,26.416725591135275
Casa Forte,9111477.721,288043.907,2013,abr,55.65633066804831
PoÃ§o da Panela,9111288.519,287134.705,2013,abr,78.31501440038242
Casa Amarela,9112326.465,287770.32,2013,abr,79.9129344771254
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2013,abr,6.064735361746401
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2013,abr,92.24686196800552
Alto JosÃ© do Pinho,9112751.629,289283.565,2013,abr,49.06187956940472
Vasco da Gama,9113922.665,287550.762,2013,abr,102.44858239691447
Monteiro,9112251.966,286935.676,2013,abr,75.134583161059
Apipucos,9113185.175,285711.387,2013,abr,121.19870879763076
Alto do MandÃº,9112720.118,286967.594,2013,abr,109.30201521701224
SÃ­tio dos Pintos,9113652.981,283248.377,2013,abr,82.61525942085679
CÃ³rrego do Jenipapo,9114931.748,285628.687,2013,abr,128.3436353887119
Dois IrmÃ£os,9114316.891,283046.585,2013,abr,18.292717211390062
Macaxeira,9113929.124,286266.928,2013,abr,69.4801058240366
Nova Descoberta,9114374.078,285455.447,2013,abr,58.561585395949805
Brejo de Beberibe,9115426.776,287368.207,2013,abr,117.76707699495032
Guabiraba,9118925.116,280472.66,2013,abr,35.96700112971086
Brejo de Guabiraba,9116011.252,286470.068,2013,abr,23.78225270133167
Passarinho,9117604.478,286529.856,2013,abr,40.26576134661676
Mangabeira,9112583.36,290041.311,2013,abr,115.00654042182532
VÃ¡rzea Baixo,9112566.575,286421.591,2013,abr,90.22134782170974
VÃ¡rzea UR7,9111147.548,281788.536,2013,abr,19.001324291620683
CaxangÃ¡,9112046.853,283641.068,2013,abr,104.22884080903346
Iputinga,9111218.811,284743.585,2013,abr,153.72854092882994
Engenho do Meio,9108934.504,284977.522,2013,abr,12.108356661410127
TorrÃµes,9108474.182,285633.242,2013,abr,96.59627009313462
Cordeiro,9109569.979,286498.08,2013,abr,89.55219105057623
Zumbi,9109369.482,288172.472,2013,abr,109.24596148150746
Torre,9110457.305,288948.15,2013,abr,123.36115029067967
Prado,9108489.273,288218.34,2013,abr,121.92127849218096
Madalena,9109260.52,288708.035,2013,abr,34.13858494995189
Ilha do Retiro,9108073.724,289620.413,2013,abr,74.08847897930849
VÃ¡rzea Brasilit,9110245.917,284310.527,2013,abr,79.0119533668309
Cidade UniversitÃ¡ria,9109225.991,284041.371,2013,abr,99.70362777136262
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2013,abr,44.73843866953505
Afogados (Marrom GlacÃª),9106094.768,289066.699,2013,abr,89.85628366611425
Afogados,9106757.379,287276.756,2013,abr,49.35490937997678
Bongi,9108001.134,287967.704,2013,abr,130.80110286625177
San Martin,9107597.587,286249.826,2013,abr,109.38237045917292
Mustardinha,9107309.05,288019.099,2013,abr,67.62366681068629
Mangueira,9106752.433,287877.617,2013,abr,85.01217727163134
EstÃ¢ncia,9105779.586,286336.174,2013,abr,103.62401383076484
JiquiÃ¡,9105785.996,286821.099,2013,abr,224.5177841849376
CaÃ§ote,9104102.268,286696.977,2013,abr,32.07098545391329
Areias,9104721.352,286348.888,2013,abr,51.03266279796031
TejipiÃ³,9105212.347,283469.404,2013,abr,45.49289140415221
Sancho,9105806.562,283345.513,2013,abr,96.35780633572818
Barro,9104276.244,283228.614,2013,abr,175.70998587422685
Coqueiral,9105579.969,282521.737,2013,abr,163.4054399561594
Curado,9107299.958,282026.143,2013,abr,91.9874802462435
TotÃ³,9106028.466,282845.232,2013,abr,11.077729994259798
Jardim SÃ£o Paulo,9106091.212,284789.366,2013,abr,77.98295113179464
BrasÃ­lia Teimosa,9105867.58,291910.581,2013,abr,86.76834818493461
Pina,9104526.606,289352.098,2013,abr,130.46727434660727
Imbiribeira,9103325.289,287372.583,2013,abr,205.8260185718094
Boa Viagem,9101159.587,286709.856,2013,abr,83.83507546220743
Ipsep,9103041.538,287270.038,2013,abr,61.11492553176846
Ibura,9102102.397,285143.988,2013,abr,128.9520698258344
Ibura Vila do Sesi,9103077.514,286055.398,2013,abr,86.39627483485681
Ibura Parque,9103162.275,285659.265,2013,abr,86.31076707088175
JordÃ£o,9100101.151,286086.751,2013,abr,102.38129906729397
Cohab UR5,9100700.205,285154.725,2013,abr,92.5036801701438
Cohab UR4,9100700.825,285154.722,2013,abr,84.36320607991104
Cohab UR10,9100697.345,284430.969,2013,abr,48.69122234881499
Cohab TrÃªs Carneiros,9101176.409,284411.063,2013,abr,104.77310697692124
Cohab UR2,9101678.284,284448.852,2013,abr,113.12357909379782
Cohab UR3,9102297.398,284375.691,2013,abr,127.74209724358002
Cohab Monte Verde,9102393.38,283809.922,2013,abr,63.30851403916349
UR1,9101905.325,285328.723,2013,abr,77.35395509885713
