bairro,latitude,longitude,ano,mes,chuva
Santo AntÃ´nio,9108146.872,292305.893,2016,ago,26.03263006208429
SÃ£o JosÃ©,9106966.415,291028.633,2016,ago,43.30199209976644
Recife Antigo,9109085.741,292919.623,2016,ago,22.69585245358266
Cabanga,9106406.495,290656.46,2016,ago,3.840004270733367
Coelhos,9107760.014,291308.772,2016,ago,7.929330487938753
Ilha do Leite,9107978.96,291077.482,2016,ago,14.98375693362976
PaissandÃº,9108194.842,290416.08,2016,ago,11.56605123056435
Ilha Joana Bezerra,9107310.114,290425.748,2016,ago,21.91968259013131
Boa Vista,9109077.387,290876.732,2016,ago,25.56197895909568
Soledade,9108960.796,291276.183,2016,ago,12.070179001154106
Santo Amaro,9109946.116,291880.247,2016,ago,3.046761678912894
Dois Unidos,9115506.345,288388.799,2016,ago,6.597127730413346
Beberibe,9114586.482,290525.705,2016,ago,32.93418837528206
Linha do Tiro,9114233.62,289504.946,2016,ago,29.654457782408475
Ãgua Fria (Plana),9113172.84,291071.501,2016,ago,6.824830781851755
Ãgua Fria (Alta),9113472.429,290156.813,2016,ago,43.27965582236419
Porto da Madeira,9114404.262,291240.722,2016,ago,28.70134675324817
Cajueiro,9113978.874,291787.251,2016,ago,6.332544047203632
Campina do Barreto,9113360.156,292045.138,2016,ago,29.554568295419717
Peixinhos,9113079.242,292663.795,2016,ago,33.17526183300019
Arruda,9112577.585,290778.65,2016,ago,8.684443910564282
Encruzilhada,9111342.984,291147.432,2016,ago,24.02950710474657
Ponto de Parada,9111944.964,291203.258,2016,ago,26.02906058756585
FundÃ£o,9113692.115,291141.885,2016,ago,13.062613368088003
HipÃ³dromo,9111681.871,291492.858,2016,ago,32.8213884835456
Rosarinho,9111613.61,290381.157,2016,ago,37.866797574550446
TorreÃ£o,9110784.651,292131.119,2016,ago,13.143780093342002
Campo Grande,9111851.014,291827.584,2016,ago,14.41109444483974
Alto Santa Terezinha,9113598.2,289883.467,2016,ago,15.811565204797704
Bomba do HemetÃ©rio,9112880.579,289851.021,2016,ago,25.29365207273637
Derby,9108891.462,290104.934,2016,ago,18.443623183351704
GraÃ§as,9110255.798,289708.079,2016,ago,15.36230148018755
Espinheiro,9110331.328,291132.224,2016,ago,24.09087079048367
Aflitos,9110761.843,290578.478,2016,ago,21.9654409755074
Jaqueira,9111017.043,289466.588,2016,ago,7.81754787933235
Tamarineira,9111760.594,289914.716,2016,ago,21.5688822934572
Santana,9110759.51,288467.83,2016,ago,14.028694964591695
Parnamirim,9111469.017,288892.196,2016,ago,21.241070601906127
Casa Forte,9111477.721,288043.907,2016,ago,7.219261223553373
PoÃ§o da Panela,9111288.519,287134.705,2016,ago,10.66705150154904
Casa Amarela,9112326.465,287770.32,2016,ago,16.819728774655406
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2016,ago,9.878322949992109
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2016,ago,4.485114570049673
Alto JosÃ© do Pinho,9112751.629,289283.565,2016,ago,12.514715101517002
Vasco da Gama,9113922.665,287550.762,2016,ago,18.701462368675784
Monteiro,9112251.966,286935.676,2016,ago,29.829036707708227
Apipucos,9113185.175,285711.387,2016,ago,39.5316614521864
Alto do MandÃº,9112720.118,286967.594,2016,ago,15.22006467473374
SÃ­tio dos Pintos,9113652.981,283248.377,2016,ago,21.96492400955142
CÃ³rrego do Jenipapo,9114931.748,285628.687,2016,ago,17.556781120286107
Dois IrmÃ£os,9114316.891,283046.585,2016,ago,13.038053979072476
Macaxeira,9113929.124,286266.928,2016,ago,7.55502923927191
Nova Descoberta,9114374.078,285455.447,2016,ago,16.94455932981915
Brejo de Beberibe,9115426.776,287368.207,2016,ago,10.487417475385543
Guabiraba,9118925.116,280472.66,2016,ago,16.104087883305816
Brejo de Guabiraba,9116011.252,286470.068,2016,ago,16.79095440241708
Passarinho,9117604.478,286529.856,2016,ago,22.516135702824783
Mangabeira,9112583.36,290041.311,2016,ago,34.23369136948022
VÃ¡rzea Baixo,9112566.575,286421.591,2016,ago,3.703233035435794
VÃ¡rzea UR7,9111147.548,281788.536,2016,ago,11.407959065866532
CaxangÃ¡,9112046.853,283641.068,2016,ago,29.518877857196934
Iputinga,9111218.811,284743.585,2016,ago,37.33339635772974
Engenho do Meio,9108934.504,284977.522,2016,ago,27.02509227793554
TorrÃµes,9108474.182,285633.242,2016,ago,23.248698190216263
Cordeiro,9109569.979,286498.08,2016,ago,17.980484192500025
Zumbi,9109369.482,288172.472,2016,ago,33.75914094177901
Torre,9110457.305,288948.15,2016,ago,28.65806839004074
Prado,9108489.273,288218.34,2016,ago,6.23194302566268
Madalena,9109260.52,288708.035,2016,ago,39.18556773518348
Ilha do Retiro,9108073.724,289620.413,2016,ago,6.946745230751766
VÃ¡rzea Brasilit,9110245.917,284310.527,2016,ago,11.434282054193549
Cidade UniversitÃ¡ria,9109225.991,284041.371,2016,ago,16.60903637807268
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2016,ago,32.154057216568354
Afogados (Marrom GlacÃª),9106094.768,289066.699,2016,ago,3.029764399703748
Afogados,9106757.379,287276.756,2016,ago,16.371680588841603
Bongi,9108001.134,287967.704,2016,ago,27.21081677364424
San Martin,9107597.587,286249.826,2016,ago,35.65525858909432
Mustardinha,9107309.05,288019.099,2016,ago,2.871929350987852
Mangueira,9106752.433,287877.617,2016,ago,30.449153294334536
EstÃ¢ncia,9105779.586,286336.174,2016,ago,36.8984824732711
JiquiÃ¡,9105785.996,286821.099,2016,ago,14.38855276133341
CaÃ§ote,9104102.268,286696.977,2016,ago,25.32544403084009
Areias,9104721.352,286348.888,2016,ago,14.94430954291513
TejipiÃ³,9105212.347,283469.404,2016,ago,24.145732743230948
Sancho,9105806.562,283345.513,2016,ago,33.91807268623423
Barro,9104276.244,283228.614,2016,ago,22.40488964937913
Coqueiral,9105579.969,282521.737,2016,ago,11.589813601755695
Curado,9107299.958,282026.143,2016,ago,18.69050411112553
TotÃ³,9106028.466,282845.232,2016,ago,17.596179931751042
Jardim SÃ£o Paulo,9106091.212,284789.366,2016,ago,22.5346243068808
BrasÃ­lia Teimosa,9105867.58,291910.581,2016,ago,9.92118338661893
Pina,9104526.606,289352.098,2016,ago,16.693215126202478
Imbiribeira,9103325.289,287372.583,2016,ago,27.088668161487004
Boa Viagem,9101159.587,286709.856,2016,ago,1.3333335298626745
Ipsep,9103041.538,287270.038,2016,ago,11.343622804267804
Ibura,9102102.397,285143.988,2016,ago,7.072040951643492
Ibura Vila do Sesi,9103077.514,286055.398,2016,ago,16.249623830356246
Ibura Parque,9103162.275,285659.265,2016,ago,42.79927900211352
JordÃ£o,9100101.151,286086.751,2016,ago,28.62095469085696
Cohab UR5,9100700.205,285154.725,2016,ago,27.60613310586088
Cohab UR4,9100700.825,285154.722,2016,ago,33.29250334054173
Cohab UR10,9100697.345,284430.969,2016,ago,30.015255535206585
Cohab TrÃªs Carneiros,9101176.409,284411.063,2016,ago,33.146399266065444
Cohab UR2,9101678.284,284448.852,2016,ago,28.02901892202468
Cohab UR3,9102297.398,284375.691,2016,ago,13.937521475786454
Cohab Monte Verde,9102393.38,283809.922,2016,ago,18.682537744507787
UR1,9101905.325,285328.723,2016,ago,43.711777219548416
