bairro,latitude,longitude,ano,mes,chuva
Santo AntÃ´nio,9108146.872,292305.893,2009,dez,37.27748596013739
SÃ£o JosÃ©,9106966.415,291028.633,2009,dez,38.63655777980608
Recife Antigo,9109085.741,292919.623,2009,dez,33.242328654933274
Cabanga,9106406.495,290656.46,2009,dez,45.79053158395419
Coelhos,9107760.014,291308.772,2009,dez,34.98242356681461
Ilha do Leite,9107978.96,291077.482,2009,dez,38.49134208312944
PaissandÃº,9108194.842,290416.08,2009,dez,33.074145579369905
Ilha Joana Bezerra,9107310.114,290425.748,2009,dez,44.51149386050879
Boa Vista,9109077.387,290876.732,2009,dez,35.67363425328872
Soledade,9108960.796,291276.183,2009,dez,33.519113965352325
Santo Amaro,9109946.116,291880.247,2009,dez,24.695696743950588
Dois Unidos,9115506.345,288388.799,2009,dez,35.49876721929324
Beberibe,9114586.482,290525.705,2009,dez,33.61949544104695
Linha do Tiro,9114233.62,289504.946,2009,dez,30.668626043082817
Ãgua Fria (Plana),9113172.84,291071.501,2009,dez,35.15723650593348
Ãgua Fria (Alta),9113472.429,290156.813,2009,dez,33.57204371373632
Porto da Madeira,9114404.262,291240.722,2009,dez,30.66725151337554
Cajueiro,9113978.874,291787.251,2009,dez,31.18046909777497
Campina do Barreto,9113360.156,292045.138,2009,dez,37.56087395999848
Peixinhos,9113079.242,292663.795,2009,dez,30.89561774154863
Arruda,9112577.585,290778.65,2009,dez,27.615623845888813
Encruzilhada,9111342.984,291147.432,2009,dez,35.15698721436813
Ponto de Parada,9111944.964,291203.258,2009,dez,33.26276093886457
FundÃ£o,9113692.115,291141.885,2009,dez,36.79698226736521
HipÃ³dromo,9111681.871,291492.858,2009,dez,33.97825706929333
Rosarinho,9111613.61,290381.157,2009,dez,40.41754182524042
TorreÃ£o,9110784.651,292131.119,2009,dez,34.8947729018051
Campo Grande,9111851.014,291827.584,2009,dez,39.95936415244335
Alto Santa Terezinha,9113598.2,289883.467,2009,dez,40.22045655964865
Bomba do HemetÃ©rio,9112880.579,289851.021,2009,dez,34.90928307819533
Derby,9108891.462,290104.934,2009,dez,37.257618430169465
GraÃ§as,9110255.798,289708.079,2009,dez,37.256970711330034
Espinheiro,9110331.328,291132.224,2009,dez,36.09738791812867
Aflitos,9110761.843,290578.478,2009,dez,37.2450761901756
Jaqueira,9111017.043,289466.588,2009,dez,32.74221585604713
Tamarineira,9111760.594,289914.716,2009,dez,35.70560115194809
Santana,9110759.51,288467.83,2009,dez,34.31728213263724
