bairro,latitude,longitude,ano,mes,chuva
Santo AntÃ´nio,9108146.872,292305.893,2013,fev,29.10169853133754
SÃ£o JosÃ©,9106966.415,291028.633,2013,fev,5.059288384864482
Recife Antigo,9109085.741,292919.623,2013,fev,18.72373605620076
Cabanga,9106406.495,290656.46,2013,fev,27.247405054768493
Coelhos,9107760.014,291308.772,2013,fev,10.159461905038654
Ilha do Leite,9107978.96,291077.482,2013,fev,4.502881220138852
PaissandÃº,9108194.842,290416.08,2013,fev,17.771438595370004
Ilha Joana Bezerra,9107310.114,290425.748,2013,fev,15.609690899665033
Boa Vista,9109077.387,290876.732,2013,fev,11.937567795081003
Soledade,9108960.796,291276.183,2013,fev,3.315899493112479
Santo Amaro,9109946.116,291880.247,2013,fev,2.1827496070034016
Dois Unidos,9115506.345,288388.799,2013,fev,8.857070064229811
Beberibe,9114586.482,290525.705,2013,fev,26.93879849964442
Linha do Tiro,9114233.62,289504.946,2013,fev,12.917993974831568
Ãgua Fria (Plana),9113172.84,291071.501,2013,fev,14.139094433087465
Ãgua Fria (Alta),9113472.429,290156.813,2013,fev,2.3760660182518407
Porto da Madeira,9114404.262,291240.722,2013,fev,13.688107928817448
Cajueiro,9113978.874,291787.251,2013,fev,2.439663307716117
Campina do Barreto,9113360.156,292045.138,2013,fev,17.09131143714999
Peixinhos,9113079.242,292663.795,2013,fev,20.84704772734181
Arruda,9112577.585,290778.65,2013,fev,13.386555445087886
Encruzilhada,9111342.984,291147.432,2013,fev,14.257274038177515
Ponto de Parada,9111944.964,291203.258,2013,fev,10.773258437757182
FundÃ£o,9113692.115,291141.885,2013,fev,10.654564336472877
HipÃ³dromo,9111681.871,291492.858,2013,fev,11.412807192792553
Rosarinho,9111613.61,290381.157,2013,fev,12.617150387526523
TorreÃ£o,9110784.651,292131.119,2013,fev,7.610371056715117
Campo Grande,9111851.014,291827.584,2013,fev,11.557888445295006
Alto Santa Terezinha,9113598.2,289883.467,2013,fev,13.650730435319886
Bomba do HemetÃ©rio,9112880.579,289851.021,2013,fev,16.719645815713573
Derby,9108891.462,290104.934,2013,fev,0.9006954506522682
GraÃ§as,9110255.798,289708.079,2013,fev,19.64882823766506
Espinheiro,9110331.328,291132.224,2013,fev,8.99260781818004
Aflitos,9110761.843,290578.478,2013,fev,22.13274911759773
Jaqueira,9111017.043,289466.588,2013,fev,2.185676163579151
Tamarineira,9111760.594,289914.716,2013,fev,20.52642116180599
Santana,9110759.51,288467.83,2013,fev,21.406007426564912
Parnamirim,9111469.017,288892.196,2013,fev,22.240417579892963
Casa Forte,9111477.721,288043.907,2013,fev,20.489127696179445
PoÃ§o da Panela,9111288.519,287134.705,2013,fev,18.228862156904125
Casa Amarela,9112326.465,287770.32,2013,fev,17.342664859477686
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2013,fev,5.965652902284374
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2013,fev,1.8796938322307888
Alto JosÃ© do Pinho,9112751.629,289283.565,2013,fev,11.037754508142996
Vasco da Gama,9113922.665,287550.762,2013,fev,2.8201154454826174
Monteiro,9112251.966,286935.676,2013,fev,24.55451201112784
Apipucos,9113185.175,285711.387,2013,fev,23.892801041184665
Alto do MandÃº,9112720.118,286967.594,2013,fev,11.540055334000709
SÃ­tio dos Pintos,9113652.981,283248.377,2013,fev,27.602293485276768
CÃ³rrego do Jenipapo,9114931.748,285628.687,2013,fev,8.796055751920036
Dois IrmÃ£os,9114316.891,283046.585,2013,fev,20.127140388486453
Macaxeira,9113929.124,286266.928,2013,fev,14.613788712471148
Nova Descoberta,9114374.078,285455.447,2013,fev,20.99313932522032
Brejo de Beberibe,9115426.776,287368.207,2013,fev,6.523367591086752
Guabiraba,9118925.116,280472.66,2013,fev,29.51468636066387
Brejo de Guabiraba,9116011.252,286470.068,2013,fev,28.112150761319224
Passarinho,9117604.478,286529.856,2013,fev,7.003878432194041
Mangabeira,9112583.36,290041.311,2013,fev,8.960273251649859
VÃ¡rzea Baixo,9112566.575,286421.591,2013,fev,1.6080218546039156
VÃ¡rzea UR7,9111147.548,281788.536,2013,fev,18.179903423791643
CaxangÃ¡,9112046.853,283641.068,2013,fev,19.08894812323659
Iputinga,9111218.811,284743.585,2013,fev,22.65425032579476
Engenho do Meio,9108934.504,284977.522,2013,fev,28.80065227031521
TorrÃµes,9108474.182,285633.242,2013,fev,6.714831267281001
Cordeiro,9109569.979,286498.08,2013,fev,11.317471798366007
Zumbi,9109369.482,288172.472,2013,fev,12.127208749154631
Torre,9110457.305,288948.15,2013,fev,20.971581658254674
Prado,9108489.273,288218.34,2013,fev,12.933127404762082
Madalena,9109260.52,288708.035,2013,fev,21.558992674609737
Ilha do Retiro,9108073.724,289620.413,2013,fev,14.224451460999504
VÃ¡rzea Brasilit,9110245.917,284310.527,2013,fev,7.0124289178704
Cidade UniversitÃ¡ria,9109225.991,284041.371,2013,fev,13.638525095971422
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2013,fev,25.111443715750035
Afogados (Marrom GlacÃª),9106094.768,289066.699,2013,fev,11.438511682887896
Afogados,9106757.379,287276.756,2013,fev,14.425761634597702
Bongi,9108001.134,287967.704,2013,fev,4.217398545630706
San Martin,9107597.587,286249.826,2013,fev,15.662471641275731
Mustardinha,9107309.05,288019.099,2013,fev,11.18354135518574
Mangueira,9106752.433,287877.617,2013,fev,14.25050955516559
EstÃ¢ncia,9105779.586,286336.174,2013,fev,18.61418694074977
JiquiÃ¡,9105785.996,286821.099,2013,fev,3.0032200090499312
CaÃ§ote,9104102.268,286696.977,2013,fev,9.28849716802753
Areias,9104721.352,286348.888,2013,fev,8.496054360137013
TejipiÃ³,9105212.347,283469.404,2013,fev,22.19231670440777
Sancho,9105806.562,283345.513,2013,fev,15.985631897037088
Barro,9104276.244,283228.614,2013,fev,10.773985524516846
Coqueiral,9105579.969,282521.737,2013,fev,12.888309782114884
Curado,9107299.958,282026.143,2013,fev,11.11368974780074
TotÃ³,9106028.466,282845.232,2013,fev,28.89111737590545
Jardim SÃ£o Paulo,9106091.212,284789.366,2013,fev,9.367975298173231
BrasÃ­lia Teimosa,9105867.58,291910.581,2013,fev,25.467785362600917
Pina,9104526.606,289352.098,2013,fev,27.601207682946207
Imbiribeira,9103325.289,287372.583,2013,fev,17.792820072340326
Boa Viagem,9101159.587,286709.856,2013,fev,22.26808391930328
Ipsep,9103041.538,287270.038,2013,fev,21.41934413159251
Ibura,9102102.397,285143.988,2013,fev,26.42851469538829
Ibura Vila do Sesi,9103077.514,286055.398,2013,fev,14.406370566201804
Ibura Parque,9103162.275,285659.265,2013,fev,16.657876161368012
JordÃ£o,9100101.151,286086.751,2013,fev,18.965726385997797
Cohab UR5,9100700.205,285154.725,2013,fev,17.38893207101192
Cohab UR4,9100700.825,285154.722,2013,fev,20.86711490013805
Cohab UR10,9100697.345,284430.969,2013,fev,18.407225979055635
Cohab TrÃªs Carneiros,9101176.409,284411.063,2013,fev,14.083459268293568
Cohab UR2,9101678.284,284448.852,2013,fev,8.451949426465493
Cohab UR3,9102297.398,284375.691,2013,fev,16.448966955534523
Cohab Monte Verde,9102393.38,283809.922,2013,fev,2.636953998643836
UR1,9101905.325,285328.723,2013,fev,5.394690889002696
