bairro,latitude,longitude,ano,mes,chuva
Santo AntÃ´nio,9108146.872,292305.893,2011,jul,509.64230807212215
SÃ£o JosÃ©,9106966.415,291028.633,2011,jul,377.4896180322861
Recife Antigo,9109085.741,292919.623,2011,jul,440.5458625644096
Cabanga,9106406.495,290656.46,2011,jul,456.05561486558446
Coelhos,9107760.014,291308.772,2011,jul,506.1703159453406
Ilha do Leite,9107978.96,291077.482,2011,jul,431.60186959064464
PaissandÃº,9108194.842,290416.08,2011,jul,412.4121470845265
Ilha Joana Bezerra,9107310.114,290425.748,2011,jul,460.99043491627447
Boa Vista,9109077.387,290876.732,2011,jul,445.6547590873609
Soledade,9108960.796,291276.183,2011,jul,431.43925883618624
Santo Amaro,9109946.116,291880.247,2011,jul,427.2431704937937
Dois Unidos,9115506.345,288388.799,2011,jul,444.8243941631539
Beberibe,9114586.482,290525.705,2011,jul,429.07908845253513
Linha do Tiro,9114233.62,289504.946,2011,jul,401.2007344118836
Ãgua Fria (Plana),9113172.84,291071.501,2011,jul,449.9164512851293
Ãgua Fria (Alta),9113472.429,290156.813,2011,jul,449.8823016271849
Porto da Madeira,9114404.262,291240.722,2011,jul,421.4951947334092
Cajueiro,9113978.874,291787.251,2011,jul,504.59199199414695
Campina do Barreto,9113360.156,292045.138,2011,jul,468.2813390321122
Peixinhos,9113079.242,292663.795,2011,jul,495.8792930027258
Arruda,9112577.585,290778.65,2011,jul,468.5637839479233
Encruzilhada,9111342.984,291147.432,2011,jul,441.61331988351697
Ponto de Parada,9111944.964,291203.258,2011,jul,447.4815410874828
FundÃ£o,9113692.115,291141.885,2011,jul,378.6553832056999
HipÃ³dromo,9111681.871,291492.858,2011,jul,461.4199191242736
Rosarinho,9111613.61,290381.157,2011,jul,511.4398621489419
TorreÃ£o,9110784.651,292131.119,2011,jul,529.719192397558
Campo Grande,9111851.014,291827.584,2011,jul,471.0329000945092
Alto Santa Terezinha,9113598.2,289883.467,2011,jul,428.9054886118
Bomba do HemetÃ©rio,9112880.579,289851.021,2011,jul,449.62848720228766
Derby,9108891.462,290104.934,2011,jul,400.7763179523043
GraÃ§as,9110255.798,289708.079,2011,jul,447.29773016992186
Espinheiro,9110331.328,291132.224,2011,jul,463.00983952525473
Aflitos,9110761.843,290578.478,2011,jul,389.4086929437251
Jaqueira,9111017.043,289466.588,2011,jul,423.750466100517
Tamarineira,9111760.594,289914.716,2011,jul,462.5775127797335
Santana,9110759.51,288467.83,2011,jul,408.3525996494427
Parnamirim,9111469.017,288892.196,2011,jul,429.0771501508042
Casa Forte,9111477.721,288043.907,2011,jul,410.91133974046846
PoÃ§o da Panela,9111288.519,287134.705,2011,jul,389.6611953275823
Casa Amarela,9112326.465,287770.32,2011,jul,421.7153769370584
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2011,jul,420.9773198693002
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2011,jul,380.11748222986944
Alto JosÃ© do Pinho,9112751.629,289283.565,2011,jul,455.0725144872594
Vasco da Gama,9113922.665,287550.762,2011,jul,403.025824210084
