bairro,latitude,longitude,ano,mes,chuva
Santo AntÃ´nio,9108146.872,292305.893,2020,jun,227.53895005974292
SÃ£o JosÃ©,9106966.415,291028.633,2020,jun,188.0302432984944
Recife Antigo,9109085.741,292919.623,2020,jun,140.62549113234095
Cabanga,9106406.495,290656.46,2020,jun,190.23365474618512
Coelhos,9107760.014,291308.772,2020,jun,58.38650539747434
Ilha do Leite,9107978.96,291077.482,2020,jun,119.3148388597109
PaissandÃº,9108194.842,290416.08,2020,jun,195.01763378040417
Ilha Joana Bezerra,9107310.114,290425.748,2020,jun,89.57879110635294
Boa Vista,9109077.387,290876.732,2020,jun,146.10792661304563
Soledade,9108960.796,291276.183,2020,jun,128.77435120153083
Santo Amaro,9109946.116,291880.247,2020,jun,155.90724546749064
Dois Unidos,9115506.345,288388.799,2020,jun,187.2850626133138
Beberibe,9114586.482,290525.705,2020,jun,142.94044440428212
Linha do Tiro,9114233.62,289504.946,2020,jun,122.7257311089114
Ãgua Fria (Plana),9113172.84,291071.501,2020,jun,115.90827725003456
Ãgua Fria (Alta),9113472.429,290156.813,2020,jun,164.10801688731817
Porto da Madeira,9114404.262,291240.722,2020,jun,161.8478935935198
Cajueiro,9113978.874,291787.251,2020,jun,194.4577653761461
Campina do Barreto,9113360.156,292045.138,2020,jun,110.68286084655708
Peixinhos,9113079.242,292663.795,2020,jun,158.93095511489057
Arruda,9112577.585,290778.65,2020,jun,122.76863844758572
Encruzilhada,9111342.984,291147.432,2020,jun,94.11797397456402
Ponto de Parada,9111944.964,291203.258,2020,jun,160.55135787539226
FundÃ£o,9113692.115,291141.885,2020,jun,117.26234529059047
HipÃ³dromo,9111681.871,291492.858,2020,jun,138.43262437634638
Rosarinho,9111613.61,290381.157,2020,jun,101.80008652420702
TorreÃ£o,9110784.651,292131.119,2020,jun,260.5769947637172
Campo Grande,9111851.014,291827.584,2020,jun,209.1084637272034
Alto Santa Terezinha,9113598.2,289883.467,2020,jun,174.1747226989804
Bomba do HemetÃ©rio,9112880.579,289851.021,2020,jun,193.9399300046948
Derby,9108891.462,290104.934,2020,jun,202.4901127858336
GraÃ§as,9110255.798,289708.079,2020,jun,115.91497485054316
Espinheiro,9110331.328,291132.224,2020,jun,103.64900463464
Aflitos,9110761.843,290578.478,2020,jun,157.44216630707325
Jaqueira,9111017.043,289466.588,2020,jun,114.82018287383812
Tamarineira,9111760.594,289914.716,2020,jun,38.19973701744068
Santana,9110759.51,288467.83,2020,jun,80.76321415337532
Parnamirim,9111469.017,288892.196,2020,jun,149.54494375576672
Casa Forte,9111477.721,288043.907,2020,jun,91.97289587413178
PoÃ§o da Panela,9111288.519,287134.705,2020,jun,115.34359785982784
Casa Amarela,9112326.465,287770.32,2020,jun,162.6578932672277
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2020,jun,140.21502478600237
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2020,jun,234.7438589344837
Alto JosÃ© do Pinho,9112751.629,289283.565,2020,jun,188.159098930008
Vasco da Gama,9113922.665,287550.762,2020,jun,128.2501421911021
Monteiro,9112251.966,286935.676,2020,jun,146.26972745444962
Apipucos,9113185.175,285711.387,2020,jun,134.86161619703603
Alto do MandÃº,9112720.118,286967.594,2020,jun,138.33885441496392
SÃ­tio dos Pintos,9113652.981,283248.377,2020,jun,69.42977177578196
CÃ³rrego do Jenipapo,9114931.748,285628.687,2020,jun,154.42457248753374
Dois IrmÃ£os,9114316.891,283046.585,2020,jun,133.06339880691385
Macaxeira,9113929.124,286266.928,2020,jun,108.53067051714274
