bairro,latitude,longitude,ano,mes,chuva
Santo AntÃ´nio,9108146.872,292305.893,2017,mai,63.59498594001167
SÃ£o JosÃ©,9106966.415,291028.633,2017,mai,142.98204409173144
Recife Antigo,9109085.741,292919.623,2017,mai,166.43858928109375
Cabanga,9106406.495,290656.46,2017,mai,165.3322469087251
Coelhos,9107760.014,291308.772,2017,mai,135.3164880951431
Ilha do Leite,9107978.96,291077.482,2017,mai,72.59971739127622
PaissandÃº,9108194.842,290416.08,2017,mai,97.52146472422656
Ilha Joana Bezerra,9107310.114,290425.748,2017,mai,107.10663574916782
Boa Vista,9109077.387,290876.732,2017,mai,168.24672143358444
Soledade,9108960.796,291276.183,2017,mai,251.0538379198898
Santo Amaro,9109946.116,291880.247,2017,mai,66.59133647438989
Dois Unidos,9115506.345,288388.799,2017,mai,271.3230274648573
Beberibe,9114586.482,290525.705,2017,mai,57.81866559053917
Linha do Tiro,9114233.62,289504.946,2017,mai,105.50039126703282
Ãgua Fria (Plana),9113172.84,291071.501,2017,mai,122.5737206432256
Ãgua Fria (Alta),9113472.429,290156.813,2017,mai,154.3326041548694
Porto da Madeira,9114404.262,291240.722,2017,mai,116.56338259522752
Cajueiro,9113978.874,291787.251,2017,mai,176.16909995004755
Campina do Barreto,9113360.156,292045.138,2017,mai,156.8627555133169
Peixinhos,9113079.242,292663.795,2017,mai,117.1352302733475
Arruda,9112577.585,290778.65,2017,mai,87.92361570235288
Encruzilhada,9111342.984,291147.432,2017,mai,120.8239264987172
Ponto de Parada,9111944.964,291203.258,2017,mai,73.38028308047097
FundÃ£o,9113692.115,291141.885,2017,mai,191.71211318948963
HipÃ³dromo,9111681.871,291492.858,2017,mai,152.5272052877081
Rosarinho,9111613.61,290381.157,2017,mai,176.55918873287732
TorreÃ£o,9110784.651,292131.119,2017,mai,194.2559766248587
Campo Grande,9111851.014,291827.584,2017,mai,151.99025138378917
Alto Santa Terezinha,9113598.2,289883.467,2017,mai,193.00990071717564
Bomba do HemetÃ©rio,9112880.579,289851.021,2017,mai,82.08271255109545
Derby,9108891.462,290104.934,2017,mai,191.6043492908329
GraÃ§as,9110255.798,289708.079,2017,mai,123.83145145023433
Espinheiro,9110331.328,291132.224,2017,mai,115.67160711597111
Aflitos,9110761.843,290578.478,2017,mai,199.94799514409664
Jaqueira,9111017.043,289466.588,2017,mai,5.591675786468926
Tamarineira,9111760.594,289914.716,2017,mai,72.15828942178008
Santana,9110759.51,288467.83,2017,mai,102.48905503749506
Parnamirim,9111469.017,288892.196,2017,mai,202.21883215428807
Casa Forte,9111477.721,288043.907,2017,mai,212.8503831102496
PoÃ§o da Panela,9111288.519,287134.705,2017,mai,115.79114130443556
Casa Amarela,9112326.465,287770.32,2017,mai,87.46814303380422
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2017,mai,80.99213263960958
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2017,mai,117.7201189795725
Alto JosÃ© do Pinho,9112751.629,289283.565,2017,mai,155.04830135549113
Vasco da Gama,9113922.665,287550.762,2017,mai,191.688577973234
Monteiro,9112251.966,286935.676,2017,mai,139.09907237162275
Apipucos,9113185.175,285711.387,2017,mai,144.83200379123653
Alto do MandÃº,9112720.118,286967.594,2017,mai,30.59438027789335
SÃ­tio dos Pintos,9113652.981,283248.377,2017,mai,143.13918396876022
CÃ³rrego do Jenipapo,9114931.748,285628.687,2017,mai,160.1252366303312
Dois IrmÃ£os,9114316.891,283046.585,2017,mai,169.14090407955993
Macaxeira,9113929.124,286266.928,2017,mai,181.40986767972916
Nova Descoberta,9114374.078,285455.447,2017,mai,164.17085843008104
Brejo de Beberibe,9115426.776,287368.207,2017,mai,221.832901552426
Guabiraba,9118925.116,280472.66,2017,mai,162.3625328666106
Brejo de Guabiraba,9116011.252,286470.068,2017,mai,163.27258500791078
Passarinho,9117604.478,286529.856,2017,mai,58.91811914733124
Mangabeira,9112583.36,290041.311,2017,mai,138.4613037954714
VÃ¡rzea Baixo,9112566.575,286421.591,2017,mai,237.84379418099692
VÃ¡rzea UR7,9111147.548,281788.536,2017,mai,179.0343070874527
CaxangÃ¡,9112046.853,283641.068,2017,mai,115.8798045717902
Iputinga,9111218.811,284743.585,2017,mai,230.93510064623948
Engenho do Meio,9108934.504,284977.522,2017,mai,108.19282267654356
TorrÃµes,9108474.182,285633.242,2017,mai,90.28146212686522
Cordeiro,9109569.979,286498.08,2017,mai,106.06019985924284
Zumbi,9109369.482,288172.472,2017,mai,194.63898913436043
Torre,9110457.305,288948.15,2017,mai,166.9940664347619
Prado,9108489.273,288218.34,2017,mai,256.14106194621513
Madalena,9109260.52,288708.035,2017,mai,151.38133327247357
Ilha do Retiro,9108073.724,289620.413,2017,mai,77.33919618871134
VÃ¡rzea Brasilit,9110245.917,284310.527,2017,mai,248.1971247397432
Cidade UniversitÃ¡ria,9109225.991,284041.371,2017,mai,92.09902222229044
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2017,mai,191.6953729791123
Afogados (Marrom GlacÃª),9106094.768,289066.699,2017,mai,60.64236801720088
Afogados,9106757.379,287276.756,2017,mai,191.51205266475864
Bongi,9108001.134,287967.704,2017,mai,175.87760435348656
San Martin,9107597.587,286249.826,2017,mai,139.5312440828388
Mustardinha,9107309.05,288019.099,2017,mai,220.0441387410578
Mangueira,9106752.433,287877.617,2017,mai,142.71517763353944
EstÃ¢ncia,9105779.586,286336.174,2017,mai,121.90607377531194
JiquiÃ¡,9105785.996,286821.099,2017,mai,131.18109945186387
CaÃ§ote,9104102.268,286696.977,2017,mai,135.95540965080033
Areias,9104721.352,286348.888,2017,mai,125.08551729194272
TejipiÃ³,9105212.347,283469.404,2017,mai,267.0882804225845
Sancho,9105806.562,283345.513,2017,mai,83.73483048412061
Barro,9104276.244,283228.614,2017,mai,125.28369004672656
Coqueiral,9105579.969,282521.737,2017,mai,197.43784558901024
Curado,9107299.958,282026.143,2017,mai,192.7491735195581
TotÃ³,9106028.466,282845.232,2017,mai,190.7135031913924
Jardim SÃ£o Paulo,9106091.212,284789.366,2017,mai,35.208624336714905
BrasÃ­lia Teimosa,9105867.58,291910.581,2017,mai,164.57017077856185
Pina,9104526.606,289352.098,2017,mai,144.13665340940196
Imbiribeira,9103325.289,287372.583,2017,mai,85.37946597737027
Boa Viagem,9101159.587,286709.856,2017,mai,153.6132491575942
Ipsep,9103041.538,287270.038,2017,mai,115.4638027770864
Ibura,9102102.397,285143.988,2017,mai,171.9714296482344
Ibura Vila do Sesi,9103077.514,286055.398,2017,mai,200.4255394767846
Ibura Parque,9103162.275,285659.265,2017,mai,195.88537210920543
JordÃ£o,9100101.151,286086.751,2017,mai,223.6645587706997
Cohab UR5,9100700.205,285154.725,2017,mai,207.128329442044
Cohab UR4,9100700.825,285154.722,2017,mai,180.96123623994927
Cohab UR10,9100697.345,284430.969,2017,mai,131.81335303556278
Cohab TrÃªs Carneiros,9101176.409,284411.063,2017,mai,148.00639993632586
Cohab UR2,9101678.284,284448.852,2017,mai,172.87981360498813
Cohab UR3,9102297.398,284375.691,2017,mai,176.85692261834447
Cohab Monte Verde,9102393.38,283809.922,2017,mai,100.96943049033608
UR1,9101905.325,285328.723,2017,mai,195.2219891453186
