bairro,latitude,longitude,ano,mes,chuva
Santo AntÃ´nio,9108146.872,292305.893,2011,mar,53.806218344366414
SÃ£o JosÃ©,9106966.415,291028.633,2011,mar,75.00596753080511
Recife Antigo,9109085.741,292919.623,2011,mar,45.04192675660428
Cabanga,9106406.495,290656.46,2011,mar,97.70601339593748
Coelhos,9107760.014,291308.772,2011,mar,66.89088065959426
Ilha do Leite,9107978.96,291077.482,2011,mar,60.0731866881997
PaissandÃº,9108194.842,290416.08,2011,mar,30.27405005167475
Ilha Joana Bezerra,9107310.114,290425.748,2011,mar,61.487949761936
Boa Vista,9109077.387,290876.732,2011,mar,44.26367379172836
Soledade,9108960.796,291276.183,2011,mar,69.39407850494594
Santo Amaro,9109946.116,291880.247,2011,mar,71.9413540178977
Dois Unidos,9115506.345,288388.799,2011,mar,87.14655630873118
Beberibe,9114586.482,290525.705,2011,mar,86.96357774104189
Linha do Tiro,9114233.62,289504.946,2011,mar,87.53484960882032
Ãgua Fria (Plana),9113172.84,291071.501,2011,mar,46.79396634488501
Ãgua Fria (Alta),9113472.429,290156.813,2011,mar,52.15848232280937
Porto da Madeira,9114404.262,291240.722,2011,mar,106.18073094148885
Cajueiro,9113978.874,291787.251,2011,mar,89.47862640023168
Campina do Barreto,9113360.156,292045.138,2011,mar,60.36798245176831
Peixinhos,9113079.242,292663.795,2011,mar,41.55730007989378
Arruda,9112577.585,290778.65,2011,mar,66.13546496855662
Encruzilhada,9111342.984,291147.432,2011,mar,45.535092507956456
Ponto de Parada,9111944.964,291203.258,2011,mar,62.4794661079935
FundÃ£o,9113692.115,291141.885,2011,mar,54.82331041946684
HipÃ³dromo,9111681.871,291492.858,2011,mar,87.6806816930511
Rosarinho,9111613.61,290381.157,2011,mar,41.050531054724445
TorreÃ£o,9110784.651,292131.119,2011,mar,86.1997798951476
Campo Grande,9111851.014,291827.584,2011,mar,95.10493255372374
Alto Santa Terezinha,9113598.2,289883.467,2011,mar,76.19880384814942
Bomba do HemetÃ©rio,9112880.579,289851.021,2011,mar,35.62720537111577
Derby,9108891.462,290104.934,2011,mar,46.88920179308128
GraÃ§as,9110255.798,289708.079,2011,mar,69.10960011443642
Espinheiro,9110331.328,291132.224,2011,mar,66.58576519447907
Aflitos,9110761.843,290578.478,2011,mar,35.42406556827626
Jaqueira,9111017.043,289466.588,2011,mar,58.09336463350554
Tamarineira,9111760.594,289914.716,2011,mar,51.029159249937685
Santana,9110759.51,288467.83,2011,mar,62.824856619853854
Parnamirim,9111469.017,288892.196,2011,mar,56.4828354683613
Casa Forte,9111477.721,288043.907,2011,mar,57.74823052723241
PoÃ§o da Panela,9111288.519,287134.705,2011,mar,69.5616171048178
Casa Amarela,9112326.465,287770.32,2011,mar,94.65798945922027
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2011,mar,42.234264140076576
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2011,mar,57.95970102142456
Alto JosÃ© do Pinho,9112751.629,289283.565,2011,mar,53.50260750443077
Vasco da Gama,9113922.665,287550.762,2011,mar,70.59276413868584
Monteiro,9112251.966,286935.676,2011,mar,77.88917126750039
Apipucos,9113185.175,285711.387,2011,mar,62.237507350174575
Alto do MandÃº,9112720.118,286967.594,2011,mar,68.30582378683897
SÃ­tio dos Pintos,9113652.981,283248.377,2011,mar,62.37651356199575
CÃ³rrego do Jenipapo,9114931.748,285628.687,2011,mar,89.71044426395906
Dois IrmÃ£os,9114316.891,283046.585,2011,mar,61.01105434007836
Macaxeira,9113929.124,286266.928,2011,mar,59.397819367983566
Nova Descoberta,9114374.078,285455.447,2011,mar,60.89057831104043
Brejo de Beberibe,9115426.776,287368.207,2011,mar,72.10749803107495
Guabiraba,9118925.116,280472.66,2011,mar,50.15482868081696
Brejo de Guabiraba,9116011.252,286470.068,2011,mar,78.97744307070474
Passarinho,9117604.478,286529.856,2011,mar,65.04885323063463
Mangabeira,9112583.36,290041.311,2011,mar,44.4545294118839
VÃ¡rzea Baixo,9112566.575,286421.591,2011,mar,89.2955177596113
VÃ¡rzea UR7,9111147.548,281788.536,2011,mar,63.12576643242724
