bairro,latitude,longitude,ano,mes,chuva
Santo AntÃ´nio,9108146.872,292305.893,2009,jan,74.9167540111907
SÃ£o JosÃ©,9106966.415,291028.633,2009,jan,71.0612418304843
Recife Antigo,9109085.741,292919.623,2009,jan,83.60272376743231
Cabanga,9106406.495,290656.46,2009,jan,75.14951948739676
Coelhos,9107760.014,291308.772,2009,jan,73.87452487847368
Ilha do Leite,9107978.96,291077.482,2009,jan,71.7086453947208
PaissandÃº,9108194.842,290416.08,2009,jan,69.74870000112843
Ilha Joana Bezerra,9107310.114,290425.748,2009,jan,75.16499712543867
Boa Vista,9109077.387,290876.732,2009,jan,81.38597484006158
Soledade,9108960.796,291276.183,2009,jan,78.46698982810712
Santo Amaro,9109946.116,291880.247,2009,jan,73.14066959659093
Dois Unidos,9115506.345,288388.799,2009,jan,73.6522826205918
Beberibe,9114586.482,290525.705,2009,jan,75.33317037128924
Linha do Tiro,9114233.62,289504.946,2009,jan,82.52476584639396
Ãgua Fria (Plana),9113172.84,291071.501,2009,jan,70.84531861563228
Ãgua Fria (Alta),9113472.429,290156.813,2009,jan,69.23570807862099
Porto da Madeira,9114404.262,291240.722,2009,jan,69.0606194032955
Cajueiro,9113978.874,291787.251,2009,jan,82.44479432119617
Campina do Barreto,9113360.156,292045.138,2009,jan,74.20119656482254
Peixinhos,9113079.242,292663.795,2009,jan,74.62831239766044
Arruda,9112577.585,290778.65,2009,jan,78.26114268026683
Encruzilhada,9111342.984,291147.432,2009,jan,79.70251236156713
Ponto de Parada,9111944.964,291203.258,2009,jan,71.11556706046085
FundÃ£o,9113692.115,291141.885,2009,jan,77.9698467484532
HipÃ³dromo,9111681.871,291492.858,2009,jan,75.32412007111508
Rosarinho,9111613.61,290381.157,2009,jan,77.03399498707684
TorreÃ£o,9110784.651,292131.119,2009,jan,76.49459340653293
Campo Grande,9111851.014,291827.584,2009,jan,79.40131441236014
Alto Santa Terezinha,9113598.2,289883.467,2009,jan,68.93680222174723
Bomba do HemetÃ©rio,9112880.579,289851.021,2009,jan,61.6953241442376
Derby,9108891.462,290104.934,2009,jan,77.9217175074863
GraÃ§as,9110255.798,289708.079,2009,jan,73.79092881595612
Espinheiro,9110331.328,291132.224,2009,jan,68.12156179258749
Aflitos,9110761.843,290578.478,2009,jan,70.86745035736524
Jaqueira,9111017.043,289466.588,2009,jan,68.82731837638079
Tamarineira,9111760.594,289914.716,2009,jan,81.16280313117376
Santana,9110759.51,288467.83,2009,jan,77.57173125401927
Parnamirim,9111469.017,288892.196,2009,jan,68.83305755297314
Casa Forte,9111477.721,288043.907,2009,jan,68.63394415690586
PoÃ§o da Panela,9111288.519,287134.705,2009,jan,75.10244886252713
Casa Amarela,9112326.465,287770.32,2009,jan,71.56073029299732
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2009,jan,69.43364913301903
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2009,jan,74.7478150635281
Alto JosÃ© do Pinho,9112751.629,289283.565,2009,jan,68.19756964120623
Vasco da Gama,9113922.665,287550.762,2009,jan,72.63130649195523
Monteiro,9112251.966,286935.676,2009,jan,73.14497452409586
Apipucos,9113185.175,285711.387,2009,jan,72.55623182006588
Alto do MandÃº,9112720.118,286967.594,2009,jan,67.09742417411594
SÃ­tio dos Pintos,9113652.981,283248.377,2009,jan,83.63460194711456
CÃ³rrego do Jenipapo,9114931.748,285628.687,2009,jan,64.33932344617666
Dois IrmÃ£os,9114316.891,283046.585,2009,jan,77.33608338071497
Macaxeira,9113929.124,286266.928,2009,jan,76.4140445362363
Nova Descoberta,9114374.078,285455.447,2009,jan,70.28629926571438
Brejo de Beberibe,9115426.776,287368.207,2009,jan,82.41570102891542
Guabiraba,9118925.116,280472.66,2009,jan,69.73091850283353
Brejo de Guabiraba,9116011.252,286470.068,2009,jan,65.12647498872771
Passarinho,9117604.478,286529.856,2009,jan,72.75461345363723
Mangabeira,9112583.36,290041.311,2009,jan,69.79983497455605
VÃ¡rzea Baixo,9112566.575,286421.591,2009,jan,66.46187827509456
VÃ¡rzea UR7,9111147.548,281788.536,2009,jan,73.83775843311449
CaxangÃ¡,9112046.853,283641.068,2009,jan,66.55567272887495
Iputinga,9111218.811,284743.585,2009,jan,62.35501271265704
Engenho do Meio,9108934.504,284977.522,2009,jan,61.5934301535582
TorrÃµes,9108474.182,285633.242,2009,jan,77.9554282400176
Cordeiro,9109569.979,286498.08,2009,jan,76.46062901340761
Zumbi,9109369.482,288172.472,2009,jan,82.29273610165373
Torre,9110457.305,288948.15,2009,jan,77.43165942561136
Prado,9108489.273,288218.34,2009,jan,78.5323028581861
Madalena,9109260.52,288708.035,2009,jan,85.54908269073707
Ilha do Retiro,9108073.724,289620.413,2009,jan,80.86021365742307
VÃ¡rzea Brasilit,9110245.917,284310.527,2009,jan,76.24505677989185
Cidade UniversitÃ¡ria,9109225.991,284041.371,2009,jan,74.06229610410604
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2009,jan,77.19711789745557
Afogados (Marrom GlacÃª),9106094.768,289066.699,2009,jan,64.94584107073861
Afogados,9106757.379,287276.756,2009,jan,74.40092402725323
Bongi,9108001.134,287967.704,2009,jan,69.85644098759008
San Martin,9107597.587,286249.826,2009,jan,76.91678382357216
Mustardinha,9107309.05,288019.099,2009,jan,72.15999935723383
Mangueira,9106752.433,287877.617,2009,jan,64.00633959390873
EstÃ¢ncia,9105779.586,286336.174,2009,jan,74.76095576643543
JiquiÃ¡,9105785.996,286821.099,2009,jan,68.52282112209194
CaÃ§ote,9104102.268,286696.977,2009,jan,84.28821195106494
Areias,9104721.352,286348.888,2009,jan,72.64921493529518
TejipiÃ³,9105212.347,283469.404,2009,jan,65.71431408453145
Sancho,9105806.562,283345.513,2009,jan,69.3586017005735
Barro,9104276.244,283228.614,2009,jan,77.75128697353266
Coqueiral,9105579.969,282521.737,2009,jan,80.02331738852429
Curado,9107299.958,282026.143,2009,jan,79.68120914450296
TotÃ³,9106028.466,282845.232,2009,jan,69.54609094979268
Jardim SÃ£o Paulo,9106091.212,284789.366,2009,jan,73.17635276874596
BrasÃ­lia Teimosa,9105867.58,291910.581,2009,jan,76.06185451787965
Pina,9104526.606,289352.098,2009,jan,80.55390284258273
Imbiribeira,9103325.289,287372.583,2009,jan,79.78511785735374
Boa Viagem,9101159.587,286709.856,2009,jan,80.22252754379286
Ipsep,9103041.538,287270.038,2009,jan,68.70917668300334
Ibura,9102102.397,285143.988,2009,jan,72.99127226101074
Ibura Vila do Sesi,9103077.514,286055.398,2009,jan,78.61777009420061
Ibura Parque,9103162.275,285659.265,2009,jan,70.58189027803387
JordÃ£o,9100101.151,286086.751,2009,jan,70.35509700740543
Cohab UR5,9100700.205,285154.725,2009,jan,70.61804436048673
