bairro,latitude,longitude,ano,mes,chuva
Santo AntÃ´nio,9108146.872,292305.893,2021,nov,14.62414473786962
SÃ£o JosÃ©,9106966.415,291028.633,2021,nov,16.088247790091522
Recife Antigo,9109085.741,292919.623,2021,nov,13.19698487502272
Cabanga,9106406.495,290656.46,2021,nov,17.41860680077647
Coelhos,9107760.014,291308.772,2021,nov,9.253269217202815
Ilha do Leite,9107978.96,291077.482,2021,nov,16.309047204495307
PaissandÃº,9108194.842,290416.08,2021,nov,10.296370077486523
Ilha Joana Bezerra,9107310.114,290425.748,2021,nov,7.084017955105408
Boa Vista,9109077.387,290876.732,2021,nov,3.040069359081576
Soledade,9108960.796,291276.183,2021,nov,11.700542557222995
Santo Amaro,9109946.116,291880.247,2021,nov,7.84515210852499
Dois Unidos,9115506.345,288388.799,2021,nov,7.557692979300105
Beberibe,9114586.482,290525.705,2021,nov,14.151714617381348
Linha do Tiro,9114233.62,289504.946,2021,nov,11.152071661865891
Ãgua Fria (Plana),9113172.84,291071.501,2021,nov,3.391488585755355
Ãgua Fria (Alta),9113472.429,290156.813,2021,nov,12.00495784789602
Porto da Madeira,9114404.262,291240.722,2021,nov,9.526520261079506
Cajueiro,9113978.874,291787.251,2021,nov,2.6163330403573264
Campina do Barreto,9113360.156,292045.138,2021,nov,9.58646196264151
Peixinhos,9113079.242,292663.795,2021,nov,14.094085412844976
Arruda,9112577.585,290778.65,2021,nov,4.459738627370553
Encruzilhada,9111342.984,291147.432,2021,nov,7.707465477457045
Ponto de Parada,9111944.964,291203.258,2021,nov,2.212767032245826
FundÃ£o,9113692.115,291141.885,2021,nov,9.807317496002602
HipÃ³dromo,9111681.871,291492.858,2021,nov,2.85415074529446
Rosarinho,9111613.61,290381.157,2021,nov,6.265198819850215
TorreÃ£o,9110784.651,292131.119,2021,nov,7.338588448393708
Campo Grande,9111851.014,291827.584,2021,nov,13.789824898289794
Alto Santa Terezinha,9113598.2,289883.467,2021,nov,16.051040821485948
Bomba do HemetÃ©rio,9112880.579,289851.021,2021,nov,17.14819775865545
Derby,9108891.462,290104.934,2021,nov,4.360700651329265
GraÃ§as,9110255.798,289708.079,2021,nov,10.446314246693978
Espinheiro,9110331.328,291132.224,2021,nov,9.497063542444655
Aflitos,9110761.843,290578.478,2021,nov,14.107152863890626
Jaqueira,9111017.043,289466.588,2021,nov,5.472124890488612
Tamarineira,9111760.594,289914.716,2021,nov,5.252841258426384
Santana,9110759.51,288467.83,2021,nov,11.17486797712625
Parnamirim,9111469.017,288892.196,2021,nov,10.345445987510358
Casa Forte,9111477.721,288043.907,2021,nov,13.396294321672777
PoÃ§o da Panela,9111288.519,287134.705,2021,nov,13.190881989051
Casa Amarela,9112326.465,287770.32,2021,nov,9.940904235929269
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2021,nov,9.871986134839371
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2021,nov,1.8610357103731945
Alto JosÃ© do Pinho,9112751.629,289283.565,2021,nov,5.5573019320311605
Vasco da Gama,9113922.665,287550.762,2021,nov,5.625626622175345
Monteiro,9112251.966,286935.676,2021,nov,7.255382601389451
Apipucos,9113185.175,285711.387,2021,nov,1.5271962780877475
Alto do MandÃº,9112720.118,286967.594,2021,nov,0.8788023692714191
SÃ­tio dos Pintos,9113652.981,283248.377,2021,nov,12.41363384125682
CÃ³rrego do Jenipapo,9114931.748,285628.687,2021,nov,7.51722990254008
Dois IrmÃ£os,9114316.891,283046.585,2021,nov,15.970837513770617
Macaxeira,9113929.124,286266.928,2021,nov,2.0843115855380487
Nova Descoberta,9114374.078,285455.447,2021,nov,11.284122349063834
Brejo de Beberibe,9115426.776,287368.207,2021,nov,4.762455217733974
Guabiraba,9118925.116,280472.66,2021,nov,11.656559073757265
Brejo de Guabiraba,9116011.252,286470.068,2021,nov,16.864854498217554
Passarinho,9117604.478,286529.856,2021,nov,14.820071853234609
Mangabeira,9112583.36,290041.311,2021,nov,11.60044872281394
VÃ¡rzea Baixo,9112566.575,286421.591,2021,nov,7.125779076444018
VÃ¡rzea UR7,9111147.548,281788.536,2021,nov,0.2150502150054762
CaxangÃ¡,9112046.853,283641.068,2021,nov,5.551964191826084
Iputinga,9111218.811,284743.585,2021,nov,10.00706162454992
Engenho do Meio,9108934.504,284977.522,2021,nov,11.095453131859628
TorrÃµes,9108474.182,285633.242,2021,nov,13.228746488714505
Cordeiro,9109569.979,286498.08,2021,nov,7.747051018403985
Zumbi,9109369.482,288172.472,2021,nov,1.1410615501003925
Torre,9110457.305,288948.15,2021,nov,7.012491832906413
Prado,9108489.273,288218.34,2021,nov,2.3242424772726444
Madalena,9109260.52,288708.035,2021,nov,11.52492490650728
Ilha do Retiro,9108073.724,289620.413,2021,nov,9.580199034593967
VÃ¡rzea Brasilit,9110245.917,284310.527,2021,nov,6.363286208058511
Cidade UniversitÃ¡ria,9109225.991,284041.371,2021,nov,3.274778444709269
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2021,nov,12.756599339584604
Afogados (Marrom GlacÃª),9106094.768,289066.699,2021,nov,16.00042929719055
Afogados,9106757.379,287276.756,2021,nov,12.084945389033727
Bongi,9108001.134,287967.704,2021,nov,8.434061539190571
San Martin,9107597.587,286249.826,2021,nov,11.991312733369735
Mustardinha,9107309.05,288019.099,2021,nov,12.612943688900506
Mangueira,9106752.433,287877.617,2021,nov,11.33324858474064
EstÃ¢ncia,9105779.586,286336.174,2021,nov,2.188907157077483
JiquiÃ¡,9105785.996,286821.099,2021,nov,3.609243830242448
CaÃ§ote,9104102.268,286696.977,2021,nov,7.0356556954648966
Areias,9104721.352,286348.888,2021,nov,15.4190582205223
TejipiÃ³,9105212.347,283469.404,2021,nov,13.890701977918116
Sancho,9105806.562,283345.513,2021,nov,5.740940695408784
Barro,9104276.244,283228.614,2021,nov,7.526456452030963
Coqueiral,9105579.969,282521.737,2021,nov,13.243760892996905
Curado,9107299.958,282026.143,2021,nov,2.7646018418043417
TotÃ³,9106028.466,282845.232,2021,nov,11.97940468234746
Jardim SÃ£o Paulo,9106091.212,284789.366,2021,nov,19.4123115023018
BrasÃ­lia Teimosa,9105867.58,291910.581,2021,nov,10.44050078432236
Pina,9104526.606,289352.098,2021,nov,13.026005493972736
Imbiribeira,9103325.289,287372.583,2021,nov,8.046850529397572
Boa Viagem,9101159.587,286709.856,2021,nov,10.23518894167847
Ipsep,9103041.538,287270.038,2021,nov,3.1608247558327376
Ibura,9102102.397,285143.988,2021,nov,4.946210114116972
Ibura Vila do Sesi,9103077.514,286055.398,2021,nov,10.649809205354604
Ibura Parque,9103162.275,285659.265,2021,nov,17.648618897339176
JordÃ£o,9100101.151,286086.751,2021,nov,6.833291057138631
Cohab UR5,9100700.205,285154.725,2021,nov,8.105879270787348
Cohab UR4,9100700.825,285154.722,2021,nov,0.2805171761798135
Cohab UR10,9100697.345,284430.969,2021,nov,16.186441969975036
Cohab TrÃªs Carneiros,9101176.409,284411.063,2021,nov,14.631818197521875
Cohab UR2,9101678.284,284448.852,2021,nov,5.464859666717599
Cohab UR3,9102297.398,284375.691,2021,nov,2.638977226254448
Cohab Monte Verde,9102393.38,283809.922,2021,nov,0.5875954299668908
UR1,9101905.325,285328.723,2021,nov,3.0690190681965346
