bairro,latitude,longitude,ano,mes,chuva
Santo AntÃ´nio,9108146.872,292305.893,2018,out,6.399954914894377
SÃ£o JosÃ©,9106966.415,291028.633,2018,out,9.23934381580213
Recife Antigo,9109085.741,292919.623,2018,out,8.615915050058822
Cabanga,9106406.495,290656.46,2018,out,5.95424625523048
Coelhos,9107760.014,291308.772,2018,out,5.530185593530149
Ilha do Leite,9107978.96,291077.482,2018,out,0.780463055718247
PaissandÃº,9108194.842,290416.08,2018,out,6.486620601404257
Ilha Joana Bezerra,9107310.114,290425.748,2018,out,0.8477194973255413
Boa Vista,9109077.387,290876.732,2018,out,4.64984508265859
Soledade,9108960.796,291276.183,2018,out,4.862236845986788
Santo Amaro,9109946.116,291880.247,2018,out,11.196199870841085
Dois Unidos,9115506.345,288388.799,2018,out,1.8840023184499444
Beberibe,9114586.482,290525.705,2018,out,4.176344631176047
Linha do Tiro,9114233.62,289504.946,2018,out,10.103322366541414
Ãgua Fria (Plana),9113172.84,291071.501,2018,out,14.010778759402193
Ãgua Fria (Alta),9113472.429,290156.813,2018,out,19.117833898418404
Porto da Madeira,9114404.262,291240.722,2018,out,7.198138547436441
Cajueiro,9113978.874,291787.251,2018,out,7.903284526492087
Campina do Barreto,9113360.156,292045.138,2018,out,2.682664878268566
Peixinhos,9113079.242,292663.795,2018,out,8.876750621130103
Arruda,9112577.585,290778.65,2018,out,10.191872264896844
Encruzilhada,9111342.984,291147.432,2018,out,8.810565042473378
Ponto de Parada,9111944.964,291203.258,2018,out,8.612226728044451
FundÃ£o,9113692.115,291141.885,2018,out,4.022514505663649
HipÃ³dromo,9111681.871,291492.858,2018,out,14.1402539145362
Rosarinho,9111613.61,290381.157,2018,out,0.0192976447394466
TorreÃ£o,9110784.651,292131.119,2018,out,2.8295850361335275
Campo Grande,9111851.014,291827.584,2018,out,5.540800013587831
Alto Santa Terezinha,9113598.2,289883.467,2018,out,13.049355088230858
Bomba do HemetÃ©rio,9112880.579,289851.021,2018,out,3.4360264655285797
Derby,9108891.462,290104.934,2018,out,11.847444329437067
GraÃ§as,9110255.798,289708.079,2018,out,4.304864468593645
Espinheiro,9110331.328,291132.224,2018,out,2.828942340191642
Aflitos,9110761.843,290578.478,2018,out,3.2382301845937675
Jaqueira,9111017.043,289466.588,2018,out,1.8576798262644223
Tamarineira,9111760.594,289914.716,2018,out,6.726712823703396
Santana,9110759.51,288467.83,2018,out,10.634970664274212
Parnamirim,9111469.017,288892.196,2018,out,7.979130853422303
Casa Forte,9111477.721,288043.907,2018,out,1.895049323640768
PoÃ§o da Panela,9111288.519,287134.705,2018,out,3.292600977807178
Casa Amarela,9112326.465,287770.32,2018,out,0.6267776952008788
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2018,out,6.227970945718244
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2018,out,2.342200348046998
Alto JosÃ© do Pinho,9112751.629,289283.565,2018,out,11.235235102456135
Vasco da Gama,9113922.665,287550.762,2018,out,2.9266033266640963
Monteiro,9112251.966,286935.676,2018,out,8.619575167814448
Apipucos,9113185.175,285711.387,2018,out,2.797151384779792
Alto do MandÃº,9112720.118,286967.594,2018,out,7.754499227396883
SÃ­tio dos Pintos,9113652.981,283248.377,2018,out,4.076430351290266
CÃ³rrego do Jenipapo,9114931.748,285628.687,2018,out,9.34885809773301
Dois IrmÃ£os,9114316.891,283046.585,2018,out,7.307956233440706
Macaxeira,9113929.124,286266.928,2018,out,3.729823920638059
Nova Descoberta,9114374.078,285455.447,2018,out,3.759832399181375
Brejo de Beberibe,9115426.776,287368.207,2018,out,2.9616669872501453
Guabiraba,9118925.116,280472.66,2018,out,1.22496027968635
Brejo de Guabiraba,9116011.252,286470.068,2018,out,5.331840957293898
Passarinho,9117604.478,286529.856,2018,out,12.199710549481273
Mangabeira,9112583.36,290041.311,2018,out,5.715310364509997
VÃ¡rzea Baixo,9112566.575,286421.591,2018,out,7.492295288408106
VÃ¡rzea UR7,9111147.548,281788.536,2018,out,10.421656364422564
CaxangÃ¡,9112046.853,283641.068,2018,out,3.103808812242053
Iputinga,9111218.811,284743.585,2018,out,2.1532107763867274
Engenho do Meio,9108934.504,284977.522,2018,out,7.358626637014672
TorrÃµes,9108474.182,285633.242,2018,out,12.86006194630136
Cordeiro,9109569.979,286498.08,2018,out,8.958119374655102
Zumbi,9109369.482,288172.472,2018,out,2.722839576466902
Torre,9110457.305,288948.15,2018,out,1.3952898674997325
Prado,9108489.273,288218.34,2018,out,13.065830271120294
Madalena,9109260.52,288708.035,2018,out,0.5755730193331026
Ilha do Retiro,9108073.724,289620.413,2018,out,10.327266661709558
VÃ¡rzea Brasilit,9110245.917,284310.527,2018,out,3.827909408545558
Cidade UniversitÃ¡ria,9109225.991,284041.371,2018,out,6.010581025690506
Afogados (Ilha de SÃ£o Miguel),9106276.438,288602.862,2018,out,6.048054872875589
Afogados (Marrom GlacÃª),9106094.768,289066.699,2018,out,11.560277574844502
Afogados,9106757.379,287276.756,2018,out,9.71449550221787
Bongi,9108001.134,287967.704,2018,out,5.801204638602208
San Martin,9107597.587,286249.826,2018,out,9.098855870621732
Mustardinha,9107309.05,288019.099,2018,out,7.625308356747265
Mangueira,9106752.433,287877.617,2018,out,5.791488204506991
EstÃ¢ncia,9105779.586,286336.174,2018,out,12.141668686056402
JiquiÃ¡,9105785.996,286821.099,2018,out,2.8558971344424617
CaÃ§ote,9104102.268,286696.977,2018,out,3.395255835709926
Areias,9104721.352,286348.888,2018,out,3.946130360468234
TejipiÃ³,9105212.347,283469.404,2018,out,4.652148269206439
Sancho,9105806.562,283345.513,2018,out,2.222322997842166
Barro,9104276.244,283228.614,2018,out,8.397299024400134
Coqueiral,9105579.969,282521.737,2018,out,1.1351180419360611
Curado,9107299.958,282026.143,2018,out,6.851068761993483
TotÃ³,9106028.466,282845.232,2018,out,8.746894460058781
Jardim SÃ£o Paulo,9106091.212,284789.366,2018,out,8.219239059614992
BrasÃ­lia Teimosa,9105867.58,291910.581,2018,out,1.9613516547674124
Pina,9104526.606,289352.098,2018,out,6.319988943860895
Imbiribeira,9103325.289,287372.583,2018,out,1.2705528721405042
Boa Viagem,9101159.587,286709.856,2018,out,1.5690032499627744
Ipsep,9103041.538,287270.038,2018,out,6.658764971984125
Ibura,9102102.397,285143.988,2018,out,13.579336709177287
Ibura Vila do Sesi,9103077.514,286055.398,2018,out,4.516567714724269
Ibura Parque,9103162.275,285659.265,2018,out,4.374040891088836
JordÃ£o,9100101.151,286086.751,2018,out,2.070099310750834
Cohab UR5,9100700.205,285154.725,2018,out,11.450478632129755
Cohab UR4,9100700.825,285154.722,2018,out,6.104894966714208
Cohab UR10,9100697.345,284430.969,2018,out,6.651824379116067
Cohab TrÃªs Carneiros,9101176.409,284411.063,2018,out,9.486158098348554
Cohab UR2,9101678.284,284448.852,2018,out,10.945207798486944
Cohab UR3,9102297.398,284375.691,2018,out,5.144147499559219
Cohab Monte Verde,9102393.38,283809.922,2018,out,4.816851905797632
UR1,9101905.325,285328.723,2018,out,4.953759135853407
