bairro,latitude,longitude,ano,mes,chuva
Santo AntÃ´nio,9108146.872,292305.893,2013,set,54.269037061635466
SÃ£o JosÃ©,9106966.415,291028.633,2013,set,5.023545833747882
Recife Antigo,9109085.741,292919.623,2013,set,86.59166583205223
Cabanga,9106406.495,290656.46,2013,set,47.79766000181938
Coelhos,9107760.014,291308.772,2013,set,28.05476787229884
Ilha do Leite,9107978.96,291077.482,2013,set,55.902214695890414
PaissandÃº,9108194.842,290416.08,2013,set,60.30001965350064
Ilha Joana Bezerra,9107310.114,290425.748,2013,set,49.556856216069335
Boa Vista,9109077.387,290876.732,2013,set,35.275983332065735
Soledade,9108960.796,291276.183,2013,set,39.25626525653991
Santo Amaro,9109946.116,291880.247,2013,set,68.86835986036364
Dois Unidos,9115506.345,288388.799,2013,set,31.412063041543743
Beberibe,9114586.482,290525.705,2013,set,53.30295064030141
Linha do Tiro,9114233.62,289504.946,2013,set,62.94142375904832
Ãgua Fria (Plana),9113172.84,291071.501,2013,set,49.00482982354707
Ãgua Fria (Alta),9113472.429,290156.813,2013,set,60.05626446274549
Porto da Madeira,9114404.262,291240.722,2013,set,25.756564430003674
Cajueiro,9113978.874,291787.251,2013,set,63.28647165934886
Campina do Barreto,9113360.156,292045.138,2013,set,30.17423750723596
Peixinhos,9113079.242,292663.795,2013,set,28.649266256515418
Arruda,9112577.585,290778.65,2013,set,1.5777645461868417
Encruzilhada,9111342.984,291147.432,2013,set,48.63580695051652
Ponto de Parada,9111944.964,291203.258,2013,set,46.52190658598232
FundÃ£o,9113692.115,291141.885,2013,set,50.66747378947626
HipÃ³dromo,9111681.871,291492.858,2013,set,20.25451143724787
Rosarinho,9111613.61,290381.157,2013,set,67.01922868448042
TorreÃ£o,9110784.651,292131.119,2013,set,74.97236801938227
Campo Grande,9111851.014,291827.584,2013,set,63.39939870786981
Alto Santa Terezinha,9113598.2,289883.467,2013,set,75.62130652749227
Bomba do HemetÃ©rio,9112880.579,289851.021,2013,set,56.4156964447417
Derby,9108891.462,290104.934,2013,set,40.86150503343133
GraÃ§as,9110255.798,289708.079,2013,set,44.29313765138914
Espinheiro,9110331.328,291132.224,2013,set,78.18781773433246
Aflitos,9110761.843,290578.478,2013,set,51.88652689009962
Jaqueira,9111017.043,289466.588,2013,set,16.131065053064276
Tamarineira,9111760.594,289914.716,2013,set,24.55757698097544
Santana,9110759.51,288467.83,2013,set,49.19178750138853
Parnamirim,9111469.017,288892.196,2013,set,84.8353163200596
Casa Forte,9111477.721,288043.907,2013,set,130.2208510777375
PoÃ§o da Panela,9111288.519,287134.705,2013,set,23.832795762912674
Casa Amarela,9112326.465,287770.32,2013,set,84.26860256557333
Alto JosÃ© BonifÃ¡cio,9113759.53,288635.574,2013,set,75.30912826321904
Morro da ConceiÃ§Ã£o,9112984.079,288535.632,2013,set,34.37979359026188
